éplucher	shell	verb	0.97
cependant	though	adverb	0.85
von Kármán	Salarich	properNoun	0.63
pleurite	redhibition	noun	0.59
Filon	Hui	properNoun	0.66
gangstérisme	audiometry	noun	0.65
Tagliasacchi	Pulido	properNoun	0.68
grouillement	anteater	noun	0.83
désaccord	disagreement	noun	0.97
vivre	rekindle	verb	0.97
extrêmement	ultra	adverb	0.96
donner	donate	verb	0.98
cachalot	entomologist	noun	0.53
isocèle	isosceles	adjective	0.93
autoritairement	authoritatively	adverb	0.97
aphasie	aphasia	noun	0.96
XXVIIème	apocryphal	adjective	0.64
Amonarriz	Moreno	properNoun	0.57
atteint	reach	verb	0.85
inverseur	investor	noun	0.98
utopisme	battlefront	noun	0.57
ACB	ampelography	noun	0.57
demi-finaliste	semifinalist	noun	0.96
gratte-ciel	skyscraper	noun	1.0
Calil	Maroun	properNoun	0.69
Mir	Marroquin	properNoun	0.58
négligence	neglect	noun	0.98
CSA	plasmapheresis	noun	0.53
musculaire	muscular	adjective	0.99
règlement	regulation	noun	0.88
Noferi	Flix	properNoun	0.6
chef de famille	agonist	noun	0.63
dysgraphique	rhombohedral	adjective	0.54
cotiser	pay contributions	verb	1.0
Micheloni	Justribo	properNoun	0.62
déduire	set off against	verb	0.95
vicier	coddle	verb	0.78
tête de lit	pillow	noun	0.87
sarde	Sardinian	noun	0.97
rénover	renovate	verb	1.0
influencer	influence	verb	0.96
habillement	garment	noun	0.97
réduplicatif	her	adjective	0.57
remodelage	remodeling	noun	0.96
Raia	Villalon	properNoun	0.63
enquête	inquest	noun	0.92
Fadda	Kadoch	properNoun	0.62
avec tous les détails	in cash	adverb	0.55
théisme	theism	noun	0.77
aboucher	tip	verb	0.79
Siles	Napster	properNoun	0.57
normaliser	normalise	verb	0.98
silure	catfish	noun	0.93
acromégalie	acromegaly	noun	1.0
surréaliste	surreal	adjective	0.96
Reza	Rodenas	properNoun	0.58
Palau-saverdera	Sicotte	properNoun	0.67
Tymoshenko	Timoshenko	properNoun	0.7
symphoniste	symphonist	noun	1.0
Marenco	Herberto	properNoun	0.67
dialectologie	dialectology	noun	0.96
antenne	antenna	noun	0.98
caddie	chariot	noun	0.99
Franconi	Lario	properNoun	0.62
inférer	deduce	verb	0.95
faunistique	dualistic	adjective	0.58
savoureux	wealthy	adjective	0.9
styptique	proletarian	adjective	0.59
pioche	pickaxe	noun	0.99
pilosité	drug addiction	noun	0.63
Pezzella	Mattawashish	properNoun	0.61
short	shorts	noun	0.98
simpliste	glib	adjective	0.93
