éplucher	pelar	verb	0.97
cependant	enquanto isso	adverb	0.78
pleurite	lateralidade	noun	0.58
gangstérisme	copto	noun	0.7
spectre	espectro	noun	0.95
grouillement	formigueiro	noun	0.8
désaccord	discordo	noun	0.97
vivre	viver	verb	0.98
extrêmement	sumamente	adverb	0.97
donner	doar	verb	0.98
cachalot	racionamento	noun	0.53
isocèle	isósceles	adjective	0.99
autoritairement	autoritariamente	adverb	1.0
Giovannina	Rus	properNoun	0.66
Eddy	Pike	properNoun	0.61
aphasie	adotante	noun	0.57
XXVIIème	penitencial	adjective	0.66
atteint	conseguir	verb	0.87
inverseur	investidor	noun	1.0
utopisme	direção-geral	noun	0.58
ACB	bonapartismo	noun	0.58
demi-finaliste	semifinalista	noun	0.99
gratte-ciel	arranha-céus	noun	0.98
New Nintendo 3DS XL	Bougie	properNoun	0.57
négligence	negligência	noun	0.98
perspective	perspetiva	noun	0.96
CSA	nidificação	noun	0.53
musculaire	muscular	adjective	0.99
bracelet	alienabilidade	noun	0.5
règlement	regulamento	noun	0.96
chef de famille	agonista	noun	0.64
dysgraphique	audiovisual	adjective	0.56
cotiser	cotar	verb	0.98
expert	perito	noun	0.99
déduire	deduzir	verb	0.96
vicier	acariciar	verb	0.77
tête de lit	ogiva	noun	0.65
sarde	sardo	noun	0.97
essence	essência	noun	0.9
rénover	renovar	verb	0.99
influencer	influenciar	verb	0.99
habillement	indumentária	noun	0.93
réduplicatif	reduplicativo	adjective	1.0
remodelage	remodelagem	noun	0.96
enquête	indagação	noun	0.94
avec tous les détails	em numerário	adverb	0.55
théisme	teísmo	noun	0.9
aboucher	verter	verb	0.8
normaliser	normalizar	verb	0.98
silure	torpedo	noun	0.82
acromégalie	nêspera	noun	0.61
surréaliste	surrealista	adjective	0.97
invagination	invaginação	noun	1.0
Reza	Rodenas	properNoun	0.58
Tymoshenko	Timochenko	properNoun	1.0
symphoniste	sinfonista	noun	1.0
fasciculation	cético	noun	0.66
dialectologie	dialectologia	noun	0.98
antenne	antena	noun	0.95
caddie	carroça	noun	0.93
inférer	deduzir	verb	0.95
faunistique	faunístico	adjective	1.0
savoureux	rico	adjective	0.92
styptique	estíptico	adjective	1.0
pioche	bico	noun	0.96
pilosité	pilosidade	noun	1.0
ascension	ascensão	noun	0.95
short	calções	noun	0.98
simpliste	simplista	adjective	0.99
bourgeois	burguês	noun	0.96
exonérer	anular	verb	0.78
despotique	despótico	adjective	1.0
réaffirmation	reafirmação	noun	0.95
Gange	Rollins	properNoun	0.68
Prusse-Orientale	Lelong	properNoun	0.64
souillé	bruto	adjective	1.0
rétinopathie	venda	noun	0.57
graduer	escalonar	verb	0.94
autojustification	heráldica	noun	0.56
régulièrement	regularmente	adverb	0.98
architecturer	estruturar	verb	0.99
curation	curação	noun	1.0
centraliser	centralizar	verb	0.92
Oudmourtie	Connell	properNoun	0.66
recrutement	recrutamento	noun	0.93
permis	permissão	noun	0.99
insatiable	insaciável	adjective	1.0
hippie	érbio	noun	0.57
raccourci	atalho	noun	0.98
Charo	Mata	properNoun	0.64
indubitable	indudável	adjective	0.98
ductilité	ductilidade	noun	0.98
dégoûter	dar asco	verb	0.89
castration	castração	noun	0.98
à votre aise	cómodo	adjective	1.0
Bucovine	Asenjo	properNoun	0.56
fenêtre	janela	noun	0.97
siège	sé	noun	0.93
Airbus	Arrabal	properNoun	0.58
transporteur	transportador	noun	0.94
versant	vertente	noun	0.98
perditance	altruísta	noun	0.54
recouvrement	recobrimento	noun	0.94
coupable	culpável	adjective	0.98
Saint-Vincent-et-les-Grenadines	Ardiaca	properNoun	0.62
Athènes	Atenas	properNoun	0.99
moralisation	moralização	noun	0.98
épingler	sinalizar	verb	0.75
coïncider	coincidir	verb	0.89
pangermanique	pangermânico	adjective	1.0
funeste	fatídico	adjective	0.79
ventilatoire	tumoral	adjective	0.67
communautariste	tipificado	adjective	0.66
Transylvanie	Llagostera	properNoun	0.57
tâche	tarefa	noun	0.92
partiel	parcial	adjective	0.91
algonquin	algonquino	adjective	0.98
Icahel	Bejan	properNoun	0.63
à point	no ponto	adverb	0.93
étalage	aparador	noun	0.97
assorti	cambriano	adjective	0.57
épicycle	disortografia	noun	0.62
controversé	controvertido	adjective	0.94
participation	participação	noun	0.92
imide	holismo	noun	0.6
caoutchouc	caucho	noun	0.98
castrer	capar	verb	0.94
Leylén	Parr	properNoun	0.66
chevaleresque	nobre	adjective	0.78
reportage	reportagem	noun	0.99
intermitent	intermitente	adjective	1.0
Ratisbonne	Maietta	properNoun	0.64
unitif	unitivo	adjective	0.99
déroulement	desenvolvimento	noun	0.99
loyaliste	legitimista	adjective	0.98
savant	sábio	adjective	0.96
Bertha	Culleré	properNoun	0.68
faire la gueule	meter	verb	0.89
implacable	implacável	adjective	0.95
Yamilem	Costafreda	properNoun	0.59
classificateur	classificador	noun	0.95
Sahnti	Mennea	properNoun	0.63
vélociste	velocista	noun	1.0
triton	negociador	noun	0.58
océanique	oceânico	adjective	0.98
cylindrique	cilíndrico	adjective	0.95
Pearl Harbor	Mas i Bauzà	properNoun	0.57
étonner	surpreender	verb	1.0
fisc	fisco	noun	0.98
prescient	presciente	adjective	1.0
bacilliforme	sexagésimo quarto	adjective	0.57
farfadet	anão	noun	0.61
avocat	advogado	noun	0.98
rouble	canonização	noun	0.58
intercepter	interceptar	verb	0.9
virer	rotacionar	verb	0.82
meuble	móvel	adjective	0.8
inflammabilité	inflamabilidade	noun	1.0
impassible	impassível	adjective	0.88
médailler	condecorar	verb	0.93
payer des impôts	tributar	verb	0.96
développeur	desenvolvedor	noun	0.98
Aragon	Aragó	properNoun	0.96
phare	farol	noun	0.97
mictionnel	septuagésimo terceiro	adjective	0.57
Ariadna	Taraki	properNoun	0.65
glucocorticoïde	parisiense	noun	0.62
