ilegitimamente	illegally	adverb	0.86
o qual	which	relativePronoun	0.99
o qual	the one which	pronoun	0.99
ctônico	endearing	adjective	0.88
Borea	Miguel de los Santos	properNoun	0.89
rubefacção	rubefaction	noun	0.98
prata	silver	noun	0.99
dissimulável	proactive	adjective	0.93
dispositivo	unconvincing	adjective	0.75
Granyena de Segarra	Simeón	properNoun	0.82
Zaragocí	Sión	properNoun	0.8
Bornemisza	Ponciano	properNoun	0.89
inconvertível	inconvertible	adjective	0.94
fundamentar	base	verb	0.93
átrio	atrium	noun	0.96
correlativo	correlative	adjective	1.0
retweet	Freudianism	noun	0.7
insofrível	lossless	adjective	0.77
alvorada	aurora	noun	1.0
vara de condão	printout	noun	0.97
tecnólogo	telephone sale	noun	0.76
snobismo	desolvation	noun	0.79
reciprocamente	reciprocally	adverb	1.0
Seller	Ignacia	properNoun	0.78
inconstitucional	celibate	adjective	0.77
recapitalização	solarimeter	noun	0.79
custo	fee	noun	0.93
sintáctico	syntactic	adjective	0.99
Backer	Wilfrido	properNoun	0.88
Jarafuel	Helewise	properNoun	0.78
nada	not at all	adverb	0.96
Melgarejo	Juventino	properNoun	0.78
barroco	baroque	noun	0.87
autodestruição	self-destruction	noun	0.99
estupendamente	stupendously	adverb	0.99
Rui	Stuart Mill	properNoun	0.97
Icaria	Ramsey	properNoun	0.78
tomar o café da manhã	have lunch	verb	0.99
veterano	veteran	adjective	0.99
divisionário	Cantonese	adjective	0.84
defeito	flaw	noun	0.99
levantamento	lifting	noun	0.98
explosivo	explosive	noun	0.99
figurativo	figurative	adjective	0.91
ostentação	ostentation	noun	0.97
fôlego	breath	noun	0.79
Bardeen	Latin American Official Section	properNoun	0.77
d	protasis	noun	0.69
Frassinetti	Eleázar	properNoun	0.91
Holanda	Holland	properNoun	0.96
espiralmente	with open arms	adverb	0.78
injustiça	inequity	noun	1.0
Áureo	Stettin	properNoun	0.89
concentracionário	backlit	adjective	0.93
Maior	Néjib	properNoun	0.86
areolado	yawning	adjective	0.97
Mandelbrot	Joaquín Almunia Amann	properNoun	0.93
perversão	perversion	noun	0.97
amplo	wide	adjective	0.98
Siracusa	Syracuse	properNoun	0.84
Berengário	Norbert	properNoun	0.71
Balauru	Kaka	properNoun	0.82
insonorização	soundproofing	noun	0.99
sistematicamente	systematically	adverb	0.98
