comploter	intrigue	verb	0.74
secret	classified	adjective	0.9
neutralité	neutrality	noun	1.0
linotte mélodieuse	topoisomerase	noun	0.97
confort	convenience	noun	0.97
patrie	homeland	noun	0.99
jeunes gens	youngster	noun	0.9
pieusement	reverent	adverb	0.94
macaque	monkey	noun	0.95
alcaloïde	alkaloid	noun	0.98
hydrozoaire	shallot	noun	0.99
plan	plan	noun	0.97
balayer	sweep	verb	0.97
Bangladesh	Bangladesh	properNoun	0.99
motocycliste	undemocratic	adjective	0.7
ébouriffé	long term	adjective	0.86
mystification	trick	noun	0.78
prolixe	copious	adjective	0.97
enclin	liable	adjective	0.98
en proportion de	according	preposition	0.99
faire la moue	be obsessed	verb	0.97
arrivée	arrival	noun	0.99
amidonner	starch	verb	0.9
nourrir	nourish	verb	0.91
lamentation	lament	noun	0.97
vouloir	would	verb	0.99
explosif	explosive	noun	0.99
électrochimiquement	for weeks on end	adverb	0.98
convergent presque sûrement	playable	adjective	0.99
turban	turban	noun	0.99
attiquement	either all or nothing	adverb	0.99
arbitrer	arbitrate	verb	0.99
revenir	go back	verb	0.98
chouchou	protege	noun	0.85
indenter	follow with its eyes	verb	0.99
OIT	Vulpiano	properNoun	0.94
en somme	lastly	adverb	0.97
impeccablement	uninjured	adverb	0.87
récit	narrative	noun	0.91
Slovène	Slovenian	noun	0.96
latent	latent	adjective	0.99
China Datang	Gandhara	properNoun	0.98
relève	pedosphere	noun	0.99
être en rapport	put across	verb	0.72
en remettre	rely	verb	0.94
Goussainville	AZF	properNoun	0.99
soucoupe	cymbal	noun	0.99
grossir	magnify	verb	0.83
fertile	fertile	adjective	0.97
mettre sous pli	lay drains in	verb	0.97
palais mou	sail	noun	0.95
râpe	grater	noun	0.94
film	film	noun	0.99
conformer	conform	verb	0.87
rayon	spoke	noun	0.96
incessant	incessant	adjective	0.98
ruisseler	be a great help	verb	0.99
commission	commission	noun	0.98
porteépée	pastoral	noun	0.97
manteau	wrap	noun	0.96
diriger	direct	verb	0.95
livre	book	noun	0.92
ibériquement	childlikely	adverb	0.96
bulbe	onion	noun	0.85
bleu-vert	network header	noun	0.98
référencement	reference	noun	0.95
administratif	administrative	adjective	1.0
entraver	hinder	verb	0.92
redresseur	hydrogeography	noun	0.97
holographie	holography	noun	0.98
numéroter	number	verb	0.79
impartir	earmark	verb	0.87
confiner	fence	verb	0.77
croisé	hybrid	adjective	0.95
montrer	display	verb	0.93
monotone	monotone	adjective	0.98
à l'unité	based on facts	adjective	0.99
acrobatique	aerobatic	adjective	0.96
coûter	cost	verb	0.95
concentrer	concentrate	verb	0.96
à force de	by dint of	preposition	0.93
langage	language	noun	0.98
Justinien	Justinian	properNoun	0.93
désavantage	drawnback	noun	0.99
amour-propre	dignity	noun	0.91
magnificence	abrasiometer	noun	0.95
insister	insist	verb	0.93
cannabacée	vermicomposting	noun	0.98
roulant	jazzy	adjective	0.99
marché noir	head-to-head	noun	0.94
faire suivre	e-mail	verb	0.98
nombre premier	prime	noun	0.87
mélomane	melomaniac	noun	0.99
bouteur	bulldozer	noun	0.97
bain à remous	immunotolerance	noun	0.99
faire cocorico	sing	verb	0.95
création	creation	noun	0.97
vigneron	megohmmeter	noun	0.86
dépôt	depository	noun	0.93
caressant	warm-hearted	adjective	0.97
quittance	receipt	noun	0.96
bouleau	birch	noun	0.98
décontracté	point-scoring	adjective	0.9
guerre	war	noun	0.99
coloris	colour	noun	0.97
prévoir	foresee	verb	0.95
graphe non orienté	dactyloscopy	noun	0.98
dindon	turkey	noun	0.98
identique	identical	adjective	1.0
démarrer	start	verb	0.99
point du tout	absolutely not	adverb	0.99
motoriser	motorise	verb	0.95
éparpiller	scatter	verb	0.92
individualiste	individualistic	adjective	0.88
célébration	staging	noun	0.89
dermatologie	dermatology	noun	0.99
simulateur	simulator	noun	0.98
isoler	sequester	verb	0.95
fonds	foundation	noun	0.96
albanais	Albanian	adjective	1.0
atmosphérique	atmospheric	adjective	1.0
permission	permit	noun	0.99
opposé	opposite	adjective	0.93
idée	idea	noun	1.0
myanmarais	treeless	adjective	0.99
supporter	bear	verb	0.97
hobby	hobby	noun	0.93
santal	pneumoconiosis	noun	0.92
compréhension	comprehension	noun	0.97
effondrement	collapse	noun	0.96
flexif	credit expiration	noun	0.99
moulage	moulding	noun	0.95
voile	veil	noun	0.97
final	end	noun	0.99
toast	toast	noun	0.99
XX	sixty-three	numeral	0.68
dendrite	dendrite	noun	0.99
comporter	comport	verb	0.95
chloroforme	chloroform	noun	0.98
palis	pile	noun	0.92
rafraîchir	get PRN back	verb	0.84
n'importe quel	whatever	determiner	1.0
déréglementer	gouge	verb	0.75
différentier	be a great help	verb	0.99
incubateur	incubator	noun	0.99
orbital	orbital	adjective	0.98
anodin	paltry	adjective	0.81
exiguïté	narrowness	noun	0.88
extrème-gauche	leukocytopoiesis	noun	0.96
semestriellement	enclosed	adverb	0.67
concertino	crescent roll	noun	0.99
déterrer	dig up	verb	0.98
