proprietário	proprietor	noun	1.0
abono	outpost	noun	0.91
cercania	vicinity	noun	0.98
ancorar	anchor	verb	0.95
quarenta	forty	numeral	0.96
monitorização	monitoring	noun	0.95
Lus	Yasú	properNoun	0.99
regular	standard	adjective	0.85
refúgio	shelter	noun	0.98
visibilidade	visibility	noun	0.99
exoneração	exoneration	noun	0.97
guarda	guard	noun	0.96
néscio	stupid	adjective	0.93
racionalidade	rationality	noun	0.99
milionariamente	at the very end	adverb	0.98
alcantilado	cliff	noun	0.98
rotina	routine	noun	0.96
decolar	elevate	verb	0.85
cartão	card	noun	0.97
desconhecedor	differentiating	adjective	0.96
check-out	regulation ball	noun	0.99
ocidente	occident	noun	0.99
tríade	triad	noun	0.97
calmamente	quietly	adverb	0.95
filho	son	noun	1.0
ligeiro	lightweight	adjective	1.0
reativação	reflation	noun	1.0
aos montes	to the utmost	adverb	0.98
inimigo	foe	noun	1.0
sediar	receive	verb	0.96
sustentavelmente	sustainably	adverb	0.87
meta	landmark	noun	0.89
seio	sinus	noun	1.0
Rubiralta	Obed	properNoun	0.94
fera	beast	noun	0.85
treva	dark	noun	0.92
noivo	groom	noun	0.99
indiretamente	indirectly	adverb	1.0
desgraça pouca é bobagem	no trespassing	adverb	0.95
guerreiro	martial	adjective	0.94
problemático	problematic	adjective	0.98
som	sound	noun	0.99
em vão	in vain	adverb	0.95
repressivo	repressive	adjective	0.99
bilheteira	locker	noun	0.97
gênero	genus	noun	1.0
diluição	dilution	noun	0.98
imobiliária	real estate	noun	0.95
arrogância	arrogance	noun	0.95
carinhoso	affectionate	adjective	0.99
ventilador	fan	noun	0.97
temporão	early	adjective	0.98
consistente	consistent	adjective	0.89
extruir	dash out	verb	0.95
chapéu	hat	noun	0.99
lançar	sling	verb	0.99
dupla	couple	noun	0.96
rede	network	noun	0.98
pensão	guesthouse	noun	0.98
substância	substance	noun	0.99
assentir	assent	verb	0.99
elasticidade	elasticity	noun	1.0
dermatológico	apterous	adjective	0.76
mobiliário	cryovolcanic	adjective	0.75
tchau	transparently to the code	adverb	0.98
interditadamente	dear Sir/Madam	adverb	0.98
elementar	elemental	adjective	0.99
a varejo	in great detail	adverb	0.87
Infarmed	Paladio	properNoun	0.99
Mello	Frampton	properNoun	0.95
valentemente	boldly	adverb	0.85
Lituânia	Lithuania	properNoun	0.99
empilhamento	montenegrin	noun	0.94
ovação	ovation	noun	0.99
postumamente	posthumously	adverb	0.99
belamente	beautifully	adverb	0.94
CVTelecom	Tyree	properNoun	0.99
sedimentar	canvass	verb	0.87
depressivamente	at the earliest opportunity	adverb	0.78
configurar	configure	verb	0.92
microbiano	microbial	adjective	1.0
efectivar	twig	verb	0.96
aclimatar	acclimate	verb	0.96
Médio Oriente	Middle East	properNoun	1.0
conforme combinamos	fools rush in where angels fear to tread	interjection	0.99
arrepender	lament	verb	0.89
refinado	refined	adjective	0.93
maleabilidade	malleability	noun	0.94
indicação	indication	noun	0.9
dentado	toothed	adjective	1.0
para perto de	about	adverb	0.99
