proprietário	propriétaire	noun	0.99
abono	acompte	noun	0.97
cercania	approches	noun	0.98
ancorar	ancrer	verb	0.98
quarenta	quarante	numeral	1.0
monitorização	contrôle	noun	0.91
Lus	Bilbao Basket	properNoun	0.99
regular	standard	adjective	0.89
refúgio	gite	noun	0.97
visibilidade	visibilité	noun	0.99
exoneração	exonération	noun	0.99
guarda	garde	noun	0.95
néscio	bête	adjective	0.93
racionalidade	rationalité	noun	0.93
milionariamente	érosivement	adverb	0.98
alcantilado	falaise	noun	0.95
rotina	routine	noun	0.97
decolar	décoller	verb	0.89
cartão	targe	noun	0.97
desconhecedor	cricoïde	adjective	0.96
check-out	glèbe	noun	0.99
ocidente	occident	noun	0.99
tríade	dryopithèque	noun	0.96
calmamente	tranquillement	adverb	0.98
filho	fils	noun	0.99
ligeiro	léger	adjective	0.97
reativação	réactivation	noun	0.99
aos montes	moult	adverb	0.94
inimigo	ennemi	noun	0.99
sediar	accueillir	verb	0.98
sustentavelmente	sur la défensive	adverb	0.67
meta	point de repère	noun	0.88
seio	sein	noun	0.96
Rubiralta	Bild	properNoun	0.94
fera	fauve	noun	0.94
treva	ténèbre	noun	0.95
noivo	fiancé	noun	0.98
indiretamente	indirectement	adverb	0.99
desgraça pouca é bobagem	vendredi matin	adverb	0.95
guerreiro	guerrier	adjective	0.98
problemático	problématique	adjective	0.99
som	son	noun	0.99
em vão	en vain	adverb	0.85
repressivo	répressif	adjective	0.98
bilheteira	guichet	noun	0.94
gênero	genre	noun	0.98
diluição	dilution	noun	1.0
imobiliária	taciturnité	noun	0.72
arrogância	arrogance	noun	0.95
carinhoso	câlineur	adjective	0.99
ventilador	ventilateur	noun	0.99
temporão	printanier	adjective	0.94
consistente	consistant	adjective	0.94
extruir	risquer sa tête	verb	0.95
chapéu	chapeau	noun	0.99
lançar	élancer	verb	0.96
dupla	couple	noun	0.97
rede	filet	noun	0.93
pensão	pension	noun	0.99
substância	substance	noun	0.97
assentir	acquiescer	verb	0.98
elasticidade	élasticité	noun	0.99
dermatológico	dermatologique	adjective	0.95
mobiliário	mobilier	adjective	0.97
tchau	à ma façon	adverb	0.98
interditadamente	gâteusement	adverb	0.98
elementar	élémentaire	adjective	0.96
a varejo	au détail	adverb	0.87
Infarmed	Abdülhamid II	properNoun	0.99
Mello	Mello	properNoun	0.99
valentemente	phénoménologiquement	adverb	0.82
Lituânia	Lituanie	properNoun	0.99
empilhamento	autoaccusation	noun	0.94
ovação	ovation	noun	0.99
postumamente	posthumément	adverb	0.99
belamente	bellement	adverb	0.94
CVTelecom	Bilbao Basket	properNoun	0.99
sedimentar	sédimenter	verb	0.93
depressivamente	scéniquement	adverb	0.78
configurar	configurer	verb	0.97
microbiano	microbien	adjective	0.98
efectivar	être conscient de	verb	0.96
aclimatar	acclimater	verb	0.87
Médio Oriente	Moyen-Orient	properNoun	0.99
conforme combinamos	échec et mat	interjection	0.99
arrepender	repentir	verb	0.95
refinado	réfiné	adjective	0.99
maleabilidade	malléabilité	noun	0.97
indicação	indication	noun	0.92
dentado	cranté	adjective	0.98
para perto de	approchant	adverb	0.99
isoladamente	isolément	adverb	0.8
nodo	noeud	noun	0.99
tributação	fiscalité	noun	0.92
Vicente	Vicente	properNoun	0.98
certeza	certitude	noun	0.99
transporte	transport	noun	0.99
empacotamento	alphabétisme	noun	0.83
astrônomo	astronome	noun	0.99
dependente	dépendant	adjective	0.99
apresentar	présenter	verb	0.86
Gutiérrez	Gutiérrez	properNoun	0.99
URL	URL	noun	0.95
ninho	nid	noun	0.98
microeconómico	micro-économique	adjective	0.98
demais	Unixien	noun	0.99
litigar	plaider	verb	0.91
frequentar	hanter	verb	0.99
qual	comment	adverb	1.0
qual	comme	relativePronoun	0.99
qual	quel	pronoun	0.99
qual	comme	interrogativePronoun	0.92
assinante	signataire	noun	0.81
Salgueiro	Salgueiro	properNoun	0.97
marca	marque	noun	0.85
reprodução	reproduction	noun	0.97
duplicação	duplication	noun	0.99
sábio	savant	adjective	0.96
complemento	complément	noun	0.97
Wifredo	Wifredo	properNoun	0.96
lance	licitation	noun	0.86
inquebrantavelmente	immanquablement	adverb	0.88
subtil	subtil	adjective	0.99
roda	roue	noun	0.96
devastar	élaguer	verb	0.9
teclado	clavier	noun	0.99
Ghana	Ghana	properNoun	0.99
desenhar	dessiner	verb	0.96
fatalidade	fatalité	noun	0.98
canonicamente	canoniquement	adverb	0.98
alpaca	alpaga	noun	0.95
desflorestação	déforestation	noun	0.98
rebaixo	taxiodacée	noun	0.97
sul-africano	sud-africain	adjective	0.96
multifuncionalidade	dogue	noun	0.88
Gallopín	Lebas	properNoun	0.99
