positioner	thyroglobuline	noun	0.97
by a whisker	réductiblement	adverb	0.74
nice	ravi	adjective	0.97
orthogonalisation	chinchilla	noun	0.97
help	aider	verb	0.99
Isabela	Isabela	properNoun	0.98
Pujol	Pujol	properNoun	1.0
saxophonist	saxophoniste	noun	0.97
Cecelia	Cecelia	properNoun	0.99
zone	qualifier	verb	0.99
all	tout	determiner	0.99
Silverman	Silverman	properNoun	0.99
inequality	inégalité	noun	0.99
declination	déclination	noun	0.99
timber	bois ligno	noun	0.99
Gabarron	Gabarron	properNoun	0.99
Magali	Magali	properNoun	0.97
hearing	écoute	noun	0.93
Belony	Belony	properNoun	0.99
Faber	Faber	properNoun	0.99
Asperger	Asperger	properNoun	0.98
Ballmer	Ballmer	properNoun	0.98
minimise	minimiser	verb	0.81
Annika	Annika	properNoun	0.99
Viau	Viau	properNoun	0.97
Perrine	Perrine	properNoun	0.97
Lluis	Lluis	properNoun	0.97
Meyer	Meyer	properNoun	0.99
chlorine	chlore	noun	0.99
Windows 2000	Windows 2000	properNoun	0.99
Peruvian	Péruvien	noun	0.99
retinaculum	garde-chasse	noun	0.97
Aluja	Aluja	properNoun	0.98
democrat	démocrate	noun	1.0
shaving	translationnel	adjective	0.9
paradoxically	paradoxalement	adverb	1.0
endorsement	approbation	noun	0.94
Elettra	Elettra	properNoun	1.0
Berry	Berry	properNoun	0.98
tightness	étanchéité	noun	0.89
star	star	noun	0.99
crown	couronne	noun	0.96
Stonehenge	Mahâyâna	properNoun	0.97
who	qui	relativePronoun	0.99
who	qui	pronoun	1.0
embryologist	embryologue	noun	0.94
cyberspace	cyberespace	noun	0.97
Ireland	Irlande	properNoun	0.99
holohedron	Titi Vilus	noun	0.94
operate	opérer	verb	0.95
baking powder	angle au centre	noun	0.91
Atherton	Atherton	properNoun	0.99
Kuwaiti	koweïtien	adjective	0.99
Guindon	Guindon	properNoun	0.99
lune	binarisme	noun	0.77
Celide	Celide	properNoun	1.0
ppm	mimographe	noun	0.74
disgust	répugner	verb	0.99
acquiesce	accéder	verb	0.97
marginalisation	marginalisation	noun	0.99
Zidane	Zidane	properNoun	0.97
exhibit	pièce à conviction	noun	0.89
Paddy	Bramati	properNoun	0.97
birth	naissance	noun	0.99
Andrada	Andrada	properNoun	0.97
familiarity	familiarité	noun	0.89
Degrandpré	Degrandpré	properNoun	0.99
delimiter	bernard-l'ermite	noun	0.76
Ariane	Ariane	properNoun	0.91
Brahma	Tizi Ouzou	properNoun	0.97
barrel	barrique	noun	0.99
Martella	Martella	properNoun	0.98
Erazo	Erazo	properNoun	0.99
