positioner	pto	noun	0.96
by a whisker	por um fio	adverb	0.99
nice	encantado	adjective	0.97
orthogonalisation	pesimista	noun	0.97
help	ajudar	verb	0.99
Isabela	Isabela	properNoun	1.0
Pujol	Pujol	properNoun	0.98
saxophonist	saxofonista	noun	0.98
Cecelia	CED	properNoun	0.89
zone	qualificar	verb	0.99
all	todo	determiner	0.97
Silverman	Silverman	properNoun	1.0
inequality	desigualdade	noun	0.98
declination	declinação	noun	0.99
timber	fusta	noun	0.99
Gabarron	Gabarron	properNoun	1.0
Magali	OPART	properNoun	0.86
hearing	ouvido	noun	0.95
Belony	Belony	properNoun	1.0
Faber	Faber	properNoun	1.0
Asperger	Asperger	properNoun	1.0
Ballmer	Ballmer	properNoun	1.0
minimise	minimizar	verb	0.96
Annika	Amélia	properNoun	0.88
Viau	Viau	properNoun	1.0
Perrine	Virgem	properNoun	0.88
Lluis	Lluis	properNoun	1.0
Meyer	Meyer	properNoun	0.99
chlorine	cloro	noun	0.99
Windows 2000	Zé	properNoun	0.94
Peruvian	peruano	noun	0.99
retinaculum	empregado doméstico	noun	0.97
Aluja	Aluja	properNoun	1.0
democrat	democrata	noun	0.99
shaving	igualado	adjective	0.9
paradoxically	paradoxalmente	adverb	0.99
endorsement	aprovação	noun	0.95
Elettra	Célio	properNoun	0.88
Berry	Berry	properNoun	0.99
tightness	opressão	noun	0.91
star	estrella	noun	0.99
crown	coroa	noun	0.92
Stonehenge	Arlete	properNoun	0.97
who	quem	relativePronoun	0.97
who	quem	pronoun	0.98
embryologist	embriólogo	noun	1.0
cyberspace	ciberespaço	noun	0.98
Ireland	Irlanda	properNoun	0.97
holohedron	holoedro	noun	0.99
operate	manejar	verb	0.96
baking powder	agrião	noun	0.9
Atherton	Atherton	properNoun	1.0
Kuwaiti	crudo	adjective	0.73
Guindon	Guindon	properNoun	1.0
lune	ninfomaníaca	noun	0.75
Celide	AENOR	properNoun	0.89
ppm	ppm	noun	0.96
disgust	repugnar	verb	0.96
acquiesce	aceder	verb	0.97
marginalisation	marginação	noun	0.98
Zidane	Zidane	properNoun	0.99
exhibit	prova	noun	0.91
Paddy	Zeni	properNoun	0.97
birth	nascimento	noun	0.98
Andrada	Andrada	properNoun	1.0
familiarity	familiaridade	noun	0.9
Degrandpré	Degrandpré	properNoun	1.0
delimiter	esfericidade	noun	0.76
Ariane	Open Arms	properNoun	0.84
Brahma	Hiran	properNoun	0.96
barrel	barril	noun	0.96
Martella	Martella	properNoun	1.0
Erazo	Erazo	properNoun	1.0
Milhomme	Milhomme	properNoun	1.0
anyone	nenhum	pronoun	0.97
Esclados	Erbiti	properNoun	0.97
Manière	Manière	properNoun	1.0
Mondésir	Mondésir	properNoun	1.0
Bonell	Bonell	properNoun	1.0
Fluet	Fluet	properNoun	1.0
calf	prefolheação	noun	0.62
have	haver	verb	0.96
abandonment	abandono	noun	0.97
Second World War	Sanson	properNoun	0.73
ergotherapy	IGBM	noun	0.8
mesocarp	Idade do Ferro	noun	0.77
imperceptibly	impercetivelmente	adverb	0.99
Windows 95	Narjara	properNoun	0.91
Marcelon	Tuti	properNoun	0.97
diagonal	diagonal	adjective	0.95
fix	arranjar	verb	0.97
heraldist	Finlândia	noun	0.94
overlapped	superposto	adjective	0.97
deaden	amortecer	verb	0.91
immunofluorescence	protozoário	noun	0.97
contrast	contraste	noun	0.99
Geneva	Genebra	properNoun	0.99
Curt	Arany	properNoun	0.96
Sicilia	Sicilia	properNoun	1.0
impractical	inútil	adjective	0.88
pentode	usinagem	noun	0.96
cryptic	críptico	adjective	1.0
Migneault	Migneault	properNoun	1.0
chromite	véspera de natal	noun	0.78
pensioner	pensionista	noun	0.97
wintry	invernal	adjective	0.99
exaction	exação	noun	1.0
inexpensive	econômico	adjective	0.93
utterly	absolutamente	adverb	0.99
Fountain	Fountain	properNoun	1.0
patriot	patriota	noun	0.97
inspired by	flebítico	adjective	0.87
centrifuge	girar	verb	0.9
torsion	giro	noun	0.86
hundredth	centésimo	adjective	0.98
eroticism	erotismo	noun	0.99
educating	educador	adjective	0.9
Beniamino	Ondine	properNoun	0.93
round	arrendondar	verb	0.94
celestial	celestial	adjective	0.97
Badía	Badía	properNoun	1.0
Danzig	Ades	properNoun	0.93
pretty much	cabonde	adverb	0.99
object	pré-seleccionar	verb	0.62
fiasco	falhanço	noun	0.97
Amice	Angra do Heroísmo	properNoun	0.79
parochial	paroquial	adjective	0.92
tuning	sintonia	noun	0.99
on sale	rotacionalmente	adverb	0.81
neutral	neutro	adjective	0.98
a while	congestionadamente	adverb	0.86
sociolinguist	sociolingüista	noun	1.0
television	televisivo	adjective	0.99
Rocheleau	Rocheleau	properNoun	1.0
jihad	barra de status	noun	0.65
middle-of-the-road	moderado	adjective	1.0
ulcer	aquecimento doméstico	noun	0.67
leech	conicidade	noun	0.71
interregional	sanguino	adjective	0.71
go along	ir	verb	0.87
philosophic	filosófico	adjective	0.99
Ibarretxe	Ibarretxe	properNoun	0.96
Berenguel	Berenguel	properNoun	1.0
close by	a nordeste	adverb	0.92
surplus	superávit	noun	0.95
cablegram	aquecimento eléctrico	noun	0.76
injurious	ofensivo	adjective	0.89
Fernandez	Fernandez	properNoun	1.0
triacylglyceride	remissibilidade	noun	0.75
force majeure	granitização	noun	0.75
pseudoscience	pseudociência	noun	0.99
cabaret	verticalização	noun	0.72
March	março	noun	1.0
