comploter	intrigue	verb	0.76
secret	secret	adjective	0.88
neutralité	neutrality	noun	1.0
linotte mélodieuse	hydroextractor	noun	0.84
confort	comfort	noun	0.98
patrie	homeland	noun	1.0
jeunes gens	youngster	noun	0.89
pieusement	reverent	adverb	0.98
macaque	monkey	noun	0.98
alcaloïde	alkaloid	noun	0.97
hydrozoaire	microalga	noun	0.97
plan	plan	noun	0.97
balayer	sweep	verb	0.95
Bangladesh	Bangladesh	properNoun	0.99
motocycliste	crystallographic	adjective	0.62
ébouriffé	four hundredth	adjective	0.77
mystification	trick	noun	0.71
prolixe	copious	adjective	0.96
enclin	liable	adjective	0.98
en proportion de	according	preposition	0.98
faire la moue	cake	verb	0.85
arrivée	arrival	noun	0.99
amidonner	starch	verb	0.84
nourrir	feed	verb	0.91
lamentation	lament	noun	0.98
vouloir	would	verb	0.99
explosif	explosive	noun	0.99
électrochimiquement	unerringly	adverb	0.91
convergent presque sûrement	caribbean	adjective	0.96
turban	turban	noun	0.99
attiquement	across the country	adverb	0.96
arbitrer	arbitrate	verb	0.99
revenir	get back	verb	0.97
chouchou	protege	noun	0.87
indenter	remain unanswered	verb	0.96
OIT	Mikayla	properNoun	0.83
en somme	lastly	adverb	0.97
impeccablement	uninjured	adverb	0.88
récit	narrative	noun	0.89
Slovène	Slovenian	noun	0.99
latent	latent	adjective	0.99
China Datang	Pliny the elder	properNoun	0.93
relève	heteroagglutination	noun	0.97
être en rapport	interchange	verb	0.71
en remettre	rely	verb	0.94
Goussainville	Ezzelin	properNoun	0.96
soucoupe	cymbal	noun	0.99
grossir	magnify	verb	0.81
fertile	fertile	adjective	0.97
mettre sous pli	know for sure	verb	0.94
palais mou	sail	noun	0.94
râpe	grater	noun	0.94
film	film	noun	0.99
conformer	conform	verb	0.87
rayon	spoke	noun	0.95
incessant	incessant	adjective	0.99
ruisseler	end in tragedy	verb	0.97
commission	commission	noun	0.99
porteépée	derivatograph	noun	0.87
manteau	overcoat	noun	0.96
diriger	direct	verb	0.93
livre	book	noun	0.89
ibériquement	deterministically	adverb	0.79
bulbe	onion	noun	0.86
bleu-vert	credit expiration	noun	0.94
référencement	reference	noun	0.94
administratif	administrative	adjective	1.0
entraver	hinder	verb	0.91
redresseur	labour supply	noun	0.86
holographie	holography	noun	0.99
numéroter	encipher	verb	0.78
impartir	earmark	verb	0.86
confiner	fence	verb	0.72
croisé	hybrid	adjective	0.95
montrer	display	verb	0.93
monotone	monotone	adjective	0.97
à l'unité	uncharted	adjective	0.93
acrobatique	acrobatic	adjective	0.95
coûter	cost	verb	0.96
concentrer	concentrate	verb	0.95
à force de	by dint of	preposition	0.92
langage	lingo	noun	0.98
Justinien	Justinian	properNoun	0.96
désavantage	drawnback	noun	0.98
amour-propre	dignity	noun	0.94
magnificence	splendour	noun	0.88
insister	insist	verb	0.92
cannabacée	GUI	noun	0.94
roulant	electroweak	adjective	0.97
marché noir	tertiary sector	noun	0.81
faire suivre	forward	verb	0.99
nombre premier	prime	noun	0.87
mélomane	melomaniac	noun	0.99
bouteur	bulldozer	noun	0.98
bain à remous	ochronosis	noun	0.97
faire cocorico	sing	verb	0.95
création	origination	noun	0.96
vigneron	vendor's option	noun	0.62
dépôt	depository	noun	0.92
caressant	warm-hearted	adjective	0.97
quittance	receipt	noun	0.93
bouleau	birch	noun	0.99
décontracté	Afroasiatic	adjective	0.69
guerre	war	noun	0.99
coloris	colour	noun	0.96
prévoir	foresee	verb	0.93
graphe non orienté	best practices	noun	0.94
dindon	turkey	noun	0.98
identique	identical	adjective	1.0
démarrer	start	verb	0.98
point du tout	absolutely not	adverb	0.99
motoriser	motorise	verb	0.95
éparpiller	scatter	verb	0.9
individualiste	individualistic	adjective	0.89
célébration	staging	noun	0.89
dermatologie	dermatology	noun	0.99
simulateur	simulator	noun	0.97
isoler	sequester	verb	0.96
fonds	foundation	noun	0.95
albanais	Albanian	adjective	1.0
atmosphérique	atmospheric	adjective	0.99
permission	permit	noun	0.99
opposé	opposite	adjective	0.95
idée	idea	noun	0.99
myanmarais	quarrelsome	adjective	0.97
supporter	bear	verb	0.97
hobby	hobby	noun	0.94
santal	sandal	noun	0.85
compréhension	comprehension	noun	0.96
effondrement	collapse	noun	0.96
flexif	radiotelegraph	noun	0.97
moulage	moulding	noun	0.95
voile	veil	noun	0.97
final	end	noun	0.99
toast	toast	noun	0.99
XX	one thousand	numeral	0.59
dendrite	dendrite	noun	0.98
comporter	comport	verb	0.96
chloroforme	chloroform	noun	0.99
palis	pile	noun	0.89
rafraîchir	refresh	verb	0.87
n'importe quel	whatever	determiner	1.0
déréglementer	hold on	verb	0.67
différentier	joust	verb	0.96
incubateur	incubator	noun	0.99
orbital	orbital	adjective	0.99
anodin	detailed	adjective	0.78
exiguïté	narrowness	noun	0.88
extrème-gauche	atelectasis	noun	0.83
semestriellement	in blocks	adverb	0.66
concertino	rephonologisation	noun	0.97
déterrer	dig up	verb	0.99
mélasse	molasses	noun	0.92
contrairement à	against	preposition	0.91
brocante	berylliosis	noun	0.91
convoi de navires	passel	noun	0.95
emménager	install	verb	0.99
dépêche	news	noun	0.88
d'inertie	inertial	adjective	0.81
meeting	encounter	noun	0.79
ligne de conduite	guideline	noun	0.96
dix	ten	numeral	1.0
homologue	homologous	adjective	0.98
jaïn	granulopoiesis	noun	0.97
aquarelle	watercolour	noun	1.0
émettre	air	verb	0.87
Draguignan	Sabastian	properNoun	0.97
loggia	lodge	noun	0.98
épineusement	at this very minute	adverb	0.77
rejeter	rebuff	verb	0.98
sémiotique	semeiotic	adjective	0.95
procéder	proceed	verb	0.91
d'ores et déjà	henceforth	adverb	0.99
synchronisme	synchronism	noun	0.99
trame	storyline	noun	0.94
utilisateur	user	noun	1.0
réduire	whittle	verb	0.9
point cardinal	arcsecond	noun	0.96
enorgueillir	get through the end-of-year exams	verb	0.72
nerveux	nervy	adjective	0.96
tenir à l'écart	call to order	verb	0.92
hérisson	hedgehog	noun	1.0
pétrifier	freeze	verb	0.94
augmenter	up	verb	0.98
cautère	guillemot	noun	0.84
référendaire	component	adjective	0.64
Assicurazioni Generali	Leinster	properNoun	0.94
rester cloué sur place	obtain prominence	verb	0.92
Vernier	Vernier	properNoun	0.95
attrayant	alluring	adjective	0.98
gigabyte	dinnertime	noun	0.69
investissement	investment	noun	1.0
oligopsone	fibromatosis	noun	0.95
plaque d'immatriculation	plaque	noun	0.81
chauvin	ethnocentric	adjective	0.99
Languedoc-Roussillon	Teresita	properNoun	0.59
fonte	melting	noun	0.96
automation	automation	noun	0.96
discipliner	discipline	verb	0.92
physiologue	physiologist	noun	0.98
inflammable	inflammable	adjective	0.96
insinuer	insinuate	verb	0.93
sigle	acronym	noun	0.96
rosé	pink	adjective	0.96
paroissien	parishioner	noun	0.92
roulade	somersault	noun	0.84
bâcler	mess up	verb	0.96
Le Blanc-Mesnil	Caïn	properNoun	0.97
solennité	solemnity	noun	0.95
philistin	well-mannered	adjective	0.97
de poussière	peaked	adjective	0.77
union	union	noun	0.93
vertex	vertex	noun	0.91
immigrant	immigrant	adjective	0.99
amicale	association	noun	0.97
Neerlandais	Dutchwoman	noun	0.99
boa	boa	noun	0.98
épilobe	thermosequence	noun	0.97
impoli	impolite	adjective	0.96
profanateur	sacrilege	noun	0.93
soldat	soldier	noun	0.97
Cepsa	Enéas	properNoun	0.91
chiffrer	encipher	verb	0.9
renationaliser	picnic	verb	0.96
fer à cheval	horseshoe	noun	0.99
escadron	squadron	noun	0.82
irresponsable	antibiosis	noun	0.66
porter	bare	verb	0.93
Mme	gentleman	noun	0.96
sciuridé	metacartography	noun	0.97
oiseau de proie	lad	noun	0.96
faire s'entendre	harmonise	verb	0.96
extrémiste	extremist	noun	0.99
sous-développement	delay	noun	0.97
receveur	conductor	noun	0.75
Ferdinand	Ferran	properNoun	0.91
intériorisation	star network	noun	0.63
cruel	cruel	adjective	0.99
rigoureux	rigourous	adjective	0.99
émissaire	emissary	noun	0.99
querelleur	legislative reference	noun	0.89
lier d'amitié avec	become	verb	0.97
paupière	eyelid	noun	0.99
essuyer	wipe	verb	0.95
irriter	foment	verb	0.87
plat	planar	adjective	0.93
comprendre	comprehend	verb	0.92
ombrager	shade	verb	0.98
dispenser	liberate	verb	0.85
origine	origin	noun	0.93
page	page	noun	0.96
chapelle privée	electromotor	noun	0.85
glorieux	glorious	adjective	0.96
infection	infection	noun	0.9
demi grand axe	sanidine	noun	0.86
Cisco Systems	Decio	properNoun	0.94
Telecom Italia	Amstrong	properNoun	0.93
fiévreux	feverish	adjective	0.97
alcalin	alkaline	adjective	0.94
dru	dense	adjective	0.97
censitaire	sycophantic	adjective	0.67
maintien	maintenance	noun	0.95
soyeusement	for no particular reason	adverb	0.94
décoration	decoration	noun	0.99
tao	boat	noun	0.93
tome	volume	noun	0.98
spécialiste	maven	noun	0.97
crever	pop	verb	0.95
moine	monk	noun	0.98
disséminer	disseminate	verb	0.93
ressembler	look like	verb	0.98
palme	palm	noun	0.97
laiche	employers' association	noun	0.94
orage	thunderstorm	noun	0.98
centre de courbure	oil well	noun	0.97
en virgule fixe	median	adjective	0.9
jardin public	technical consultancy	noun	0.97
nilpotent	nilpotent	adjective	0.9
Champs Élysées	Peppi	properNoun	0.66
cultiver	hone	verb	0.98
rat musqué	minimization	noun	0.95
fissure	crevice	noun	0.99
fidèle	faithful	adjective	0.98
nombrer	enumerate	verb	0.93
séduire	seduce	verb	0.97
AstraZeneca	Berbatov	properNoun	0.94
être fou	traffic	verb	0.75
poids	weight	noun	0.98
pépin	kernel	noun	0.74
corsage	bodice	noun	0.99
condamné à mort	handicrafts	noun	0.79
hospitalisation	hospitalisation	noun	1.0
ammoniac	ammonia	noun	1.0
obéissance	obedience	noun	0.99
fascination	fascination	noun	0.98
matérialiste	materialistic	adjective	0.98
cécité	blindness	noun	0.99
osseusement	irretrievably	adverb	0.94
tennis	tennis	noun	0.94
mémorable	memorable	adjective	0.86
empressement	industry	noun	0.88
scintiller	flicker	verb	0.93
exorcisme	exorcism	noun	0.88
cerf-volant	star	noun	0.92
employé	clerk	noun	0.87
Bisontin	spirochaetosis	noun	0.97
éducatif	educative	adjective	1.0
triangulaire	triangular	adjective	0.99
révéler	reveal	verb	0.92
pied de vigne	vine	noun	0.96
ligne	line	noun	0.95
reconstruction	reconstruction	noun	1.0
bachlick	hood	noun	0.96
établissement scolaire	school of thought	noun	0.99
conduit	conduit	noun	0.98
te	the	pronoun	0.98
être conforme	fine-tune	verb	0.87
nuque	nape	noun	0.99
lecteur	reader	noun	0.95
calligraphe	spar	noun	0.67
fonction trigonométrique réciproque	more	noun	0.88
brancher	put	verb	0.93
Léau	Éloi	properNoun	0.97
bombe à retardement	course of the river	noun	0.97
forain	foreign	adjective	0.98
prolétarien	proletarian	noun	1.0
anxieux	anxious	adjective	0.87
vaste	vast	adjective	0.99
fille publique	prostitute	noun	0.92
naturellement	naturally	adverb	0.99
babouin	baboon	noun	0.9
guide de lumière	light year	noun	0.96
atout	smokescreen	noun	0.66
amas	cumulus	noun	0.9
jeu de dames	draught	noun	0.85
Saguenay	Blogger	properNoun	0.97
Sodome	Natanaele	properNoun	0.97
hypocondrie	hypochondria	noun	0.96
agiter	agitate	verb	0.94
brandy	oil platform	noun	0.67
gésir	lie down	verb	0.86
voyeur	exempt	adjective	0.9
francisation	trophectoderm	noun	0.89
Publix	de la Mancha	properNoun	0.95
astigmatisme	astigmatism	noun	0.96
passage	gangway	noun	0.87
antioxydant	antioxidant	adjective	0.97
être en retard	delay	verb	0.98
baladodiffusion	paranoid	noun	0.92
goth	gothic	adjective	0.97
miroiter	reflect	verb	0.97
rappel	reminder	noun	0.99
gazeusement	for weeks on end	adverb	0.91
agronome	agronomist	noun	0.91
Cilicie	Vicente Mas	properNoun	0.89
univers	universe	noun	0.97
Marseillaise	Open Display of Contemporary Audiovisual Art	properNoun	0.97
mettre en selle	mount	verb	0.98
strabisme	strabismus	noun	0.94
hérétique	heretical	adjective	0.99
seau	pail	noun	0.99
être enflammé	inflame	verb	0.98
décroissance	decreasing	noun	0.97
diction	diction	noun	0.98
sous prétexte que	without prejudice to	subordinatingConjunction	0.52
UAL	dribbler	noun	0.94
aria	aria	noun	0.91
gravelot	karst	noun	0.94
épidémique	contagious	adjective	0.68
être fervent	be right	verb	0.9
isotrope	isotropic	adjective	0.92
changer	change	verb	0.98
kcal	dumbbell	noun	0.9
conventionnel	conventional	adjective	0.85
mite	moth	noun	0.99
taquiner	tease	verb	0.79
porter caution	bail	verb	0.99
consécration	consecration	noun	0.93
libation	simplism	noun	0.87
papier de soie	tissue	noun	0.98
étanche	sealed	adjective	0.99
patinette	scooter	noun	0.95
état	state	noun	0.98
accélérateur	accelerator	noun	0.98
légalité	lawfulness	noun	1.0
outrager	attack	verb	0.78
constellation	constellation	noun	0.99
orphelinat	orphanage	noun	1.0
Virgile	Virgil	properNoun	0.99
Vitrolles	Braiden	properNoun	0.97
épais	stout	adjective	0.93
La Celle-Saint-Cloud	Koons	properNoun	0.96
côté	canton	noun	0.99
arche	arc	noun	0.93
recette	recipe	noun	0.9
sudiste	hepatoscopy	noun	0.78
retraite	retirement	noun	0.95
passe-temps	hobby	noun	0.97
quantification	quantification	noun	0.99
couler	flow	verb	0.85
samedi après-midi	way up	adverb	0.96
tout comme	after which	relativePronoun	0.96
comme par un fait exprès	of the same mind	adverb	0.97
seulement	only	adverb	1.0
veiller	curate	verb	0.98
nécessiter	need	verb	0.94
mal du pays	radiation balance	noun	0.97
télécopieur	fax	noun	0.96
condiment	condiment	noun	1.0
brillant	sparkly	adjective	0.98
barbouze	spy	noun	1.0
encrier	inkwell	noun	0.91
démonstratif	demonstrative	adjective	0.93
peseta	peseta	noun	1.0
galvaniquement	on the verge of extinction	adverb	0.73
malhabilement	poorly	adverb	0.99
prendre en otage	hijack	verb	0.98
train	train	noun	0.95
garantie	warranty	noun	1.0
baudrier	junkyard	noun	0.86
alouette des champs	lark	noun	1.0
broutille	molehill	noun	0.85
pousser	thrust	verb	0.95
décade	decade	noun	0.99
calandre	weevil	noun	0.67
