comploter	intrigar	verb	0.78
secret	secreto	adjective	0.93
neutralité	neutralidade	noun	0.99
linotte mélodieuse	caneta	noun	0.85
confort	conforto	noun	0.99
patrie	pátria	noun	0.99
jeunes gens	jovem	noun	0.9
pieusement	pertencentemente	adverb	0.64
macaque	macaco	noun	0.98
alcaloïde	sobreabundância	noun	0.65
hydrozoaire	pesimista	noun	0.97
plan	plano	noun	0.95
balayer	varrer	verb	0.97
Bangladesh	Bangladesh	properNoun	0.99
motocycliste	motociclista	adjective	0.92
ébouriffé	vindicador	adjective	0.77
mystification	mistificação	noun	0.88
prolixe	copioso	adjective	0.93
enclin	inclinado	adjective	0.78
en proportion de	segundo	preposition	0.97
faire la moue	meter baixa	verb	0.84
arrivée	chegada	noun	0.99
amidonner	ter hipótese	verb	0.71
nourrir	alimentar	verb	0.93
lamentation	lamentação	noun	0.97
vouloir	querer	verb	0.99
explosif	explosivo	noun	0.99
électrochimiquement	lhe dou ouvidos	adverb	0.91
convergent presque sûrement	clavicular	adjective	0.96
turban	turbante	noun	0.99
attiquement	bem mais além	adverb	0.96
arbitrer	arbitrar	verb	0.98
revenir	regressar	verb	0.97
chouchou	aluno	noun	0.8
indenter	reanexar	verb	0.96
OIT	Vanderlei	properNoun	0.83
en somme	conclusivamente	adverb	0.96
impeccablement	ganhadoramente	adverb	0.61
récit	relato	noun	0.94
Slovène	esloveno	noun	0.96
latent	latente	adjective	0.99
China Datang	Suzy	properNoun	0.93
relève	Iraque	noun	0.97
être en rapport	comunicar	verb	0.68
en remettre	fiar	verb	0.93
Goussainville	MCM	properNoun	0.97
soucoupe	prato	noun	0.94
grossir	aumentar	verb	0.78
fertile	fértil	adjective	0.94
mettre sous pli	impresionar	verb	0.93
palais mou	vela	noun	0.83
râpe	desproporcionação	noun	0.7
film	filme	noun	0.99
conformer	conformar	verb	0.96
rayon	raio	noun	0.93
incessant	incessante	adjective	0.94
ruisseler	sustituir	verb	0.97
commission	comissão	noun	0.97
porteépée	REN	noun	0.87
manteau	sobretudo	noun	0.96
diriger	dirigir	verb	0.92
livre	livro	noun	0.94
ibériquement	desoslaio	adverb	0.79
bulbe	bulbo	noun	0.89
bleu-vert	cofidencialidade	noun	0.93
référencement	referência	noun	1.0
administratif	administrativo	adjective	0.99
entraver	obstaculizar	verb	0.92
redresseur	aerofobia	noun	0.85
holographie	holografia	noun	0.99
numéroter	numerar	verb	0.93
impartir	dar	verb	0.85
confiner	inculcar	verb	0.66
croisé	híbrido	adjective	0.94
montrer	mostrar	verb	0.93
monotone	pesado	adjective	0.72
à l'unité	abstergente	adjective	0.93
acrobatique	acrobático	adjective	0.95
coûter	custar	verb	0.99
concentrer	concentrar	verb	0.94
à force de	a noroeste de	preposition	0.53
langage	linguagem	noun	0.99
Justinien	Nigra	properNoun	0.67
désavantage	desvantagem	noun	0.99
amour-propre	dignidade	noun	0.95
magnificence	esplendor	noun	0.96
insister	insistir	verb	0.92
cannabacée	metodología	noun	0.94
roulant	piridínico	adjective	0.97
marché noir	horizontalidade	noun	0.8
faire suivre	enviar	verb	0.95
nombre premier	prêmio	noun	0.83
mélomane	permanente	noun	0.65
bouteur	momentos-chave	noun	0.72
bain à remous	Suíça	noun	0.96
faire cocorico	cantar	verb	0.97
création	criação	noun	0.9
vigneron	vinhateiro	noun	0.93
dépôt	reservatório	noun	0.89
caressant	carinhoso	adjective	0.96
quittance	recibo	noun	0.97
