proprietário	proprietor	noun	0.99
abono	outpost	noun	0.93
cercania	proximity	noun	0.98
ancorar	anchor	verb	0.95
quarenta	forty	numeral	0.97
monitorização	monitoring	noun	0.94
Lus	Rocío del Valle	properNoun	0.97
regular	standard	adjective	0.81
refúgio	shelter	noun	0.98
visibilidade	visibility	noun	0.99
exoneração	exoneration	noun	0.99
guarda	guard	noun	0.96
néscio	stupid	adjective	0.93
racionalidade	rationality	noun	0.99
milionariamente	now even less	adverb	0.89
alcantilado	cliff	noun	0.98
rotina	routine	noun	0.97
decolar	elevate	verb	0.86
cartão	card	noun	0.98
desconhecedor	soaked	adjective	0.83
check-out	bird watching	noun	0.97
ocidente	occident	noun	0.99
tríade	triad	noun	0.95
calmamente	quietly	adverb	0.95
filho	son	noun	1.0
ligeiro	lightweight	adjective	1.0
reativação	reflation	noun	1.0
aos montes	to the utmost	adverb	0.97
inimigo	foe	noun	1.0
sediar	receive	verb	0.96
sustentavelmente	sustainably	adverb	0.9
meta	cairn	noun	0.88
seio	sinus	noun	1.0
Rubiralta	Brenton	properNoun	0.76
fera	beast	noun	0.83
treva	dark	noun	0.91
noivo	groom	noun	0.99
indiretamente	indirectly	adverb	1.0
desgraça pouca é bobagem	contrary to expectations	adverb	0.84
guerreiro	martial	adjective	0.93
problemático	problematic	adjective	0.99
som	sound	noun	0.99
em vão	in vain	adverb	0.97
repressivo	repressive	adjective	0.99
bilheteira	locker	noun	0.97
gênero	genus	noun	1.0
diluição	dilution	noun	0.99
imobiliária	real estate	noun	0.97
arrogância	arrogance	noun	0.93
carinhoso	fond	adjective	0.98
ventilador	fan	noun	0.97
temporão	early	adjective	0.99
consistente	consistent	adjective	0.89
extruir	keep well	verb	0.87
chapéu	hat	noun	0.99
lançar	hurl	verb	0.99
dupla	couple	noun	0.96
rede	network	noun	0.97
pensão	guesthouse	noun	0.98
substância	substance	noun	1.0
assentir	assent	verb	0.99
elasticidade	elasticity	noun	1.0
dermatológico	encoded	adjective	0.65
mobiliário	diversionary	adjective	0.68
tchau	fourthly	adverb	0.96
interditadamente	eminently	adverb	0.9
elementar	elemental	adjective	0.99
a varejo	in great detail	adverb	0.82
Infarmed	Tartary	properNoun	0.97
Mello	Windows Embedded	properNoun	0.77
valentemente	boldly	adverb	0.75
Lituânia	Lithuania	properNoun	0.99
