proprietário	propriétaire	noun	0.99
abono	acompte	noun	0.96
cercania	approches	noun	0.98
ancorar	ancrer	verb	0.98
quarenta	quarante	numeral	1.0
monitorização	contrôle	noun	0.88
Lus	Saint-Germain-en-Laye	properNoun	0.97
regular	standard	adjective	0.86
refúgio	gîte	noun	0.97
visibilidade	visibilité	noun	0.99
exoneração	exonération	noun	0.99
guarda	garde	noun	0.95
néscio	nigaud	adjective	0.93
racionalidade	rationalité	noun	0.91
milionariamente	imputresciblement	adverb	0.89
alcantilado	falaise	noun	0.95
rotina	routine	noun	0.97
decolar	décoller	verb	0.92
cartão	targe	noun	0.98
desconhecedor	superpositif	adjective	0.84
check-out	tabac à fumer	noun	0.97
ocidente	occident	noun	0.99
tríade	triade	noun	0.86
calmamente	tranquillement	adverb	0.98
filho	fils	noun	0.99
ligeiro	léger	adjective	0.97
reativação	réactivation	noun	0.99
aos montes	moult	adverb	0.92
inimigo	ennemi	noun	0.99
sediar	accueillir	verb	0.98
sustentavelmente	balkaniquement	adverb	0.59
meta	signe d'orientation	noun	0.87
seio	sein	noun	0.96
Rubiralta	Prebostes	properNoun	0.76
fera	fauve	noun	0.93
treva	ténèbre	noun	0.93
noivo	fiancé	noun	0.98
indiretamente	indirectement	adverb	0.99
desgraça pouca é bobagem	autocritiquement	adverb	0.84
guerreiro	guerrier	adjective	0.97
problemático	problématique	adjective	0.99
som	son	noun	0.99
em vão	vainement	adverb	0.82
repressivo	répressif	adjective	0.99
bilheteira	guichet	noun	0.95
gênero	genre	noun	0.98
diluição	dilution	noun	1.0
imobiliária	immeuble	noun	0.78
arrogância	arrogance	noun	0.95
carinhoso	aimant	adjective	0.99
ventilador	ventilateur	noun	0.99
temporão	anticipé	adjective	0.95
consistente	consistant	adjective	0.95
extruir	entrer dans l'hôpital	verb	0.88
chapéu	chapeau	noun	0.99
lançar	élancer	verb	0.95
dupla	couple	noun	0.97
rede	filet	noun	0.92
pensão	pension	noun	0.99
substância	substance	noun	0.96
assentir	acquiescer	verb	0.98
elasticidade	élasticité	noun	0.98
dermatológico	dermatologique	adjective	0.97
mobiliário	mobilier	adjective	0.96
tchau	staccato	adverb	0.96
interditadamente	comateusement	adverb	0.9
elementar	élémentaire	adjective	0.94
a varejo	au détail	adverb	0.91
Infarmed	La Setmana	properNoun	0.97
Mello	Mello	properNoun	0.96
valentemente	courageusement	adverb	0.78
Lituânia	Lituanie	properNoun	0.99
empilhamento	provision	noun	0.86
ovação	ovation	noun	0.99
postumamente	posthumément	adverb	0.99
belamente	bellement	adverb	0.94
CVTelecom	Péruwelz	properNoun	0.97
sedimentar	sédimenter	verb	0.89
depressivamente	britanniquement	adverb	0.65
configurar	configurer	verb	0.97
microbiano	microbien	adjective	0.96
