insufficient	insuficiente	adjective	0.92
candle	vela	noun	0.89
tromino	guardanapo	noun	0.99
happy	contente	adjective	0.96
incompatible	incompatível	adjective	0.98
filter	filtrar	verb	0.96
cabinet	armário	noun	0.95
whole	inteiro	adjective	0.97
entrusted	nuculoso	adjective	0.98
discuss	falar	verb	0.93
Asturias	Astúrias	properNoun	0.98
isolation	isolamento	noun	0.95
become mouldy	asociar	verb	0.99
non-identifiable	antonino	adjective	0.99
still	plácido	adjective	0.82
consecutive	consecutivo	adjective	0.96
call	apelo	noun	0.95
systematic	sistemático	adjective	0.95
frustration	frustração	noun	0.91
conjure	encantar	verb	0.88
rerun	estrear	verb	0.9
carrier	transportador	noun	0.92
Federated States of Micronesia	BC	properNoun	0.97
wonderful	maravilhoso	adjective	0.94
challenge	desafiar	verb	0.95
tale	conto	noun	0.95
plough	lavrar	verb	0.95
print	impressão	noun	0.98
Blair	Blair	properNoun	0.94
concerned	apreensivo	adjective	0.8
predicament	necessidade	noun	0.76
meddle	ir embora	verb	0.71
theorise	teorizar	verb	0.92
notation	anotação	noun	0.93
nurse	cuidar	verb	0.85
seal	foca	noun	0.94
football	futebol	noun	0.98
get rid of	matar	verb	0.92
architecture	arquitetura	noun	0.95
disabled	mutilado	adjective	0.65
plain	singelo	adjective	0.93
worshipper	reedificação	noun	0.79
assumption	suposição	noun	0.95
partnership	sociedade	noun	0.92
cure	cura	noun	0.94
context	contexto	noun	0.97
Warin	FODEPAL	properNoun	0.96
intensity	intensidade	noun	0.94
pacify	apaziguar	verb	0.66
imply	acarretar	verb	0.85
slit	talhar	verb	0.92
width	largura	noun	0.97
half-open	reescalar	verb	0.97
Eustace	ERP	properNoun	0.96
precision	precisão	noun	0.99
flatter	discordar	verb	0.59
functional	funcional	adjective	0.9
be advantageous	interesar	verb	0.98
Mozambique	Moçambique	properNoun	0.97
dance	dançar	verb	0.94
scour	registar	verb	0.98
bishop	bispo	noun	0.94
Faye	Denisar	properNoun	0.98
delight	encantar	verb	0.91
message	mensagem	noun	0.95
old	velho	adjective	0.97
square	condizer	verb	0.96
margin	margem	noun	0.96
carry	levar	verb	0.96
exemption	isenção	noun	0.94
an eleven	Catalunha	noun	0.99
talent	talento	noun	0.82
Maldives	Alcalà	properNoun	0.69
waste	malbaratar	verb	0.9
Kabul	Kabul	properNoun	0.99
stock	prover	verb	0.82
trot	desflorestar	verb	0.6
Meryell	VAA	properNoun	0.95
Nathan	Nathan	properNoun	0.98
Kady	Messias	properNoun	0.99
intensify	intensificar	verb	0.92
dig	cavar	verb	0.87
preach	predicar	verb	0.95
long-term	monasticismo	noun	0.99
linked	abreviado	adjective	0.97
biomedical	biomédico	adjective	0.98
principal	mor	adjective	0.98
flow into	dar nas vistas	verb	0.98
victorious	vitorioso	adjective	0.92
go mad	escarear	verb	0.96
following	seguinte	adjective	0.94
conclude	concluir	verb	0.97
that	que	relativePronoun	0.79
that	aquele	pronoun	0.96
that	aquele	determiner	0.97
that	aquele	demonstrativePronoun	0.97
Dolgellau	Olavo	properNoun	0.99
never	jamais	adverb	0.99
wrinkle	franzir	verb	0.89
wireless	bimestral	adjective	0.69
level	nível	noun	0.96
youth	juventude	noun	0.96
publisher	editora	noun	0.96
profit	aproveitar	verb	0.76
sicken	repugnar	verb	0.8
twin	fraternizar	verb	0.87
oil	grabar	verb	0.89
presume	supor	verb	0.97
treatment	tratamento	noun	0.93
big	grande	adjective	0.98
sign	assinar	verb	0.97
release	excarceração	noun	0.96
become restless	auto-avaliar	verb	0.99
portion	porção	noun	0.93
packet	pacote	noun	0.99
blind copy	venta	noun	0.99
flash	grecizar	verb	0.57
weak	fraco	adjective	0.93
caterpillar	caterpillar	noun	0.95
trace	traçar	verb	0.9
spout	aspergir	verb	0.81
orthodox	ortodoxo	adjective	0.9
undertaking	tarefa	noun	0.88
commission	comissão	noun	0.97
baptise	batizar	verb	0.99
make ready	posibilitar	verb	0.99
sew with large stitches	apostar na	verb	0.99
poet	poeta	noun	0.95
agree	concordar	verb	0.93
prisoner	prisioneiro	noun	0.97
rape	estupro	noun	0.97
encoding	codificação	noun	0.94
town	cidade	noun	0.91
unperformed action	salário extra	noun	0.99
Hong Kong	Hong Kong	properNoun	0.96
median	média	noun	0.75
carpet	meter	verb	0.79
forbid	proibir	verb	0.99
ventilate	ventilar	verb	0.93
sting	picar	verb	0.86
overcome	vencer	verb	0.86
negate	anular	verb	0.96
angry	aborrecido	adjective	0.9
science	ciência	noun	0.97
impound	confiscar	verb	0.96
non-negative	soalheiro	adjective	0.99
