production	production	noun	0.95
problème de formation	foul play	noun	0.99
corrélativement	out of all fairness	adverb	0.96
penchant	penchant	noun	0.9
âge	age	noun	0.89
petit	munchkin	noun	0.96
de force	by force	adverb	0.94
formule	formula	noun	0.92
aigre	cold-short	adjective	0.98
razzia	sense of hearing	noun	0.85
dignité	dignity	noun	0.9
étudier	transact	verb	0.86
transmission	transmission	noun	0.9
Trégorois	champion captain of a fishing vessel	noun	0.99
avoir	depository	noun	0.94
Île de Bretagne	Belushi	properNoun	0.99
Merlevenez	Ertzaintza	properNoun	0.99
depuis le début de	any kind of	preposition	0.97
malheur	misfortune	noun	0.87
salaire brut	nativity play	noun	0.99
participant	entrant	noun	0.99
prêter	loan	verb	0.98
fibre	fiber	noun	0.97
Haut-Karabagh	AdriaMed	properNoun	0.96
Locoal-Mendon	Kopzhan	properNoun	0.99
marais	bog	noun	0.97
tare	weight	noun	0.79
Jordanien	double-dealing	noun	0.88
Jean-Luc	Jean-Luc	properNoun	0.94
ferme	farmhouse	noun	0.91
tapis	carpet	noun	0.99
diffuser	spread	verb	0.88
France	France	properNoun	0.96
structure privée	spooler	noun	0.99
mammifère	mammal	noun	0.99
jusque	up to	preposition	0.99
pour de bon	as it turned out	adverb	0.97
Corée du Sud	South Korea	properNoun	0.95
ennui	tedium	noun	0.94
coq	rooster	noun	0.94
étrange	weird	adjective	0.99
à partir de l’année prochaine	wirelessly	adverb	0.99
estimation	estimating	noun	0.96
rappeler à	cosh	verb	0.98
Guingamp Communauté	Etnoland	properNoun	0.99
chevreuil	roebuck	noun	0.96
conseiller	advise	verb	0.96
avant que	on the edge of	preposition	0.99
renouvellement	refurbishment	noun	0.99
souterrain	subterranean	adjective	0.99
Plougar	Charalampos	properNoun	0.99
Yougoslavie	Yugoslavia	properNoun	0.97
espace	blank	noun	0.94
déplaire	displease	verb	0.93
sacrifice	sacrifice	noun	0.94
si	provided	subordinatingConjunction	0.99
Kuzul ar Brezhoneg	Rhyl	properNoun	0.99
base	footing	noun	0.97
Javené	Izudin	properNoun	0.99
relever les filets	build customer loyalty	verb	0.99
Turc	Turk	noun	0.93
Chapelle-Neuve	Tutin	properNoun	0.99
caractériser	epitomize	verb	0.97
danseur	dancer	noun	0.91
délégation	delegation	noun	0.98
traduire un texte	make suitable	verb	0.92
poirier	rentier	noun	0.67
Benjamin	Benjamin	properNoun	0.82
civil	civilian	noun	0.91
Burundais	centenarian	noun	0.96
cochon de Inde	street with right of way	noun	0.99
refuser	rebuff	verb	0.98
piège	trap	noun	0.96
débraillé	unflattering	adjective	0.85
orfèvre	train station	noun	0.79
terminologie	terminology	noun	0.98
chaise roulante	wheelchair	noun	0.93
à égalité	high up	adverb	0.99
lieu d’accueil	main effect	noun	0.99
psychologue	psychologist	noun	0.98
Cariou	Basar	properNoun	0.99
mais	but rather	coordinatingConjunction	0.98
siècle	centennial	noun	0.97
Paule	Paule	properNoun	0.98
Pays de Cornouaille	Sahlin	properNoun	0.99
aussitôt que	as soon as	subordinatingConjunction	0.91
cher ami	shush	interjection	0.98
torture	torture	noun	0.95
joueur de foot	anti-Welsh feeling	noun	0.99
Quiou	Muntari	properNoun	0.99
patinoire	long jump	noun	0.9
tirer	haul	verb	0.77
brèche	breach	noun	0.71
Delphine	Delphine	properNoun	0.97
médical	medical	adjective	0.96
fromage	cheese	noun	0.97
de mauvaise foi	according to legend	adverb	0.99
immobile	motionless	adjective	0.98
mettre en ordre	arrange	verb	0.86
harpe	harp	noun	0.98
salut	salvation	noun	0.87
horrible	ghastly	adjective	0.98
thermomètre	thermometer	noun	0.99
pleuvoir	hail down	verb	0.98
révision	overhaul	noun	0.99
sémaphore	semaphore	noun	1.0
Saint-Jacques-de-la-Lande	Poldi	properNoun	0.99
Maine	Maine	properNoun	0.96
aboiement	encoder	noun	0.83
Clermont-Ferrand	Syr-Darya	properNoun	0.81
Gwenola	Arus	properNoun	0.99
pisser	piss	verb	0.9
parquet	parquet	noun	0.94
enfant de coeur	registrant	noun	0.99
capuchon	cap	noun	0.84
croisade	crusade	noun	0.88
demandeur d’emploi	cosmetologist	noun	0.99
Judith	Judith	properNoun	0.95
Persquen	Pascariu	properNoun	0.99
malice	malice	noun	0.91
chemineau	vagabond	noun	0.96
métis	wastewater	noun	0.74
calmer	subside	verb	0.96
tinter	jingle	verb	0.97
soupe aux poireaux	date of maturity	noun	0.99
détenteur	possessor	noun	0.9
go	parent-teacher association	noun	0.96
jouer de la harpe	keep a safe distance	verb	0.96
mufle	snout	noun	0.86
Bissau-Guinéen	eyehole	noun	0.99
plan de formation	one third	noun	0.99
poser comme objectifs	be funny	verb	0.98
moyen-breton	pursuer	noun	0.99
jatte	'tub'	noun	0.89
crayon	pencil	noun	0.99
Skolan	Zar	properNoun	0.99
mariage	marriage	noun	0.97
pélican	spell checker	noun	0.81
Vignoc	Sayginer	properNoun	0.99
