production	produção	noun	0.97
problème de formation	ponto base	noun	0.99
corrélativement	imcomparavelmente	adverb	0.96
penchant	inclinação	noun	0.85
âge	idade	noun	0.98
petit	criança	noun	0.95
de force	à força	adverb	0.91
formule	fórmula	noun	0.93
aigre	ácido	adjective	0.9
razzia	antiderrapante	noun	0.85
dignité	dignidade	noun	0.93
étudier	tramitar	verb	0.95
transmission	transmissão	noun	0.92
Trégorois	translocação	noun	0.99
avoir	reservatório	noun	0.95
Île de Bretagne	IGCP	properNoun	0.99
Merlevenez	Lucélia	properNoun	0.99
depuis le début de	com exceção de	preposition	0.97
malheur	desgraça	noun	0.93
salaire brut	gineceu	noun	0.99
participant	participante	noun	0.98
prêter	emprestar	verb	0.98
fibre	fibra	noun	0.9
Haut-Karabagh	EFE	properNoun	0.96
Locoal-Mendon	Denisar	properNoun	0.99
marais	marisma	noun	0.97
tare	peso	noun	0.82
Jordanien	jordano	noun	0.94
Jean-Luc	Sarmento	properNoun	0.9
ferme	granja	noun	0.93
tapis	tapete	noun	0.99
diffuser	difundir	verb	0.95
France	França	properNoun	0.98
structure privée	muestra	noun	0.99
mammifère	mamífero	noun	0.99
jusque	até	preposition	0.98
pour de bon	como eu	adverb	0.97
Corée du Sud	Coreia do Sul	properNoun	0.97
ennui	tédio	noun	0.94
coq	galo	noun	0.95
étrange	esquisito	adjective	0.99
à partir de l’année prochaine	embusteiramente	adverb	0.99
estimation	estimativa	noun	0.96
rappeler à	combinar com as	verb	0.98
Guingamp Communauté	IEC	properNoun	0.99
chevreuil	cromado	noun	0.78
conseiller	assessorar	verb	0.97
avant que	ao som de	preposition	0.99
renouvellement	renovação	noun	0.99
souterrain	subterrâneo	adjective	0.99
Plougar	APDC	properNoun	0.99
Yougoslavie	Iugoslávia	properNoun	0.99
espace	espaço	noun	0.94
déplaire	desagradar	verb	0.8
sacrifice	sacrifício	noun	0.98
si	se	subordinatingConjunction	0.97
Kuzul ar Brezhoneg	Ivone	properNoun	0.99
base	base	noun	0.96
Javené	Marjorie	properNoun	0.99
relever les filets	procesar	verb	0.98
Turc	turco	noun	0.91
Chapelle-Neuve	Maitê	properNoun	0.99
caractériser	caracterizar	verb	0.98
danseur	bailarino	noun	0.93
délégation	delegação	noun	0.98
traduire un texte	higienizar	verb	0.92
poirier	pereiro	noun	0.96
Benjamin	Benjamin	properNoun	0.94
civil	alimentador	noun	0.62
Burundais	Catalunha	noun	0.95
cochon de Inde	Catalunha	noun	0.99
refuser	rechaçar	verb	0.98
piège	armadilha	noun	0.97
débraillé	grosseiro	adjective	0.84
orfèvre	homófobo	noun	0.79
terminologie	terminologia	noun	0.98
chaise roulante	aerofobia	noun	0.92
à égalité	magramente	adverb	0.99
lieu d’accueil	vestimenta	noun	0.99
psychologue	psicólogo	noun	0.97
Cariou	Chizzy	properNoun	0.99
mais	mas	coordinatingConjunction	0.99
siècle	século	noun	0.98
Paule	PIB	properNoun	0.94
Pays de Cornouaille	Aymara	properNoun	0.99
aussitôt que	de modo que	subordinatingConjunction	0.76
cher ami	maior agradecimento	interjection	0.98
torture	tortura	noun	0.98
joueur de foot	junção	noun	0.99
Quiou	Hannie	properNoun	0.99
patinoire	arborescência	noun	0.9
tirer	puxar	verb	0.83
brèche	brecha	noun	0.93
Delphine	Manciel	properNoun	0.94
médical	médico	adjective	0.99
fromage	queijo	noun	0.97
de mauvaise foi	questionável	adverb	0.99
immobile	imóvel	adjective	0.99
mettre en ordre	arranjar	verb	0.87
harpe	harpa	noun	0.98
salut	salvação	noun	0.89
horrible	horrível	adjective	0.96
thermomètre	termómetro	noun	0.98
pleuvoir	chover	verb	0.98
révision	revisão	noun	0.97
sémaphore	semáforo	noun	0.99
Saint-Jacques-de-la-Lande	Bordello	properNoun	0.99
Maine	von Bernadette	properNoun	0.75
aboiement	codificador	noun	0.84
Clermont-Ferrand	Foletto	properNoun	0.82
Gwenola	Maitê	properNoun	0.99
pisser	orientalizar	verb	0.65
parquet	promotoria	noun	0.7
enfant de coeur	cirugia	noun	0.99
capuchon	capuz	noun	0.79
croisade	cruzada	noun	0.97
demandeur d’emploi	tarifário	noun	0.99
Judith	Rugghia	properNoun	0.77
Persquen	Geytsa	properNoun	0.99
malice	malícia	noun	0.99
chemineau	vadio	noun	0.9
métis	mestiço	noun	0.94
calmer	acalmar	verb	0.96
tinter	soar	verb	0.96
soupe aux poireaux	urze	noun	0.99
détenteur	detentor	noun	0.95
go	São	noun	0.96
jouer de la harpe	probar	verb	0.96
mufle	focinho	noun	0.95
Bissau-Guinéen	trabalhador por conta de outrem	noun	0.99
plan de formation	RTP	noun	0.99
poser comme objectifs	encubrir	verb	0.98
moyen-breton	urze	noun	0.99
jatte	cozido	noun	0.9
crayon	lápis	noun	0.99
Skolan	Betsy	properNoun	0.99
mariage	casamento	noun	0.93
pélican	pelicano	noun	0.94
Vignoc	Heslaine	properNoun	0.99
sauce	molho	noun	0.98
traître	traiçoeiro	noun	0.95
suite	continuação	noun	0.86
petit	pequeno	adjective	0.99
amoureux	puto	noun	0.72
Rouillac	Edésio	properNoun	0.99
jésuite	jesuíta	noun	0.97
depuis la fin de	de mais de	preposition	0.72
Lusanger	CCD	properNoun	0.99
fantasmagorie	fantasmagoria	noun	0.98
depuis des siècles	cada um na sua	adverb	0.99
Kan ar Bobl	Palácio do Planalto	properNoun	0.99
dissoudre	dissolver	verb	0.99
cela	isso	pronoun	0.99
agrafe	colchete	noun	0.79
air	ar	noun	0.96
marche	marcha	noun	0.9
pagne	aninhamento	noun	0.99
maçonnerie	maçonaria	noun	0.95
fin juin	beijoqueiramente	adverb	0.7
vous-mêmes	mim	pronoun	0.97
vous-mêmes	se	reflexivePersonalPronoun	0.64
abus	abuso	noun	0.97
libre	livre	adjective	0.93
hésiter	vacilar	verb	0.97
autonomiste	autonomista	noun	0.96
argumenter	argumentar	verb	0.98
Émile	Émile	properNoun	0.94
confrère	parceiro	noun	0.93
vaisselle	louça	noun	0.97
dresser la table	gostar de si própria	verb	0.98
vivoter	auto-avaliar	verb	0.99
merci beaucoup	muito obrigado	interjection	0.9
a capella	imcomparavelmente	adverb	0.99
pommette	ozonização	noun	0.67
puisque	já que	subordinatingConjunction	0.98
à l’étranger	e daí	adverb	0.99
patte	perna	noun	0.93
soulever	alçar	verb	0.96
tant et si bien que	de vez	subordinatingConjunction	0.99
piquette	coagulante	noun	0.99
diversité	diversidade	noun	0.98
Éthiopie	Etiópia	properNoun	0.99
en août	no duro	adverb	0.92
automatiquement	automaticamente	adverb	0.99
Îles Féroé	DJ	properNoun	0.92
torsion	giro	noun	0.87
Uruguayen	uruguaio	noun	1.0
Amiard	Fafá	properNoun	0.99
peintre	pintor	noun	0.96
faire	aprontar	verb	0.95
cafetière	mercantilista	noun	0.85
au revoir à tous	um forte abraço	interjection	0.98
plusieurs années	rotacionalmente	adverb	0.99
sondage	sondagem	noun	0.93
défaut	defeito	noun	0.95
rétractile	orleanista	adjective	0.9
tête	cabeça	noun	0.95
récemment	recém	adverb	0.95
Pouliquen	Denisar	properNoun	0.99
rendre plus efficace	descubrir	verb	0.99
moulin	moinho	noun	0.97
fumée	fumaça	noun	0.98
tas	montão	noun	0.96
plancher	solo	noun	0.98
reine	rei	noun	0.73
salarier	estagiar	verb	0.95
Département des Côtes d’Armor	Olavo	properNoun	0.99
campement	acampamento	noun	0.89
poids	peso	noun	0.98
besoin	necessidade	noun	0.98
commencer	começar	verb	0.97
consultation	consulta	noun	0.98
aboyer	ter hipótese	verb	0.68
quand même	reaccionariamente	adverb	0.74
Bonnemain	Nathalia	properNoun	0.99
manière de faire	monasticismo	noun	0.99
cheval	cavalo	noun	0.99
secteur	sector	noun	0.95
transaction	transação	noun	0.95
gibier	caça	noun	0.9
permettre	permitir	verb	0.95
passer de	decorrer	verb	0.96
aller chez le dentiste	dar nas vistas	verb	0.98
bonjour	em prol de	interjection	0.63
mou	macio	adjective	0.95
immigrer	imigrar	verb	0.98
coquille	concha	noun	0.95
rituel	ritual	noun	0.97
commode	cômoda	noun	0.79
curieux	curioso	adjective	0.96
depuis	desde então	adverb	0.9
Kerneis	Danuta	properNoun	0.99
signe	signo	noun	0.97
quarteron	designador	noun	0.99
saisir	apoderar	verb	0.97
Sked	AENOR	properNoun	0.99
kangourou	canguru	noun	0.97
modernisation	modernização	noun	0.98
spécial	especial	adjective	0.97
sourire	sorriso	noun	0.98
quelqu’un	tú	pronoun	0.93
b	emocionante	noun	0.94
dans	dentro de	preposition	0.98
en dessous de	abaixo de	preposition	0.98
sou	cêntimo	noun	0.82
