proprietário	propriétaire	noun	0.99
abono	acompte	noun	0.97
cercania	approches	noun	0.98
ancorar	ancrer	verb	0.98
quarenta	quarante	numeral	1.0
monitorização	contrôle	noun	0.9
Lus	La Courneuve	properNoun	0.99
regular	standard	adjective	0.89
refúgio	gite	noun	0.96
visibilidade	visibilité	noun	0.99
exoneração	exonération	noun	0.99
guarda	garde	noun	0.95
néscio	nigaud	adjective	0.94
racionalidade	rationalité	noun	0.91
milionariamente	frais	adverb	0.99
alcantilado	falaise	noun	0.95
rotina	routine	noun	0.98
decolar	décoller	verb	0.94
cartão	targe	noun	0.97
desconhecedor	81ème	adjective	0.97
check-out	serviette en papier	noun	0.99
ocidente	occident	noun	0.99
tríade	cathartique	noun	0.97
calmamente	tranquillement	adverb	0.98
filho	fils	noun	0.99
ligeiro	léger	adjective	0.97
reativação	réactivation	noun	1.0
aos montes	pas beaucoup de	adverb	0.91
inimigo	ennemi	noun	0.99
sediar	accueillir	verb	0.97
sustentavelmente	hétérodoxement	adverb	0.73
meta	étape importante	noun	0.88
seio	sein	noun	0.97
Rubiralta	Volapük	properNoun	0.96
fera	fauve	noun	0.91
treva	ténèbre	noun	0.94
noivo	fiancé	noun	0.98
indiretamente	indirectement	adverb	0.99
desgraça pouca é bobagem	complètement faux	adverb	0.97
guerreiro	guerrier	adjective	0.98
problemático	problématique	adjective	0.99
som	son	noun	0.98
em vão	en vain	adverb	0.92
repressivo	répressif	adjective	0.98
bilheteira	guichet	noun	0.95
gênero	genre	noun	0.98
diluição	dilution	noun	1.0
imobiliária	immeuble	noun	0.76
arrogância	arrogance	noun	0.95
carinhoso	aimant	adjective	0.99
ventilador	ventilateur	noun	0.99
temporão	anticipé	adjective	0.96
consistente	consistant	adjective	0.96
extruir	taser	verb	0.98
chapéu	chapeau	noun	0.99
lançar	élancer	verb	0.95
dupla	couple	noun	0.97
rede	réseau	noun	0.94
pensão	pension	noun	0.99
substância	substance	noun	0.97
assentir	acquiescer	verb	0.97
elasticidade	élasticité	noun	0.99
dermatológico	dermatologique	adjective	0.93
mobiliário	mobilier	adjective	0.96
tchau	au jour d’aujourd’hui	adverb	0.99
interditadamente	de l’autre côté	adverb	0.98
elementar	élémentaire	adjective	0.96
a varejo	au détail	adverb	0.9
Infarmed	Abu Dhabi Investment Authority	properNoun	0.99
Mello	Mello	properNoun	0.98
valentemente	colériquement	adverb	0.86
Lituânia	Lituanie	properNoun	0.99
empilhamento	morgan	noun	0.92
ovação	ovation	noun	0.99
postumamente	posthumement	adverb	0.98
belamente	bellement	adverb	0.95
CVTelecom	Abaurreas	properNoun	0.99
sedimentar	avoir une sale gueule	verb	0.85
depressivamente	par ricochet	adverb	0.83
configurar	configurer	verb	0.97
microbiano	microbien	adjective	0.97
efectivar	être conscient de	verb	0.94
aclimatar	acclimater	verb	0.86
Médio Oriente	Moyen-Orient	properNoun	0.99
conforme combinamos	à mardi	interjection	0.99
arrepender	repentir	verb	0.94
refinado	réfiné	adjective	0.99
maleabilidade	malléabilité	noun	0.98
indicação	indication	noun	0.92
dentado	cranté	adjective	0.98
para perto de	approchant	adverb	0.98
isoladamente	isolément	adverb	0.8
nodo	noeud	noun	0.99
tributação	imposte	noun	0.91
Vicente	Vicente	properNoun	0.99
certeza	certitude	noun	0.99
transporte	transport	noun	0.98
empacotamento	empaquetage	noun	0.82
astrônomo	astronome	noun	0.98
dependente	dépendant	adjective	0.99
apresentar	présenter	verb	0.88
Gutiérrez	Gutiérrez	properNoun	1.0
URL	URL	noun	0.95
ninho	nid	noun	0.97
microeconómico	micro-économique	adjective	0.98
demais	staccato	noun	0.99
litigar	plaider	verb	0.88
frequentar	hanter	verb	0.99
qual	comment est-ce que	adverb	0.99
qual	comment est-ce que	relativePronoun	0.99
qual	comme	pronoun	0.99
qual	comme	interrogativePronoun	0.91
assinante	signataire	noun	0.83
Salgueiro	Salgueiro	properNoun	0.97
marca	marque	noun	0.86
reprodução	reproduction	noun	0.96
duplicação	duplication	noun	0.99
sábio	savant	adjective	0.97
complemento	complément	noun	0.97
Wifredo	Wifredo	properNoun	0.98
lance	licitation	noun	0.87
inquebrantavelmente	doctrinairement	adverb	0.95
subtil	subtil	adjective	0.99
roda	roue	noun	0.97
devastar	élaguer	verb	0.88
teclado	clavier	noun	0.99
Ghana	Ghana	properNoun	0.99
desenhar	dessiner	verb	0.97
fatalidade	fatalité	noun	0.98
canonicamente	canoniquement	adverb	0.98
alpaca	alpaga	noun	0.97
desflorestação	déforestation	noun	0.98
rebaixo	SUI	noun	0.98
sul-africano	sud-africain	adjective	0.97
multifuncionalidade	cheval d’arçons	noun	0.91
