word	trans	pos
defeatist	synagogal	adjective
reflecting	réflecteur	adjective
continual	persistant	adjective
centralizing	pelé	adjective
multifunction	transpadan	adjective
differing	différent	adjective
inconclusive	préformaté	adjective
expatriate	additionnable	adjective
drinker	d'avant-guerre	adjective
trirectangular	trirectangle	adjective
hegemonic	hégémonique	adjective
incessant	incessant	adjective
vigorous	énergique	adjective
semiannual	semestriel	adjective
honorific	honorifique	adjective
leasing	spiroïde	adjective
descendent	descendant	adjective
Freudian	pénétratif	adjective
installing	susceptible de	adjective
orquestrated	irrépétible	adjective
sixty-sixth	soixante-sixième	adjective
undue	indu	adjective
Canarian	canarien	adjective
relieved	affameur	adjective
Pontevedran	de pontevedra	adjective
outdated	démodé	adjective
inquisitorial	inquisitorial	adjective
giant	géant	adjective
customs	douanier	adjective
eventual	éventuel	adjective
degrading	dégradant	adjective
proprietary	propriétaire	adjective
clumsy	malhabile	adjective
caloric	calorique	adjective
individualist	individualiste	adjective
indecent	libertin	adjective
acquitted	sentimentaliste	adjective
facile	simple	adjective
sculptural	sculptural	adjective
triatomic	triatomique	adjective
publishing	éditorial	adjective
sensitive	impressionnable	adjective
endangered	psychopathe	adjective
well-bodied	de janvier	adjective
awesome	bluffant	adjective
oppressive	étouffant	adjective
low quality	de pacotille	adjective
thirty-ninth	trente-neuvième	adjective
glycemic	ansérin	adjective
misleading	fallacieux	adjective
town-planning	urbanistique	adjective
from Pontevedra	de pontevedra	adjective
mortgage	hypothécaire	adjective
non-dom	anti-égalitariste	adjective
high-tech	boraté	adjective
coronary	coronaire	adjective
insurance	fixateur	adjective
authorising	gestionnaire	adjective
starry	assertif	adjective
alone	seul	adjective
polycentric	tongan	adjective
gigantic	gargantuesque	adjective
rusty	parafinancier	adjective
exposed	exposé	adjective
poignant	pathétique	adjective
confrontational	polémique	adjective
orphan	orphelin	adjective
hi-tech	boraté	adjective
secretive	silencieux	adjective
qualifying	dalmatique	adjective
jurisprudential	jurisprudentiel	adjective
lovable	ensorceleur	adjective
dissembled	férial	adjective
theirs	à eux	adjective
liable	enclin	adjective
fathomless	insondable	adjective
topographical	topographique	adjective
directional	directionnel	adjective
bland	banal	adjective
moving	émotif	adjective
melodic	mélodique	adjective
polygenetic	polygénique	adjective
hedonistic	hédoniste	adjective
crowded	replet	adjective
utilitarian	utilitariste	adjective
aspirant	aspirant	adjective
single-handed	légiste	adjective
less	mélomane	adjective
nonmaterial	immatériel	adjective
unincorporated	mobilisateur	adjective
corrosive	corrosif	adjective
white-haired	gris	adjective
ascorbic	ascorbique	adjective
oxytonic	31ème	adjective
surviving	survivant	adjective
Pomeranian	hopi	adjective
emphyteutic	annalistique	adjective
semidiurnal	calleux	adjective
symbolist	symboliste	adjective
unashamed	déluré	adjective
setting	portatif	adjective
armed	altéré	adjective
archiepiscopal	poissonneux	adjective
declining	décroissant	adjective
isotopic	isotopique	adjective
unskilled	volatile	adjective
troublesome	incommodant	adjective
giver	vocatif	adjective
tubular	tubulaire	adjective
mesenchymatous	coagulé	adjective
research	hémiptère	adjective
mesophilous	mésophile	adjective
foggy	nébuleux	adjective
meditative	méditatif	adjective
unconfirmed	ganoïde	adjective
pervasive	dominant	adjective
unheard	sans précédent	adjective
semi-automatic	semi-automatique	adjective
unpresentable	intercostal	adjective
exonerated	69ème	adjective
presumptuous	rogue	adjective
pelvic	palpébral	adjective
brusque	incivique	adjective
meaningful	significatif	adjective
battered	sable	adjective
optoelectronical	optoélectronique	adjective
leakproof	rodenticide	adjective
egregious	majuscule	adjective
ninety-second	quatre-vingt-douzième	adjective
contributor	coopératif	adjective
undisputed	indiscutable	adjective
Visigoth	acineux	adjective
maiden	virginal	adjective
flexographic	palindromique	adjective
familiar	familial	adjective
activated	de perle	adjective
domineering	impérieux	adjective
careful	avisé	adjective
disjointed	multicanal	adjective
artless	innocent	adjective
back	d'arrière	adjective
decentralized	topless	adjective
insipid	sans goût	adjective
expansionary	expansif	adjective
excessive	en trop	adjective
pre-cooked	montaniste	adjective
biting	mordant	adjective
bounded	stipulaire	adjective
anti-doping	anti-doping	adjective
vesical	vésical	adjective
beneficial	profitable	adjective
eighty-sixth	quatre-vingt-sixième	adjective
perpetual	à perpétuité	adjective
lefthand	gauche	adjective
gentlemanly	chevaleresque	adjective
syndicalistic	syndicaliste	adjective
unfulfilled	de communication	adjective
single-hander	légiste	adjective
devoted	éperdu	adjective
schizophrenic	schizophrénique	adjective
diffusing	cannabinoïde	adjective
intuitionistic	rouge vif	adjective
Taliban	taliban	adjective
incensed	furieux	adjective
skilled	spécialisé	adjective
infertile	infertile	adjective
unwelcome	indésirable	adjective
foolhardy	téméraire	adjective
supported	supporté	adjective
maverick	anti-conformiste	adjective
basophile	basophile	adjective
hunky-dory	endothélial	adjective
eighty-eighth	quatre-vingt-huitième	adjective
winsome	ensorceleur	adjective
decision-making	décisoire	adjective
unrecognizable	arsenical	adjective
monosemic	monosémique	adjective
extravehicular	fixatif	adjective
Pentecostal	vacuolaire	adjective
sonic	sonique	adjective
reiterative	réitératif	adjective
downtown	centrique	adjective
counterproductive	pernicieux	adjective
multiannual	monogénique	adjective
iconic	iconique	adjective
intersectoral	intersectoriel	adjective
Byelorussian	biélorusse	adjective
interannual	filaire	adjective
motivational	motivationnel	adjective
rambling	multicanal	adjective
posterior	arrière	adjective
four-engined	quadrimoteur	adjective
spent	râpé	adjective
driving	rubescent	adjective
airbag-cushioned	triangulable	adjective
counterfeit	bidon	adjective
super	excellent	adjective
post Soviet	préformaté	adjective
diminished	cybercriminel	adjective
describable	descriptible	adjective
nudist	nudiste	adjective
organizing	organisateur	adjective
sobering	sobre	adjective
exacting	rigoureux	adjective
fivefold	sociométrique	adjective
ergonomical	ergonomique	adjective
Mexican–American	coopérativiste	adjective
marginalized	cicatriciel	adjective
inconceivable	inimaginable	adjective
saturated	révoltant	adjective
timetabling	flavescent	adjective
shipping	hydrogénoïde	adjective
themed	thématique	adjective
odorless	crispé	adjective
quite a lot of	assez de	adjective
tenanted	compostable	adjective
self-sustained	amphibolique	adjective
crippling	igbo	adjective
sunless	tri	adjective
speaking	sonore	adjective
altitudinal	altitudinaire	adjective
Northumbrian	apolaire	adjective
puzzling	déconcertant	adjective
bountiful	prodigue	adjective
integrant	intégrant	adjective
mine	à moi	adjective
sizable	considérable	adjective
ostentatious	poseur	adjective
from A Coruña	saccarique	adjective
pitiful	incommensurable	adjective
obsessive	obsessionnel	adjective
carcinogenic	filaire	adjective
amenable	docile	adjective
hers	à elle	adjective
spectrographic	spectrographique	adjective
xenophobe	xénophobe	adjective
restless	excité	adjective
autobiographical	autobiographique	adjective
garbled	confus	adjective
spirited	animé	adjective
cetacean	sans boucle	adjective
autonomist	autonomiste	adjective
tonal	tonal	adjective
spiky	aiguisé	adjective
autosomal	sérothérapique	adjective
planar	plan	adjective
from Santiago de Compostela	affranchi	adjective
meristematic	méristématique	adjective
reflected	phœnicoptériforme	adjective
who	que	adjective
moot	douteux	adjective
as many	tellement de	adjective
propagandist	propagandiste	adjective
philanthropic	altruiste	adjective
devastating	destructif	adjective
icy	glacial	adjective
bubbly	spumeux	adjective
polyunsaturated	dérégulateur	adjective
duplicate	antipanique	adjective
Riemannian	uricosurique	adjective
composite	synthétique	adjective
irrelevant	accessoire	adjective
defending	mucolytique	adjective
prototypical	prototypique	adjective
morphophysiologic	hypoallergique	adjective
wry	tors	adjective
bracing	déhiscent	adjective
exothermic	exothermique	adjective
stunning	bluffant	adjective
from San Sebastián	bibliologique	adjective
connoisseur	consommé	adjective
archival	archivistique	adjective
German	boche	adjective
ceremonial	rituel	adjective
Hasidic	hassidique	adjective
eater	ingestif	adjective
custodial	électrophysiologique	adjective
Kantian	dalmatique	adjective
pictorial	pictural	adjective
Pannonian	bambara	adjective
spotless	immaculé	adjective
rugged	saccadé	adjective
ravening	amétabole	adjective
measurable	mesurable	adjective
guaranteed	hopi	adjective
Sassanian	mamelouk	adjective
cushioned	occitanophile	adjective
ill	malsain	adjective
temperate	tiède	adjective
monogamous	affidé	adjective
building	constructif	adjective
together	joint	adjective
in love	amoureux	adjective
Keynesian	supraliminaire	adjective
flightless	triloculaire	adjective
temporal	temporal	adjective
photoelectric	photoélectrique	adjective
demonic	diabolique	adjective
occupying	suburbicaire	adjective
waxy	presbytérien	adjective
ageless	intemporel	adjective
humiferous	sexologique	adjective
adamant	ferme	adjective
reclining	évaporable	adjective
light-sensitive	photosensible	adjective
nonconformist	anti-conformiste	adjective
of great moment	murin	adjective
grunge	gélif	adjective
quinquennial	glomérulaire	adjective
eurofederalist	sochalien	adjective
hermetic	étanche	adjective
unlicensed	panhellénique	adjective
derivable	dérivable	adjective
endemical	endémique	adjective
materialist	matérialiste	adjective
memorial	commémoratif	adjective
extortionate	abusif	adjective
sociopathic	sociopathique	adjective
monoploid	butylique	adjective
villainous	mauvais	adjective
behavioral	comportementaliste	adjective
destitute	sans valeur	adjective
biennial	biennal	adjective
Balearic	baléare	adjective
Panamanian	panaméen	adjective
playable	uniformément continu	adjective
dejected	énonciatif	adjective
leftover	en trop	adjective
business	des entreprises	adjective
steadfast	ferme	adjective
unidentified	inconnu	adjective
Ugandan	loueur	adjective
former	antérieur	adjective
respectable	estimable	adjective
mayoral	consistorial	adjective
disrupted	crispé	adjective
cherished	prisé	adjective
diffused	diffus	adjective
incommunicable	incommunicable	adjective
Mycenaean	mycénien	adjective
far-right	d'extrême droite	adjective
undemonstrable	improuvable	adjective
uneconomic	anti-économique	adjective
organometallic	organométallique	adjective
overrated	chichimèque	adjective
jarring	strident	adjective
touching	émotif	adjective
monostable	ganoïde	adjective
Asiatic	asiatique	adjective
vulgar	grossier	adjective
conspicuous	proéminent	adjective
draconian	uronique	adjective
floating	flottant	adjective
zany	fou	adjective
filled	bourré	adjective
logarithmic	logarithmique	adjective
Ingush	palustre	adjective
precooked	montaniste	adjective
nymphomaniac	nominaliste	adjective
brute	brute	adjective
groovy	génial	adjective
bohemian	bohème	adjective
component	administré	adjective
glitzy	éblouissant	adjective
stabilized	régulable	adjective
fungible	dicarboxylique	adjective
paid	anxiolytique	adjective
unsuitable	inadéquat	adjective
based on facts	préconciliaire	adjective
specialized	myotonique	adjective
rowdy	criant	adjective
cryptocrystalline	phagédénique	adjective
spooky	immonde	adjective
inland	intérieur	adjective
indivisible	indivisible	adjective
emerald	sochalien	adjective
leading	protagoniste	adjective
lenient	tolérant	adjective
time	horaire	adjective
steady	ferme	adjective
withered	fanée	adjective
complex	composite	adjective
antiquated	démodé	adjective
summable	réverbérant	adjective
thirty-second	trente-deuxième	adjective
equitable	équitable	adjective
failing	déclinable	adjective
upper-case	majuscule	adjective
dotted	portatif	adjective
right wing	hispano-romain	adjective
multivitamin	phœnicoptériforme	adjective
space	spatial	adjective
lactic	lactique	adjective
orographic	orographique	adjective
fighting	combattif	adjective
brownish	flabelliforme	adjective
ectodynamomorphic	wolof	adjective
childish	infantile	adjective
cryogenic	cryogénique	adjective
woolly	caprylique	adjective
inarticulate	inarticulé	adjective
propelled	restringent	adjective
chess	nidifuge	adjective
sickening	nauséabond	adjective
Walloon	de baskonia	adjective
resistive	résistif	adjective
successful	à succès	adjective
tautosyllabic	régulable	adjective
masochistic	masochiste	adjective
spine-chilling	hideux	adjective
digastric	digastrique	adjective
homonymous	pélagien	adjective
unreleased	inédit	adjective
accused	modulable	adjective
practising	synonymique	adjective
long-haired	filiforme	adjective
bloodless	exsangue	adjective
ninety-fourth	quatre-vingt-quatorzième	adjective
pretonic	nataliste	adjective
Cimbrian	restaurable	adjective
from Madrid	madrilène	adjective
unalterable	inaltérable	adjective
polyvalent	polyvalent	adjective
standing	permanent	adjective
pyromaniacal	de communication	adjective
unfeasible	inviable	adjective
marked	fort	adjective
allotted	de lanzarote	adjective
centralising	pelé	adjective
cargo	intimidable	adjective
Hamiltonian	entropique	adjective
hardcore	explicite	adjective
spending	altératif	adjective
extraterritorial	extra-territorial	adjective
safe	hors de danger	adjective
subcompartmentalised	aversif	adjective
characterologic	caractérologique	adjective
decentralised	nancéien	adjective
collegiate	approuvé	adjective
bum	ringard	adjective
evidential	probatoire	adjective
custom	maldivien	adjective
finishing	final	adjective
hunky	ferme	adjective
opportune	susceptible de	adjective
beneficiary	cénomanien	adjective
Canaanite	miséreux	adjective
ludicrous	risible	adjective
terminally-ill	terminal	adjective
straightforward	sincère	adjective
apropos	bien-fondé	adjective
unintelligible	incompréhensible	adjective
landless	crénelé	adjective
depository	digne de considération	adjective
sumptuous	splendide	adjective
eschatological	scatologique	adjective
protracted	long	adjective
Catholic	catho	adjective
peculiar	étrange	adjective
differentiated	allant à pas de loup	adjective
eighty-first	quatre-vingt-unième	adjective
wilful	obstiné	adjective
investing	inverseur	adjective
Machiavellian	vulcanologique	adjective
preexisting	préexistant	adjective
leonine	pas encore mûr	adjective
fake	postiche	adjective
aerodynamic	aérodynamique	adjective
expressionistic	expressionniste	adjective
libidinous	libertin	adjective
fond	câlineur	adjective
postwar	d'après-guerre	adjective
ex ante	matutinal	adjective
phantasmic	fantastique	adjective
bastard	trifacial	adjective
archbishopric	sable	adjective
uniformed	uniforme	adjective
Inuit	aéroterrestre	adjective
Somali	somali	adjective
three hundredth	pétaloïde	adjective
hippy	gallo-roman	adjective
panchromatic	antiparasite	adjective
dipteral	hyalin	adjective
protoplasmic	campaniforme	adjective
lusophone	tumescent	adjective
humanist	humaniste	adjective
seventy-third	soixante-treizième	adjective
guerrilla	de guérilleros	adjective
exploratory	exploratoire	adjective
forceful	costaud	adjective
terrific	fabuleux	adjective
of uncertain age	lyré	adjective
interinstitutional	microprogrammé	adjective
scrupulous	scrupuleux	adjective
rival	rival	adjective
reoffending	récidiviste	adjective
brand-new	neuf	adjective
selling	ensoutané	adjective
buyer	oculomoteur	adjective
psychopharmacological	tex-mex	adjective
standard	standard	adjective
low	rasant	adjective
medial	médial	adjective
bimensual	bimensuel	adjective
anti-fraud	participial	adjective
drunk	saoul	adjective
marginal	dépourvu d'importance	adjective
southbound	multiculturaliste	adjective
unromantic	photorécepteur	adjective
playing	gadiforme	adjective
a posteriori	énonciatif	adjective
of some account	sochalien	adjective
adjoining	attenant	adjective
diamagnetic	dévorant	adjective
such a	tel	adjective
palatine	palatin	adjective
crewed	extranet	adjective
hungry	famélique	adjective
which one	que	adjective
sixty-fifth	soixante-cinquième	adjective
unbeaten	invaincu	adjective
evangelic	évangélique	adjective
twin	jumeau	adjective
persistent	persévérant	adjective
syntagmatic	syntagmatique	adjective
subarctic	concubinaire	adjective
lithographic	lithographique	adjective
meridional	méridional	adjective
anti-semite	antisémite	adjective
his	à soi	adjective
fashionable	de mode	adjective
perceptive	perçant	adjective
residual	résiduel	adjective
spliced	alizés	adjective
momentous	transcendental	adjective
biweekly	de bonne race	adjective
mesenteric	mésentérique	adjective
sponsoring	homotope	adjective
solidary	solidaire	adjective
naïve	dupe	adjective
genetically modified	transgénique	adjective
adequate	susceptible de	adjective
experimental	expérimental	adjective
theosophical	théosophique	adjective
tasty	de bon goût	adjective
traitorous	félon	adjective
confusing	confus	adjective
oversea	d'outre-mer	adjective
sectarian	sectaire	adjective
minimum	minimal	adjective
secessionist	sécessionniste	adjective
left-hander	gaucher	adjective
contestable	permien	adjective
mythic	mythique	adjective
restored	inexécuté	adjective
reflexive	réflexif	adjective
reading	lecteur	adjective
pop	anharmonique	adjective
descending	descendant	adjective
tortuous	mauvais	adjective
unhealthy	sanguinaire	adjective
striking	frapant	adjective
two-dimensional	bi-dimensionnel	adjective
imperfect	imparfait	adjective
of assistance	falciforme	adjective
reminiscent	évocateur	adjective
humoral	humoral	adjective
soaring	désorbité	adjective
Rhodesian	ci-après	adjective
unseen	occulte	adjective
from La Coruña	saccarique	adjective
livestock-farming	mucolytique	adjective
inapplicable	inapplicable	adjective
univocal	conductible	adjective
dilated	dilaté	adjective
cluttered	bordélique	adjective
puritan	samoyède	adjective
incoherent	inintelligible	adjective
unprecedented	inédit	adjective
pioneering	pionnier	adjective
seventy-ninth	soixante-dix-neuvième	adjective
seventy-first	soixante et onzième	adjective
offshore	étranger	adjective
multifunctional	butylique	adjective
sleeved	situable	adjective
foundational	constitutif	adjective
worthwhile	intéressant	adjective
runaway	fugitif	adjective
healthful	en bonne santé	adjective
Sunni	sunnite	adjective
Koranic	yttrique	adjective
braided	imparisyllabique	adjective
prosaic	en prose	adjective
unsolvable	insoluble	adjective
Sant Joan	inextensible	adjective
proficient	qui s'y connaît	adjective
heartfelt	véridique	adjective
broadleaf	75ème	adjective
dimensionless	adimensionnel	adjective
intermediary	intermédiaire	adjective
extensible	extensible	adjective
hung-up	obsessif	adjective
numberless	innombrable	adjective
pre-existing	préexistant	adjective
destroyer	destructeur	adjective
anti-colonialist	anticolonialiste	adjective
priceless	inappréciable	adjective
overbearing	prépotent	adjective
nutritional	nutritionnel	adjective
rear	de derrière	adjective
nutraceutical	gaviiforme	adjective
nucleophilic	carmin	adjective
electroweak	permien	adjective
ciliated	cilié	adjective
scant	rarissime	adjective
Levantine	d'est	adjective
favourable	propice	adjective
dispensatory	permien	adjective
oscillatory	oscillatoire	adjective
determinant	dédicatoire	adjective
inspector	orthochromatique	adjective
unauthorized	gallo-roman	adjective
dietary	diététique	adjective
seventy-eighth	soixante-dix-huitième	adjective
life-sized	glucuronique	adjective
photosynthetic	photosynthétique	adjective
palaeographical	paléographique	adjective
Argentinean	argentin	adjective
left wing	wallisien	adjective
Bactrian	bactrien	adjective
from Lugo	théocentrique	adjective
haphazard	fortuit	adjective
rhotic	affaité	adjective
repressed	subintrant	adjective
rich	nanti	adjective
Cardassian	peccable	adjective
tricolour	einsténien	adjective
breakaway	sécessionniste	adjective
horrific	immonde	adjective
bloodstained	sanguinolent	adjective
left-wing	matrilocal	adjective
searcher	ultramontain	adjective
allopatric	allopatrique	adjective
state	de l'état	adjective
delimitable	délimitable	adjective
steamy	vaporeux	adjective
autotrophic	autotrophe	adjective
swampy	marécageux	adjective
direct	rectiligne	adjective
unimpeded	exempt	adjective
championing	atlantico	adjective
prothetic	prothétique	adjective
sixty-ninth	soixante-neuvième	adjective
banking	bancaire	adjective
missionary	missionnaire	adjective
saucy	déluré	adjective
of the same mind	évaporatoire	adjective
isochronal	accusable	adjective
offline	tricyclique	adjective
grooved	repopulateur	adjective
Helladic	préconçu	adjective
sparse	rarissime	adjective
denumerable	nombrable	adjective
vigilant	attentif	adjective
perched	dansant	adjective
crosswise	transversal	adjective
in good spirits	animé	adjective
forty-first	quarante et unième	adjective
prokaryotic	procaryote	adjective
forty-third	quarante-troisième	adjective
wooded	rivulaire	adjective
ample	plantureux	adjective
prosthetic	prothétique	adjective
coprophagous	chatoyant	adjective
molar	molaire	adjective
superlative	exceptionnel	adjective
disproportionate	disproportionné	adjective
correlative	corrélatif	adjective
unequalled	hors de pair	adjective
pyramidal	piramidal	adjective
transboundary	transfrontalier	adjective
jolly	joissif	adjective
helicoid	hélicoïde	adjective
rail	ferroviaire	adjective
brimming	décapant	adjective
orthographical	orthographique	adjective
managing	gestionnaire	adjective
bailed-out	neumatique	adjective
generative	génératif	adjective
inelastic	inélastique	adjective
unlucky	malheureux	adjective
slanted	biaisé	adjective
conjunctival	diffusionniste	adjective
liberating	libérateur	adjective
microcrystalline	microcristallin	adjective
fusible	fusible	adjective
euphoretic	euphorisant	adjective
changing	changeant	adjective
idiographic	infralittoral	adjective
vengeful	rancunier	adjective
Omani	bibliologique	adjective
succinct	concis	adjective
assaulted	néocolonial	adjective
worded	équatoguinéen	adjective
irreconcilable	incongru	adjective
awed	craintif	adjective
benevolent	bienfaisant	adjective
traceable	localisable	adjective
blue	azur	adjective
northeastern	nord-oriental	adjective
clitoral	tuberculoïde	adjective
heavy-handed	malhabile	adjective
courageous	valeureux	adjective
yielding	lucratif	adjective
