insufficient	insuffisant	adjective	0.93
candle	bougie	noun	0.94
tromino	bulletin météorologique	noun	0.99
happy	content	adjective	0.97
incompatible	incompatible	adjective	0.97
filter	filtrer	verb	0.98
cabinet	armoire	noun	0.95
whole	entier	adjective	0.96
entrusted	synchronique	adjective	0.98
discuss	parler	verb	0.93
Asturias	Asturies	properNoun	0.98
isolation	isolement	noun	0.9
become mouldy	surendetter	verb	0.99
non-identifiable	germano-soviétique	adjective	0.99
still	tranquille	adjective	0.82
consecutive	consécutif	adjective	0.91
call	appel	noun	0.93
systematic	systématique	adjective	0.96
frustration	frustration	noun	0.9
conjure	charmer	verb	0.88
rerun	étrenner	verb	0.87
carrier	déménageur	noun	0.92
Federated States of Micronesia	Gouesnière	properNoun	0.97
wonderful	merveilleux	adjective	0.92
challenge	braver	verb	0.92
tale	conte	noun	0.96
plough	ouvrer	verb	0.94
print	impression	noun	0.93
Blair	Blair	properNoun	0.98
concerned	concerné	adjective	0.8
predicament	dilemme	noun	0.84
meddle	laisser derrière soi	verb	0.69
theorise	théoriser	verb	0.92
notation	notation	noun	0.95
nurse	prendre soin	verb	0.96
seal	phoque	noun	0.95
football	football	noun	0.98
get rid of	zigouiller	verb	0.92
architecture	architecture	noun	0.97
disabled	handicapé	adjective	0.95
plain	simple	adjective	0.92
worshipper	adorateur	noun	0.84
assumption	supposition	noun	0.92
partnership	société	noun	0.83
cure	soin	noun	0.9
context	contexte	noun	0.93
Warin	Sarraute	properNoun	0.96
intensity	intensité	noun	0.95
pacify	pacifier	verb	0.94
imply	impliquer	verb	0.82
slit	tondre	verb	0.91
width	largeur	noun	0.98
half-open	entrouvrir	verb	0.99
Eustace	Eustace	properNoun	0.99
precision	précision	noun	0.98
flatter	aduler	verb	0.93
functional	fonctionnel	adjective	0.88
be advantageous	faire concurrence	verb	0.98
Mozambique	Mozambique	properNoun	0.95
dance	baller	verb	0.94
scour	perquisitionner	verb	0.97
bishop	évêque	noun	0.96
Faye	Loth	properNoun	0.99
delight	ensorceler	verb	0.89
message	message	noun	0.81
old	vieil	adjective	0.96
square	carrer	verb	0.98
margin	marge	noun	0.95
carry	ramener	verb	0.94
exemption	exemption	noun	0.93
an eleven	plus-que-passé	noun	0.99
talent	talent	noun	0.94
Maldives	Maldives	properNoun	0.95
waste	gaspiller	verb	0.94
Kabul	Kaboul	properNoun	0.99
stock	subvenir	verb	0.85
trot	trotter	verb	0.6
Meryell	Meryell	properNoun	0.98
Nathan	Nathan	properNoun	0.98
Kady	ABN Amro	properNoun	0.99
intensify	intensifier	verb	0.93
dig	terrasser	verb	0.84
preach	prêcher	verb	0.99
long-term	tétramorphe	noun	0.99
linked	proposable	adjective	0.98
biomedical	biomédical	adjective	0.96
principal	principal	adjective	0.98
flow into	déclarer au fisc	verb	0.99
victorious	victorieux	adjective	0.93
go mad	fouir	verb	0.97
following	suivant	adjective	0.97
conclude	conclure	verb	0.95
that	que	relativePronoun	0.81
that	celui	pronoun	0.95
that	celui	determiner	0.94
that	celui	demonstrativePronoun	0.95
Dolgellau	Quelneuc	properNoun	0.99
never	jamais	adverb	0.99
wrinkle	plisser	verb	0.93
wireless	sans-fil	adjective	0.95
level	niveau	noun	0.87
youth	jeunesse	noun	0.95
publisher	maison d'édition	noun	0.95
profit	profiter	verb	0.83
sicken	donner la nausée	verb	0.88
twin	jumeler	verb	0.91
oil	faire peau neuve	verb	0.89
presume	supposer	verb	0.97
treatment	traitement	noun	0.86
big	ainé	adjective	0.96
sign	signer	verb	0.93
release	désincarcération	noun	0.96
become restless	bloguer	verb	0.99
portion	portion	noun	0.85
packet	colis	noun	0.98
blind copy	connectique	noun	0.99
flash	vaciller	verb	0.72
weak	débile	adjective	0.93
caterpillar	chenille	noun	0.86
trace	localiser	verb	0.86
spout	éclabousser	verb	0.84
orthodox	orthodoxe	adjective	0.96
undertaking	corvée	noun	0.87
commission	commission	noun	0.97
baptise	baptiser	verb	1.0
make ready	pluraler	verb	0.99
sew with large stitches	faire concurrence	verb	0.99
poet	poète	noun	0.97
agree	être d'accord	verb	0.95
prisoner	prisonnier	noun	0.99
rape	viol	noun	0.99
encoding	codification	noun	0.95
town	mégalopole	noun	0.9
unperformed action	ambulacre	noun	0.99
Hong Kong	Hong Kong	properNoun	0.97
median	médiane	noun	0.97
carpet	mettre sous	verb	0.81
forbid	interdire	verb	0.92
ventilate	ventiler	verb	0.96
sting	démanger	verb	0.87
overcome	vaincre	verb	0.93
negate	invalider	verb	0.97
angry	furieux	adjective	0.61
science	science	noun	0.97
impound	saisir	verb	0.97
non-negative	37ème	adjective	0.99
Steven	Steven	properNoun	0.95
guilty	coupable	adjective	0.97
bow	être enclin	verb	0.91
skilled	spécialisé	adjective	0.82
Oceania	Océanie	properNoun	0.97
underscore	andantino	noun	0.99
Charlotte	Charlotte	properNoun	0.95
quote	citer	verb	0.93
hunt	chasser	verb	0.8
recklessness	négligence	noun	0.77
pray	prier	verb	0.94
repaint	pêcher l’anguille	verb	0.99
van	fourgon	noun	0.97
jack	avoir beaucoup de bol	verb	0.99
invisible	invisible	adjective	0.99
manufactured item	proto-indo-européen	noun	0.99
chirp	piailler	verb	0.9
commission jointly	jeter l'éponge	verb	0.99
construction	construction	noun	0.96
Scott	Scott	properNoun	0.95
grumble	bougonner	verb	0.83
reestimate	caracoler	verb	0.99
numeral	nº	noun	0.94
pound	cogner	verb	0.88
publicly	publiquement	adverb	0.99
pane	aire	noun	0.88
wavelength	télépéage	noun	0.76
situation	situation	noun	0.86
attribute	attribuer	verb	0.9
Clara	Clara	properNoun	0.95
Laura	Laura	properNoun	0.97
brown	châtain	adjective	0.95
nation	nation	noun	0.89
tennis	tennis	noun	0.94
Max	Max	properNoun	0.95
Kieran	Aalborg	properNoun	0.92
glow red-hot	monter en flèche	verb	0.99
repent	repentir	verb	0.94
burst	éclater	verb	0.98
block up	saisir des biens	verb	0.99
evaluation	évaluation	noun	0.97
little bit	hypocycloïde allongée	noun	0.99
recognition	reconnaissance	noun	0.89
hextile	partie aliquote	noun	0.99
re-erect	avoir des fourmis dans les jambes	verb	0.99
escape	échapper	verb	0.91
floor	étage	noun	0.9
defeat	vaincre	verb	0.89
Kaiden	Helen Clark	properNoun	0.98
dissent	informatiser	verb	0.7
congruent	congruent	adjective	0.98
energy	énergie	noun	0.95
generalisation	généralisation	noun	0.97
support jointly	taser	verb	0.99
double	doubler	verb	0.85
tire	fatiguer	verb	0.91
None
timer	minuter	noun	0.87
blame	incriminer	verb	0.82
convincing	probant	adjective	0.82
condition	conditionner	verb	0.92
Arizona	Arizona	properNoun	0.97
legalise	légaliser	verb	0.93
arrive	parvenir	verb	0.94
patient	patient	noun	0.97
agriculture	agriculture	noun	0.97
drawing	dessin	noun	0.78
inflate	bouffer	verb	0.99
Martin	Martin	properNoun	0.91
oil	huile	noun	0.95
recompose	déstructurer	verb	0.95
undergraduate	étudiant	adjective	0.89
Antony	Antony	properNoun	0.97
precede	précéder	verb	0.94
Romania	Roumanie	properNoun	0.97
smell	senteur	noun	0.98
easy	facile	adjective	0.89
tackle	entreprendre	verb	0.93
migrant worker	somme à payer	noun	0.99
slope	versant	noun	0.95
trust	avoir foi	verb	0.91
reuse	réutiliser	verb	0.91
independent	rapiéceur	noun	0.99
wage	salaire	noun	0.98
Britain	Grande-Bretagne	properNoun	0.99
Roberts	Roberts	properNoun	0.97
tremble	frissonner	verb	0.97
scorch	brûler	verb	0.94
execute	exécuter	verb	0.94
means	moyen	noun	0.89
cosmopolitan	cosmopolite	adjective	0.85
sod	salopard	noun	0.94
scheme	magouiller	verb	0.86
Adams	Adams	properNoun	0.97
warm	tenir chaud	verb	0.91
help	secourir	verb	0.97
diameter	diamètre	noun	0.96
overhead	au dessus	adverb	1.0
annoyed	mono	adjective	0.99
promoter	promoteur	noun	0.84
stack	pile	noun	0.88
rejuvenate	rajeunir	verb	0.95
researcher	enquêteur	noun	0.9
cohere	tenir	verb	0.92
introductory	introductoire	adjective	0.9
scholarship	bourse d'études	noun	0.92
repack	dézoomer	verb	0.99
Margalida	Margalida	properNoun	0.96
manure land	être sans validité	verb	0.99
clock	horloge	noun	0.97
leprosy	lèpre	noun	0.96
change	changement	noun	0.96
commemorate	commémorer	verb	0.97
common denominator	floréal	noun	0.98
deteriorate	endommager	verb	0.77
victory	victoire	noun	0.98
literacy	alphabétisation	noun	0.95
Huws	Vallée de Pontkalleg	properNoun	0.99
Welshpool	Basse-Cornouaille	properNoun	0.99
yearn	souhaiter	verb	0.92
heterogeneity	hétérogénéité	noun	0.99
communicate	communier	verb	0.94
terminal	terminal	noun	0.97
slant	être porté	verb	0.97
tidy	sommer	verb	0.91
Adrian	Adrian	properNoun	0.88
disentangle	démailler	verb	0.91
factorial	contrat à durée indéterminée	noun	0.99
be in heat	retirer la décoration	verb	0.94
declare	déclarer	verb	0.92
persuade	persuader	verb	0.93
Shaun	Drean	properNoun	0.99
Rio	Mervent	properNoun	0.99
scowl	intervertir	verb	0.94
jump	bondir	verb	0.9
Connor	Connor	properNoun	0.98
pyramid	pyramide	noun	0.99
assimilate	assimiler	verb	0.99
serial	74ème	adjective	0.97
system	système	noun	0.95
on	super	adverb	0.95
tiny	minuscule	adjective	0.97
absurdity	absurdité	noun	0.78
life	vie	noun	0.94
trample	cémenter	verb	0.62
go with	déclarer au fisc	verb	0.99
improve	améliorer	verb	0.92
carpenter	charpentier	noun	0.97
denude	priver	verb	0.92
lose oneself	faire le vide	verb	0.99
Marco	Marco	properNoun	0.95
effective	efficace	adjective	0.96
remember	souvenir	verb	0.97
bolt	boulonner	verb	0.85
empty	boire entièrement	verb	0.92
Samuel	Samuel	properNoun	0.94
efficient	efficace	adjective	0.98
birth	naissance	noun	0.97
container	container	noun	0.93
impossible	impossible	adjective	0.96
publicity	publicité	noun	0.92
Helsinki	Helsinki	properNoun	0.94
format	formater	verb	0.94
be accustomed	annuler une décision	verb	0.99
spread out	grimper un escalier	verb	0.98
day before yesterday	génésiquement	adverb	0.99
Ethiopia	Éthiopie	properNoun	0.97
hope	espoir	noun	0.96
during	pendant	preposition	0.99
Conwy	Paddy	properNoun	0.99
trusting	assuré	adjective	0.94
Bank of England	Colpo	properNoun	0.99
bleed	sagner	verb	0.93
marry	épouser	verb	0.98
level	araser	verb	0.88
misuse	abuser	verb	0.89
hexadecimal	hexadécimal	adjective	1.0
annihilate	anéantir	verb	0.85
since	du fait que	subordinatingConjunction	0.98
complete	parachever	verb	0.91
greatness	grandeur	noun	0.96
Palau	Palau	properNoun	0.92
mask	masquer	verb	0.99
Seimon	Département de la Loire-Atlantique	properNoun	0.99
faith	foi	noun	0.93
Katherine	Katherine	properNoun	0.97
drip	faire une déposition	verb	0.71
dilemma	dilemme	noun	0.95
leaflet	prospectus	noun	0.85
fall silent	décloisonner	verb	0.99
adventure	aventure	noun	0.92
Macedonia	Macédoine	properNoun	0.88
question	question	noun	0.98
compound	composé	adjective	0.73
radius	radius	noun	0.98
lead a dissolute life	translittérer	verb	0.99
bind	brocher	verb	0.95
man	homme	noun	0.95
inflectional	flexionnel	adjective	0.93
horn	avertisseur	noun	0.97
Mexico	Mexique	properNoun	0.98
smirk	ricaner	verb	0.98
not her	en vente	adverb	0.99
repeat	redoubler	verb	0.92
darken	commencer à faire nuit	verb	0.96
Dean	Dean	properNoun	0.98
Democratic Republic of the Congo	Storytelling	properNoun	0.99
backtrace	africanité	noun	0.98
bitumen	bitume	noun	0.83
lawyer	avocat	noun	0.95
deliver	mettre à disposition	verb	0.86
except	car	coordinatingConjunction	0.97
hackle flax	refermer	verb	0.99
exploit	prouesse	noun	0.97
weight	haltère	noun	0.95
affect	faire sentir	verb	0.87
Papua New Guinea	Papouasie-Nouvelle-Guinée	properNoun	0.92
dead	tué	adjective	0.89
hand	main	noun	0.93
drift	aller à la dérive	verb	0.84
intermediate	intermédiaire	adjective	0.94
sir	madame	noun	0.98
Tunis	Tunisie	properNoun	0.99
hyphen	tiret	noun	0.97
repay	appointer	verb	0.83
bright	étincelant	adjective	0.92
exhortation	mise en garde	noun	0.99
domain	champ	noun	0.86
transform supernaturally	faire grincer	verb	0.99
bar	interdire	verb	0.79
kneel	agenouiller	verb	0.95
None
economy	économie	noun	0.97
representative	représentatif	adjective	0.97
make a pact	diviser en deux parties égales	verb	0.99
ton	tonne	noun	0.96
succour	secourir	verb	0.99
associate with	entourer d'un lien	verb	0.83
approximation	approximation	noun	0.98
Bridgend	Tréhorenteuc	properNoun	0.98
North Korea	Corée du Nord	properNoun	0.97
Guatemala	Guatemala	properNoun	0.98
vaccinate	vacciner	verb	0.89
abolished	pélagien	adjective	0.99
size	taille	noun	0.87
ask for	demander	verb	0.96
theory	théorie	noun	0.98
Assembly Government	Noemie	properNoun	0.99
hospital	hopital	noun	0.96
fallow	buter sur	verb	0.99
generic	générique	adjective	0.95
Hunt	Hunt	properNoun	0.98
magazine	magazine	noun	0.96
Gerard	Gerard	properNoun	0.93
Hana	Hana	properNoun	0.98
cheek	joue	noun	0.96
cornerstone	fondement	noun	0.98
metabolism	métabolisme	noun	0.99
Cooper	Cooper	properNoun	0.97
multidisciplinary	multidisciplinaire	adjective	0.99
ten	dix	numeral	0.97
superior	supérieur	adjective	0.97
margarine	margarine	noun	0.97
advantage	circonstance favorable	noun	0.89
nourish	alimenter	verb	0.96
May	mai	noun	0.97
motivate	motiver	verb	0.91
construct timberwork	être dément	verb	0.99
clockwise	blanc-bleu	adjective	0.99
intervene	s'ingérer	verb	0.95
Mills	Mills	properNoun	0.93
Ethan	Annaïck	properNoun	0.97
sigh	pousser un soupir	verb	0.95
assistive	utile	adjective	0.91
