 "written_rep_a" , "lex_entry_a" , "sense_a" , "trans" , "sense_b" , "lex_entry_b" , "written_rep_b" , "POS" ,
 "verband" , "http://linguistic.linkeddata.es/id/apertium/lexiconAF/verband-NOUN-af" , "http://linguistic.linkeddata.es/id/apertium/tranSetAF-NL/verband_verband-n-af-sense" , "http://linguistic.linkeddata.es/id/apertium/tranSetAF-NL/verband_verband-n-af-sense-verband_verband-n-nl-sense-trans" , "http://linguistic.linkeddata.es/id/apertium/tranSetAF-NL/verband_verband-n-nl-sense" , "http://linguistic.linkeddata.es/id/apertium/lexiconNL/verband-NOUN-nl" , "verband" , "http://www.lexinfo.net/ontology/2.0/lexinfo#noun" ,
 "daarop" , "http://linguistic.linkeddata.es/id/apertium/lexiconAF/daarop-ADV-af" , "http://linguistic.linkeddata.es/id/apertium/tranSetAF-NL/daarop_daarop-adv-af-sense" , "http://linguistic.linkeddata.es/id/apertium/tranSetAF-NL/daarop_daarop-adv-af-sense-daarop_daarop-adv-nl-sense-trans" , "http://linguistic.linkeddata.es/id/apertium/tranSetAF-NL/daarop_daarop-adv-nl-sense" , "http://linguistic.linkeddata.es/id/apertium/lexiconNL/daarop-ADV-nl" , "daarop" , "http://www.lexinfo.net/ontology/2.0/lexinfo#adverb" ,
 "voet" , "http://linguistic.linkeddata.es/id/apertium/lexiconAF/voet-NOUN-af" , "http://linguistic.linkeddata.es/id/apertium/tranSetAF-NL/voet_voet-n-af-sense" , "http://linguistic.linkeddata.es/id/apertium/tranSetAF-NL/voet_voet-n-af-sense-voet_voet-n-nl-sense-trans" , "http://linguistic.linkeddata.es/id/apertium/tranSetAF-NL/voet_voet-n-nl-sense" , "http://linguistic.linkeddata.es/id/apertium/lexiconNL/voet-NOUN-nl" , "voet" , "http://www.lexinfo.net/ontology/2.0/lexinfo#noun" ,
 "Mongolië" , "http://linguistic.linkeddata.es/id/apertium/lexiconAF/Mongoli%C3%AB-PROPN-af" , "http://linguistic.linkeddata.es/id/apertium/tranSetAF-NL/Mongoli%C3%AB_Mongoli%C3%AB-np-af-sense" , "http://linguistic.linkeddata.es/id/apertium/tranSetAF-NL/Mongoli%C3%AB_Mongoli%C3%AB-np-af-sense-Mongoli%C3%AB_Mongoli%C3%AB-np-nl-sense-trans" , "http://linguistic.linkeddata.es/id/apertium/tranSetAF-NL/Mongoli%C3%AB_Mongoli%C3%AB-np-nl-sense" , "http://linguistic.linkeddata.es/id/apertium/lexiconNL/Mongoli%C3%AB-PROPN-nl" , "Mongolië" , "http://www.lexinfo.net/ontology/2.0/lexinfo#properNoun" ,
 "appél" , "http://linguistic.linkeddata.es/id/apertium/lexiconAF/app%C3%A9l-NOUN-af" , "http://linguistic.linkeddata.es/id/apertium/tranSetAF-NL/app%C3%A9l_appel-n-af-sense" , "http://linguistic.linkeddata.es/id/apertium/tranSetAF-NL/app%C3%A9l_appel-n-af-sense-appel_app%C3%A9l-n-nl-sense-trans" , "http://linguistic.linkeddata.es/id/apertium/tranSetAF-NL/appel_app%C3%A9l-n-nl-sense" , "http://linguistic.linkeddata.es/id/apertium/lexiconNL/appel-NOUN-nl" , "appel" , "http://www.lexinfo.net/ontology/2.0/lexinfo#noun" ,
 "uithou" , "http://linguistic.linkeddata.es/id/apertium/lexiconAF/uithou-VERB-af" , "http://linguistic.linkeddata.es/id/apertium/tranSetAF-NL/uithou_uithouden-vblex-af-sense" , "http://linguistic.linkeddata.es/id/apertium/tranSetAF-NL/uithou_uithouden-vblex-af-sense-uithouden_uithou-vblex-nl-sense-trans" , "http://linguistic.linkeddata.es/id/apertium/tranSetAF-NL/uithouden_uithou-vblex-nl-sense" , "http://linguistic.linkeddata.es/id/apertium/lexiconNL/uithouden-VERB-nl" , "uithouden" , "http://www.lexinfo.net/ontology/2.0/lexinfo#verb" ,
 "ontdekking" , "http://linguistic.linkeddata.es/id/apertium/lexiconAF/ontdekking-NOUN-af" , "http://linguistic.linkeddata.es/id/apertium/tranSetAF-NL/ontdekking_ontdekking-n-af-sense" , "http://linguistic.linkeddata.es/id/apertium/tranSetAF-NL/ontdekking_ontdekking-n-af-sense-ontdekking_ontdekking-n-nl-sense-trans" , "http://linguistic.linkeddata.es/id/apertium/tranSetAF-NL/ontdekking_ontdekking-n-nl-sense" , "http://linguistic.linkeddata.es/id/apertium/lexiconNL/ontdekking-NOUN-nl" , "ontdekking" , "http://www.lexinfo.net/ontology/2.0/lexinfo#noun" ,
 "besproeiing" , "http://linguistic.linkeddata.es/id/apertium/lexiconAF/besproeiing-NOUN-af" , "http://linguistic.linkeddata.es/id/apertium/tranSetAF-NL/besproeiing_besproeiing-n-af-sense" , "http://linguistic.linkeddata.es/id/apertium/tranSetAF-NL/besproeiing_besproeiing-n-af-sense-besproeiing_besproeiing-n-nl-sense-trans" , "http://linguistic.linkeddata.es/id/apertium/tranSetAF-NL/besproeiing_besproeiing-n-nl-sense" , "http://linguistic.linkeddata.es/id/apertium/lexiconNL/besproeiing-NOUN-nl" , "besproeiing" , "http://www.lexinfo.net/ontology/2.0/lexinfo#noun" ,
 "installasie" , "http://linguistic.linkeddata.es/id/apertium/lexiconAF/installasie-NOUN-af" , "http://linguistic.linkeddata.es/id/apertium/tranSetAF-NL/installasie_installatie-n-af-sense" , "http://linguistic.linkeddata.es/id/apertium/tranSetAF-NL/installasie_installatie-n-af-sense-installatie_installasie-n-nl-sense-trans" , "http://linguistic.linkeddata.es/id/apertium/tranSetAF-NL/installatie_installasie-n-nl-sense" , "http://linguistic.linkeddata.es/id/apertium/lexiconNL/installatie-NOUN-nl" , "installatie" , "http://www.lexinfo.net/ontology/2.0/lexinfo#noun" ,
 "mode" , "http://linguistic.linkeddata.es/id/apertium/lexiconAF/mode-NOUN-af" , "http://linguistic.linkeddata.es/id/apertium/tranSetAF-NL/mode_mode-n-af-sense" , "http://linguistic.linkeddata.es/id/apertium/tranSetAF-NL/mode_mode-n-af-sense-mode_mode-n-nl-sense-trans" , "http://linguistic.linkeddata.es/id/apertium/tranSetAF-NL/mode_mode-n-nl-sense" , "http://linguistic.linkeddata.es/id/apertium/lexiconNL/mode-NOUN-nl" , "mode" , "http://www.lexinfo.net/ontology/2.0/lexinfo#noun" ,
