 "written_rep_a" , "lex_entry_a" , "sense_a" , "trans" , "sense_b" , "lex_entry_b" , "written_rep_b" , "POS" ,
 "Sergeyev" , "http://linguistic.linkeddata.es/id/apertium/lexiconCRH/Sergeyev-PROPN-crh" , "http://linguistic.linkeddata.es/id/apertium/tranSetCRH-TR/Sergeyev_Sergeyev-np-crh-sense" , "http://linguistic.linkeddata.es/id/apertium/tranSetCRH-TR/Sergeyev_Sergeyev-np-crh-sense-Sergeyev_Sergeyev-cog-tr-sense-trans" , "http://linguistic.linkeddata.es/id/apertium/tranSetCRH-TR/Sergeyev_Sergeyev-cog-tr-sense" , "http://linguistic.linkeddata.es/id/apertium/lexiconTR/Sergeyev-PROPN-tr" , "Sergeyev" , "http://www.lexinfo.net/ontology/2.0/lexinfo#properNoun" ,
 "ortalıq" , "http://linguistic.linkeddata.es/id/apertium/lexiconCRH/ortal%C4%B1q-NOUN-crh" , "http://linguistic.linkeddata.es/id/apertium/tranSetCRH-TR/ortal%C4%B1q_ortal%C4%B1k-n-crh-sense" , "http://linguistic.linkeddata.es/id/apertium/tranSetCRH-TR/ortal%C4%B1q_ortal%C4%B1k-n-crh-sense-ortal%C4%B1k_ortal%C4%B1q-n-tr-sense-trans" , "http://linguistic.linkeddata.es/id/apertium/tranSetCRH-TR/ortal%C4%B1k_ortal%C4%B1q-n-tr-sense" , "http://linguistic.linkeddata.es/id/apertium/lexiconTR/ortal%C4%B1k-NOUN-tr" , "ortalık" , "http://www.lexinfo.net/ontology/2.0/lexinfo#noun" ,
 "Nazarov" , "http://linguistic.linkeddata.es/id/apertium/lexiconCRH/Nazarov-PROPN-crh" , "http://linguistic.linkeddata.es/id/apertium/tranSetCRH-TR/Nazarov_Nazarov-np-crh-sense" , "http://linguistic.linkeddata.es/id/apertium/tranSetCRH-TR/Nazarov_Nazarov-np-crh-sense-Nazarov_Nazarov-cog-tr-sense-trans" , "http://linguistic.linkeddata.es/id/apertium/tranSetCRH-TR/Nazarov_Nazarov-cog-tr-sense" , "http://linguistic.linkeddata.es/id/apertium/lexiconTR/Nazarov-PROPN-tr" , "Nazarov" , "http://www.lexinfo.net/ontology/2.0/lexinfo#properNoun" ,
 "isse" , "http://linguistic.linkeddata.es/id/apertium/lexiconCRH/isse-NOUN-crh" , "http://linguistic.linkeddata.es/id/apertium/tranSetCRH-TR/isse_hisse-n-crh-sense" , "http://linguistic.linkeddata.es/id/apertium/tranSetCRH-TR/isse_hisse-n-crh-sense-hisse_isse-n-tr-sense-trans" , "http://linguistic.linkeddata.es/id/apertium/tranSetCRH-TR/hisse_isse-n-tr-sense" , "http://linguistic.linkeddata.es/id/apertium/lexiconTR/hisse-NOUN-tr" , "hisse" , "http://www.lexinfo.net/ontology/2.0/lexinfo#noun" ,
 "yaslan" , "http://linguistic.linkeddata.es/id/apertium/lexiconCRH/yaslan-VERB-crh" , "http://linguistic.linkeddata.es/id/apertium/tranSetCRH-TR/yaslan_yaslan-v-crh-sense" , "http://linguistic.linkeddata.es/id/apertium/tranSetCRH-TR/yaslan_yaslan-v-crh-sense-yaslan_yaslan-v-tr-sense-trans" , "http://linguistic.linkeddata.es/id/apertium/tranSetCRH-TR/yaslan_yaslan-v-tr-sense" , "http://linguistic.linkeddata.es/id/apertium/lexiconTR/yaslan-VERB-tr" , "yaslan" , "http://www.lexinfo.net/ontology/2.0/lexinfo#verb" ,
 "bağlan" , "http://linguistic.linkeddata.es/id/apertium/lexiconCRH/ba%C4%9Flan-VERB-crh" , "http://linguistic.linkeddata.es/id/apertium/tranSetCRH-TR/ba%C4%9Flan_ba%C4%9Flan-v-crh-sense" , "http://linguistic.linkeddata.es/id/apertium/tranSetCRH-TR/ba%C4%9Flan_ba%C4%9Flan-v-crh-sense-ba%C4%9Flan_ba%C4%9Flan-v-tr-sense-trans" , "http://linguistic.linkeddata.es/id/apertium/tranSetCRH-TR/ba%C4%9Flan_ba%C4%9Flan-v-tr-sense" , "http://linguistic.linkeddata.es/id/apertium/lexiconTR/ba%C4%9Flan-VERB-tr" , "bağlan" , "http://www.lexinfo.net/ontology/2.0/lexinfo#verb" ,
 "Apollo" , "http://linguistic.linkeddata.es/id/apertium/lexiconCRH/Apollo-PROPN-crh" , "http://linguistic.linkeddata.es/id/apertium/tranSetCRH-TR/Apollo_Apollo-np-crh-sense" , "http://linguistic.linkeddata.es/id/apertium/tranSetCRH-TR/Apollo_Apollo-np-crh-sense-Apollo_Apollo-np-tr-sense-trans" , "http://linguistic.linkeddata.es/id/apertium/tranSetCRH-TR/Apollo_Apollo-np-tr-sense" , "http://linguistic.linkeddata.es/id/apertium/lexiconTR/Apollo-PROPN-tr" , "Apollo" , "http://www.lexinfo.net/ontology/2.0/lexinfo#properNoun" ,
 "Selimov" , "http://linguistic.linkeddata.es/id/apertium/lexiconCRH/Selimov-PROPN-crh" , "http://linguistic.linkeddata.es/id/apertium/tranSetCRH-TR/Selimov_Selimov-np-crh-sense" , "http://linguistic.linkeddata.es/id/apertium/tranSetCRH-TR/Selimov_Selimov-np-crh-sense-Selimov_Selimov-cog-tr-sense-trans" , "http://linguistic.linkeddata.es/id/apertium/tranSetCRH-TR/Selimov_Selimov-cog-tr-sense" , "http://linguistic.linkeddata.es/id/apertium/lexiconTR/Selimov-PROPN-tr" , "Selimov" , "http://www.lexinfo.net/ontology/2.0/lexinfo#properNoun" ,
 "Ümerov" , "http://linguistic.linkeddata.es/id/apertium/lexiconCRH/%C3%9Cmerov-PROPN-crh" , "http://linguistic.linkeddata.es/id/apertium/tranSetCRH-TR/%C3%9Cmerov_%C3%9Cmerov-np-crh-sense" , "http://linguistic.linkeddata.es/id/apertium/tranSetCRH-TR/%C3%9Cmerov_%C3%9Cmerov-np-crh-sense-%C3%9Cmerov_%C3%9Cmerov-np-tr-sense-trans" , "http://linguistic.linkeddata.es/id/apertium/tranSetCRH-TR/%C3%9Cmerov_%C3%9Cmerov-np-tr-sense" , "http://linguistic.linkeddata.es/id/apertium/lexiconTR/%C3%9Cmerov-PROPN-tr" , "Ümerov" , "http://www.lexinfo.net/ontology/2.0/lexinfo#properNoun" ,
 "Revenko" , "http://linguistic.linkeddata.es/id/apertium/lexiconCRH/Revenko-PROPN-crh" , "http://linguistic.linkeddata.es/id/apertium/tranSetCRH-TR/Revenko_Revenko-np-crh-sense" , "http://linguistic.linkeddata.es/id/apertium/tranSetCRH-TR/Revenko_Revenko-np-crh-sense-Revenko_Revenko-np-tr-sense-trans" , "http://linguistic.linkeddata.es/id/apertium/tranSetCRH-TR/Revenko_Revenko-np-tr-sense" , "http://linguistic.linkeddata.es/id/apertium/lexiconTR/Revenko-PROPN-tr" , "Revenko" , "http://www.lexinfo.net/ontology/2.0/lexinfo#properNoun" ,
