 "written_rep_a" , "lex_entry_a" , "sense_a" , "trans" , "sense_b" , "lex_entry_b" , "written_rep_b" , "POS" ,
 "norðmaður" , "http://linguistic.linkeddata.es/id/apertium/lexiconIS/nor%C3%B0ma%C3%B0ur-NOUN-is" , "http://linguistic.linkeddata.es/id/apertium/tranSetIS-SV/nor%C3%B0ma%C3%B0ur_norrman-n-is-sense" , "http://linguistic.linkeddata.es/id/apertium/tranSetIS-SV/nor%C3%B0ma%C3%B0ur_norrman-n-is-sense-norrman_nor%C3%B0ma%C3%B0ur-n-sv-sense-trans" , "http://linguistic.linkeddata.es/id/apertium/tranSetIS-SV/norrman_nor%C3%B0ma%C3%B0ur-n-sv-sense" , "http://linguistic.linkeddata.es/id/apertium/lexiconSV/norrman-NOUN-sv" , "norrman" , "http://www.lexinfo.net/ontology/2.0/lexinfo#noun" ,
 "birta" , "http://linguistic.linkeddata.es/id/apertium/lexiconIS/birta-VERB-is" , "http://linguistic.linkeddata.es/id/apertium/tranSetIS-SV/birta_publicera-vblex-is-sense" , "http://linguistic.linkeddata.es/id/apertium/tranSetIS-SV/birta_publicera-vblex-is-sense-publicera_birta-vblex-sv-sense-trans" , "http://linguistic.linkeddata.es/id/apertium/tranSetIS-SV/publicera_birta-vblex-sv-sense" , "http://linguistic.linkeddata.es/id/apertium/lexiconSV/publicera-VERB-sv" , "publicera" , "http://www.lexinfo.net/ontology/2.0/lexinfo#verb" ,
 "Makedónía" , "http://linguistic.linkeddata.es/id/apertium/lexiconIS/Maked%C3%B3n%C3%ADa-PROPN-is" , "http://linguistic.linkeddata.es/id/apertium/tranSetIS-SV/Maked%C3%B3n%C3%ADa_Makedonien-np-is-sense" , "http://linguistic.linkeddata.es/id/apertium/tranSetIS-SV/Maked%C3%B3n%C3%ADa_Makedonien-np-is-sense-Makedonien_Maked%C3%B3n%C3%ADa-np-sv-sense-trans" , "http://linguistic.linkeddata.es/id/apertium/tranSetIS-SV/Makedonien_Maked%C3%B3n%C3%ADa-np-sv-sense" , "http://linguistic.linkeddata.es/id/apertium/lexiconSV/Makedonien-PROPN-sv" , "Makedonien" , "http://www.lexinfo.net/ontology/2.0/lexinfo#properNoun" ,
 "frá" , "http://linguistic.linkeddata.es/id/apertium/lexiconIS/fr%C3%A1-ADP-is" , "http://linguistic.linkeddata.es/id/apertium/tranSetIS-SV/fr%C3%A1_ifr%C3%A5n-pr-is-sense" , "http://linguistic.linkeddata.es/id/apertium/tranSetIS-SV/fr%C3%A1_ifr%C3%A5n-pr-is-sense-ifr%C3%A5n_fr%C3%A1-pr-sv-sense-trans" , "http://linguistic.linkeddata.es/id/apertium/tranSetIS-SV/ifr%C3%A5n_fr%C3%A1-pr-sv-sense" , "http://linguistic.linkeddata.es/id/apertium/lexiconSV/ifr%C3%A5n-ADP-sv" , "ifrån" , "http://www.lexinfo.net/ontology/2.0/lexinfo#preposition" ,
 "hraun" , "http://linguistic.linkeddata.es/id/apertium/lexiconIS/hraun-NOUN-is" , "http://linguistic.linkeddata.es/id/apertium/tranSetIS-SV/hraun_lava-n-is-sense" , "http://linguistic.linkeddata.es/id/apertium/tranSetIS-SV/hraun_lava-n-is-sense-lava_hraun-n-sv-sense-trans" , "http://linguistic.linkeddata.es/id/apertium/tranSetIS-SV/lava_hraun-n-sv-sense" , "http://linguistic.linkeddata.es/id/apertium/lexiconSV/lava-NOUN-sv" , "lava" , "http://www.lexinfo.net/ontology/2.0/lexinfo#noun" ,
 "útfæra" , "http://linguistic.linkeddata.es/id/apertium/lexiconIS/%C3%BAtf%C3%A6ra-VERB-is" , "http://linguistic.linkeddata.es/id/apertium/tranSetIS-SV/%C3%BAtf%C3%A6ra_fullg%C3%B6ra-vblex-is-sense" , "http://linguistic.linkeddata.es/id/apertium/tranSetIS-SV/%C3%BAtf%C3%A6ra_fullg%C3%B6ra-vblex-is-sense-fullg%C3%B6ra_%C3%BAtf%C3%A6ra-vblex-sv-sense-trans" , "http://linguistic.linkeddata.es/id/apertium/tranSetIS-SV/fullg%C3%B6ra_%C3%BAtf%C3%A6ra-vblex-sv-sense" , "http://linguistic.linkeddata.es/id/apertium/lexiconSV/fullg%C3%B6ra-VERB-sv" , "fullgöra" , "http://www.lexinfo.net/ontology/2.0/lexinfo#verb" ,
 "flokkur" , "http://linguistic.linkeddata.es/id/apertium/lexiconIS/flokkur-NOUN-is" , "http://linguistic.linkeddata.es/id/apertium/tranSetIS-SV/flokkur_kategori-n-is-sense" , "http://linguistic.linkeddata.es/id/apertium/tranSetIS-SV/flokkur_kategori-n-is-sense-kategori_flokkur-n-sv-sense-trans" , "http://linguistic.linkeddata.es/id/apertium/tranSetIS-SV/kategori_flokkur-n-sv-sense" , "http://linguistic.linkeddata.es/id/apertium/lexiconSV/kategori-NOUN-sv" , "kategori" , "http://www.lexinfo.net/ontology/2.0/lexinfo#noun" ,
 "Jórdanía" , "http://linguistic.linkeddata.es/id/apertium/lexiconIS/J%C3%B3rdan%C3%ADa-PROPN-is" , "http://linguistic.linkeddata.es/id/apertium/tranSetIS-SV/J%C3%B3rdan%C3%ADa_Jordan-np-is-sense" , "http://linguistic.linkeddata.es/id/apertium/tranSetIS-SV/J%C3%B3rdan%C3%ADa_Jordan-np-is-sense-Jordan_J%C3%B3rdan%C3%ADa-np-sv-sense-trans" , "http://linguistic.linkeddata.es/id/apertium/tranSetIS-SV/Jordan_J%C3%B3rdan%C3%ADa-np-sv-sense" , "http://linguistic.linkeddata.es/id/apertium/lexiconSV/Jordan-PROPN-sv" , "Jordan" , "http://www.lexinfo.net/ontology/2.0/lexinfo#properNoun" ,
 "almáttugur" , "http://linguistic.linkeddata.es/id/apertium/lexiconIS/alm%C3%A1ttugur-ADJ-is" , "http://linguistic.linkeddata.es/id/apertium/tranSetIS-SV/alm%C3%A1ttugur_allsm%C3%A4ktig-adj-is-sense" , "http://linguistic.linkeddata.es/id/apertium/tranSetIS-SV/alm%C3%A1ttugur_allsm%C3%A4ktig-adj-is-sense-allsm%C3%A4ktig_alm%C3%A1ttugur-adj-sv-sense-trans" , "http://linguistic.linkeddata.es/id/apertium/tranSetIS-SV/allsm%C3%A4ktig_alm%C3%A1ttugur-adj-sv-sense" , "http://linguistic.linkeddata.es/id/apertium/lexiconSV/allsm%C3%A4ktig-ADJ-sv" , "allsmäktig" , "http://www.lexinfo.net/ontology/2.0/lexinfo#adjective" ,
 "Dyflinn" , "http://linguistic.linkeddata.es/id/apertium/lexiconIS/Dyflinn-PROPN-is" , "http://linguistic.linkeddata.es/id/apertium/tranSetIS-SV/Dyflinn_Dublin-np-is-sense" , "http://linguistic.linkeddata.es/id/apertium/tranSetIS-SV/Dyflinn_Dublin-np-is-sense-Dublin_Dyflinn-np-sv-sense-trans" , "http://linguistic.linkeddata.es/id/apertium/tranSetIS-SV/Dublin_Dyflinn-np-sv-sense" , "http://linguistic.linkeddata.es/id/apertium/lexiconSV/Dublin-PROPN-sv" , "Dublin" , "http://www.lexinfo.net/ontology/2.0/lexinfo#properNoun" ,
