 "written_rep_a" , "lex_entry_a" , "sense_a" , "trans" , "sense_b" , "lex_entry_b" , "written_rep_b" , "POS" ,
 "egípcio" , "http://linguistic.linkeddata.es/id/apertium/lexiconPT/eg%C3%ADpcio-ADJ-pt" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/eg%C3%ADpcio_exipcio-adj-pt-sense" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/eg%C3%ADpcio_exipcio-adj-pt-sense-exipcio_eg%C3%ADpcio-adj-gl-sense-trans" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/exipcio_eg%C3%ADpcio-adj-gl-sense" , "http://linguistic.linkeddata.es/id/apertium/lexiconGL/exipcio-ADJ-gl" , "exipcio" , "http://www.lexinfo.net/ontology/2.0/lexinfo#adjective" ,
 "como tu" , "http://linguistic.linkeddata.es/id/apertium/lexiconPT/como%20tu-ADV-pt" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/como%20tu_coma%20ti-adv-pt-sense" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/como%20tu_coma%20ti-adv-pt-sense-coma%20ti_como%20tu-adv-gl-sense-trans" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/coma%20ti_como%20tu-adv-gl-sense" , "http://linguistic.linkeddata.es/id/apertium/lexiconGL/coma%20ti-ADV-gl" , "coma ti" , "http://www.lexinfo.net/ontology/2.0/lexinfo#adverb" ,
 "lavrar" , "http://linguistic.linkeddata.es/id/apertium/lexiconPT/lavrar-VERB-pt" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/lavrar_labrar-vblex-pt-sense" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/lavrar_labrar-vblex-pt-sense-labrar_lavrar-vblex-gl-sense-trans" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/labrar_lavrar-vblex-gl-sense" , "http://linguistic.linkeddata.es/id/apertium/lexiconGL/labrar-VERB-gl" , "labrar" , "http://www.lexinfo.net/ontology/2.0/lexinfo#verb" ,
 "reativação" , "http://linguistic.linkeddata.es/id/apertium/lexiconPT/reativa%C3%A7%C3%A3o-NOUN-pt" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/reativa%C3%A7%C3%A3o_reactivaci%C3%B3n-n-pt-sense" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/reativa%C3%A7%C3%A3o_reactivaci%C3%B3n-n-pt-sense-reactivaci%C3%B3n_reativa%C3%A7%C3%A3o-n-gl-sense-trans" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/reactivaci%C3%B3n_reativa%C3%A7%C3%A3o-n-gl-sense" , "http://linguistic.linkeddata.es/id/apertium/lexiconGL/reactivaci%C3%B3n-NOUN-gl" , "reactivación" , "http://www.lexinfo.net/ontology/2.0/lexinfo#noun" ,
 "abordavelmente" , "http://linguistic.linkeddata.es/id/apertium/lexiconPT/abordavelmente-ADV-pt" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/abordavelmente_abordabelmente-adv-pt-sense" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/abordavelmente_abordabelmente-adv-pt-sense-abordabelmente_abordavelmente-adv-gl-sense-trans" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/abordabelmente_abordavelmente-adv-gl-sense" , "http://linguistic.linkeddata.es/id/apertium/lexiconGL/abordabelmente-ADV-gl" , "abordabelmente" , "http://www.lexinfo.net/ontology/2.0/lexinfo#adverb" ,
 "Ocidente" , "http://linguistic.linkeddata.es/id/apertium/lexiconPT/Ocidente-PROPN-pt" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/Ocidente_Occidente-np-pt-sense" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/Ocidente_Occidente-np-pt-sense-Occidente_Ocidente-np-gl-sense-trans" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/Occidente_Ocidente-np-gl-sense" , "http://linguistic.linkeddata.es/id/apertium/lexiconGL/Occidente-PROPN-gl" , "Occidente" , "http://www.lexinfo.net/ontology/2.0/lexinfo#properNoun" ,
 "com tudo que eu tenho direito" , "http://linguistic.linkeddata.es/id/apertium/lexiconPT/com%20tudo%20que%20eu%20tenho%20direito-ADV-pt" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/com%20tudo%20que%20eu%20tenho%20direito_como%20merezo-adv-pt-sense" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/com%20tudo%20que%20eu%20tenho%20direito_como%20merezo-adv-pt-sense-como%20merezo_com%20tudo%20que%20eu%20tenho%20direito-adv-gl-sense-trans" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/como%20merezo_com%20tudo%20que%20eu%20tenho%20direito-adv-gl-sense" , "http://linguistic.linkeddata.es/id/apertium/lexiconGL/como%20merezo-ADV-gl" , "como merezo" , "http://www.lexinfo.net/ontology/2.0/lexinfo#adverb" ,
 "adjacente" , "http://linguistic.linkeddata.es/id/apertium/lexiconPT/adjacente-ADJ-pt" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/adjacente_adxacente-adj-pt-sense" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/adjacente_adxacente-adj-pt-sense-adxacente_adjacente-adj-gl-sense-trans" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/adxacente_adjacente-adj-gl-sense" , "http://linguistic.linkeddata.es/id/apertium/lexiconGL/adxacente-ADJ-gl" , "adxacente" , "http://www.lexinfo.net/ontology/2.0/lexinfo#adjective" ,
 "gestão" , "http://linguistic.linkeddata.es/id/apertium/lexiconPT/gest%C3%A3o-NOUN-pt" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/gest%C3%A3o_xesti%C3%B3n-n-pt-sense" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/gest%C3%A3o_xesti%C3%B3n-n-pt-sense-xesti%C3%B3n_gest%C3%A3o-n-gl-sense-trans" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/xesti%C3%B3n_gest%C3%A3o-n-gl-sense" , "http://linguistic.linkeddata.es/id/apertium/lexiconGL/xesti%C3%B3n-NOUN-gl" , "xestión" , "http://www.lexinfo.net/ontology/2.0/lexinfo#noun" ,
 "captação" , "http://linguistic.linkeddata.es/id/apertium/lexiconPT/capta%C3%A7%C3%A3o-NOUN-pt" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/capta%C3%A7%C3%A3o_captaci%C3%B3n-n-pt-sense" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/capta%C3%A7%C3%A3o_captaci%C3%B3n-n-pt-sense-captaci%C3%B3n_capta%C3%A7%C3%A3o-n-gl-sense-trans" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/captaci%C3%B3n_capta%C3%A7%C3%A3o-n-gl-sense" , "http://linguistic.linkeddata.es/id/apertium/lexiconGL/captaci%C3%B3n-NOUN-gl" , "captación" , "http://www.lexinfo.net/ontology/2.0/lexinfo#noun" ,
