poeta poète
yeste yeste
petición pétition
auto acte
jeanne jeanne
idoneidad pertinence
jurídicamente juridiquement
intelectual intellectuel
gascón gascón
patrullar patrouiller
tiro tyr
fogonazo flash
veterinario vétérinaire
ensueño rêve
queso fromage
antuña antuña
amstel amstel
heathrow heathrow
schnider schnider
jong-il jong-il
heidfeld heidfeld
ingenuidad naïveté
penélope pénélope
willy willy
largo long
desahogo soulagement
criador éleveur
july july
tena tena
arriesgar risquer
veta veine
monty monty
annan annan
saint-étienne saint-étienne
simultáneo simultané
johnston johnston
dialecto dialecte
temporal temporel
apelmazar durcir
condecorar médailler
chartres chartres
muro mur
apatía apathie
navegar naviguer
multidisciplinar multidisciplinaire
balzac balzac
militante militant
mixto mixte
qué quoi
vandborg vandborg
telekos telekos
creíble crédible
roge roge
alcalde maire
eguisa eguisa
elector électeur
harare harare
tasación taxation
trauma trauma
continuo continuel
aia aia
esto ce
ineficacia inefficacité
referente référent
usuario utilisateur
combustible combustible
técnicamente techniquement
fijar apposer
mástil mât
midland midland
mini mini
alawwa alawwa
racionalizar rationaliser
escrupuloso scrupuleux
boxeo boxe
agen agen
bajo bas
dosis dose
confiscación confiscation
jean-bernard jean-bernard
edificación édification
plenamente pleinement
pedreña pedreña
irrenunciable irrévocable
asepam asepam
dilución dilution
calendario calendrier
sien tempe
matar assommer
gobernante gouvernant
estante étagère
ayerbe ayerbe
librero libraire
así ainsi
dodoma dodoma
electricista électricien
cuatrimestre quadrimestre
faure faure
dolencia maladie
impar impair
monitor moniteur
musical musical
nuestro notre
combinación combinaison
natascha natascha
bolos quilles
pestilencia pestilence
trípoli tripoli
diputación députation
dordoña dordogne
verdaderamente véritablement
thompson thompson
fiscal fiscal
insolación insolation
asustar épouvanter
eróstrato hérostrate
mansión demeure
mail mail
ahmad ahmad
higiene hygiène
flojo faible
el le
maccabi maccabi
iurbentia iurbentia
aquel ce
santoña santoña
sanitario sanitaire
inadvertido inaperçu
sin sans
dalí dalí
manipulación manipulation
desmitificación démythification
arvydas arvydas
zaisa zaisa
izquierdo izquierdo
constantinopla constantinople
derrota défaite
remarcar remarquer
rodear entourer
mitchell mitchell
tempranillo tempranillo
tardío tardif
casio casio
placa plaque
gil gil
caledonia calédonie
qué que
igon igon
agr agr
cerro colline
ropero garde-robe
reglamentario réglementaire
pastor berger
espectador spectateur
nacer naître
narcisista narcissique
idioma idiome
transitoriamente transitoirement
comprobado vérifié
prevaler primer
geneviève geneviève
arrendador loueur
andréas andréas
oferta offre
netscape netscape
dogma dogme
akramita akramite
benkimoun benkimoun
ganso empoté
biduze bidouze
taller atelier
alfaguara alfaguara
amaya amaya
technicolor technicolor
alaksi alaksi
portugués portugais
comercial commercial
instalar installer
esquina canton
tesis thèse
kroes kroes
abdullah abdullah
amir amir
bolsainter bolsainter
pib pib
leal leal
bombardeo bombardement
eli eli
toma prise
internet internet
argaiz argaiz
ulaanbaatar oulan-bator
invocar invoquer
festivo chômé
orientativo indicatif
odioso odieux
animar encourager
floren floren
residuo résidu
aliento haleine
acina acina
toscana toscane
antepenúltimo antépénultième
despegar décoller
aix-en-provenza aix-en-provence
ansóain ansóain
remunerado rémunéré
fabricante fabricant
previsibilidad prévisibilité
william william
detectar détecter
ferrero ferrero
declive baisse
acrecentar accroître
tejano texan
prójimo prochain
habitación habitation
cela cela
escolta escorte
dinamarca danemark
taiwán taïwan
juli juli
solberg solberg
preposición préposition
alguno certains
amplio ample
telefonía téléphonie
isdabe isdabe
oscar oscar
viable viable
virtual virtuel
emanación émanation
rujano rujano
hemático hématique
amoralidad amoralité
feminidad féminité
cooperador coopérateur
procreación procréation
instruir instruire
izaite izaite
constantemente constamment
abuchear huer
almayate almayate
funcionalidad fonctionnalité
coca-cola coca-cola
viaje voyage
