éplucher_verb	esclofollar_verb
grañá_propernoun	grañá_propernoun
alegret_propernoun	alegret_propernoun
von-kármán_propernoun	von-kármán_propernoun
pleurite_noun	pleurita_noun
gangstérisme_noun	gangsterisme_noun
spectre_noun	espectre_noun
désaccord_noun	desafinament_noun
vivre_verb	viure_verb
extrêmement_adverb	extremament_adverb
donner_verb	impartir_verb
autoritairement_adverb	autoritàriament_adverb
giovannina_propernoun	giovannina_propernoun
eddy_propernoun	eddy_propernoun
webster_propernoun	webster_propernoun
aphasie_noun	afàsia_noun
lozeau_propernoun	lozeau_propernoun
xxviième_adjective	xxvii_adjective
amonarriz_propernoun	amonarriz_propernoun
utopisme_noun	utopisme_noun
matte_propernoun	matte_propernoun
demi-finaliste_noun	semifinalista_noun
gratte-ciel_noun	gratacel_noun
calil_propernoun	calil_propernoun
mir_propernoun	mir_propernoun
perspective_noun	perspectiva_noun
madeira_propernoun	madeira_propernoun
csa_noun	csa_noun
règlement_noun	pagament_noun
cotiser_verb	cotitzar_verb
lapolice_propernoun	lapolice_propernoun
expert_noun	expert_noun
baldo_propernoun	baldo_propernoun
micheloni_propernoun	micheloni_propernoun
déduire_verb	desgravar_verb
vicier_verb	aviciar_verb
essence_noun	essència_noun
influencer_verb	influenciar_verb
habillement_noun	vestimenta_noun
réduplicatif_adjective	reduplicatiu_adjective
remodelage_noun	remodelació_noun
raia_propernoun	raia_propernoun
fadda_propernoun	fadda_propernoun
avec-tous-les-détails_adverb	amb-tots-els-ets-i-uts_adverb
théisme_noun	teisme_noun
aboucher_verb	capficar_verb
siles_propernoun	siles_propernoun
silure_noun	silur_noun
acromégalie_noun	acromegàlia_noun
invagination_noun	invaginació_noun
reza_propernoun	reza_propernoun
tymoshenko_propernoun	tymoshenko_propernoun
symphoniste_noun	simfonista_noun
dialectologie_noun	dialectologia_noun
caddie_noun	carro_noun
franconi_propernoun	franconi_propernoun
faunistique_adjective	faunístic_adjective
israël_propernoun	israël_propernoun
styptique_adjective	estíptic_adjective
pioche_noun	pic_noun
ascension_noun	ascens_noun
madrid_propernoun	madrid_propernoun
short_noun	pantalons-curts_noun
saperas_propernoun	saperas_propernoun
bourgeois_noun	burgès_noun
exonérer_verb	exonerar_verb
despotique_adjective	despòtic_adjective
réaffirmation_noun	reafirmació_noun
gange_propernoun	ganges_propernoun
prusse-orientale_propernoun	prússia-oriental_propernoun
autojustification_noun	autojustificació_noun
setcases_propernoun	setcases_propernoun
régulièrement_adverb	regularment_adverb
architecturer_verb	estructurar_verb
curation_noun	curació_noun
centraliser_verb	centralitzar_verb
recrutement_noun	reclutament_noun
permis_noun	permís_noun
insatiable_adjective	insaciable_adjective
hippie_noun	hippy_noun
raccourci_noun	drecera_noun
bernadas_propernoun	bernadas_propernoun
indubitable_adjective	inequívoc_adjective
ductilité_noun	ductilitat_noun
arenys-de-munt_propernoun	arenys-de-munt_propernoun
dégoûter_verb	repel·lir_verb
castration_noun	castració_noun
à-votre-aise_adjective	còmode_adjective
bucovine_propernoun	bucovina_propernoun
antineutrino_noun	antineutrí_noun
airbus_propernoun	airbus_propernoun
massoteres_propernoun	massoteres_propernoun
versant_noun	vessant_noun
perditance_noun	perditància_noun
bertinelli_propernoun	bertinelli_propernoun
recouvrement_noun	recobriment_noun
coupable_adjective	culpable_adjective
saint-vincent-et-les-grenadines_propernoun	saint-vincent-i-les-grenadines_propernoun
athènes_propernoun	atenes_propernoun
proximal_adjective	proximal_adjective
coïncider_verb	coincidir_verb
lesage_propernoun	lesage_propernoun
communautariste_adjective	comunitarista_adjective
sheppard_propernoun	sheppard_propernoun
transylvanie_propernoun	transsilvània_propernoun
tâche_noun	tasca_noun
algonquin_adjective	algonquí_adjective
icahel_propernoun	icahel_propernoun
à-point_adverb	al-punt_adverb
assorti_adjective	assortit_adjective
palop_propernoun	palop_propernoun
épicycle_noun	epicicle_noun
controversé_adjective	controvertit_adjective
imide_noun	imida_noun
caoutchouc_noun	cautxú_noun
castrer_verb	capar_verb
chevaleresque_adjective	cavalleresc_adjective
reportage_noun	reportatge_noun
intermitent_adjective	intermitent_adjective
ratisbonne_propernoun	ratisbona_propernoun
unitif_adjective	unitiu_adjective
déroulement_noun	desenvolupament_noun
loyaliste_adjective	legitimista_adjective
savant_adjective	saberut_adjective
bertha_propernoun	bertha_propernoun
implacable_adjective	implacable_adjective
jardim_propernoun	jardim_propernoun
isern_propernoun	isern_propernoun
ruste_propernoun	ruste_propernoun
damore_propernoun	damore_propernoun
ragueneaux_propernoun	ragueneaux_propernoun
yamilem_propernoun	yamilem_propernoun
