posicionador_noun	positioner_noun
pels-pèls_adverb	by-a-whisker_adverb
bo_adjective	nice_adjective
ortogonalització_noun	orthogonalisation_noun
pujol_propernoun	pujol_propernoun
cecelia_propernoun	cecelia_propernoun
qualificar_verb	zone_verb
tot_determiner	all_determiner
silverman_propernoun	silverman_propernoun
desigualtat_noun	inequality_noun
magali_propernoun	magali_propernoun
vista_noun	hearing_noun
belony_propernoun	belony_propernoun
faber_propernoun	faber_propernoun
asperger_propernoun	asperger_propernoun
ballmer_propernoun	ballmer_propernoun
minimitzar_verb	minimise_verb
annika_propernoun	annika_propernoun
viau_propernoun	viau_propernoun
lluis_propernoun	lluis_propernoun
clor_noun	chlorine_noun
retinacle_noun	retinaculum_noun
aluja_propernoun	aluja_propernoun
demòcrata_noun	democrat_noun
d'afaitar_adjective	shaving_adjective
aprovació_noun	endorsement_noun
elettra_propernoun	elettra_propernoun
berry_propernoun	berry_propernoun
tibantor_noun	tightness_noun
astre_noun	star_noun
corona_noun	crown_noun
stonehenge_propernoun	stonehenge_propernoun
que_relativepronoun	who_relativepronoun
que_pronoun	who_pronoun
embriòleg_noun	embryologist_noun
ciberespai_noun	cyberspace_noun
operar_verb	operate_verb
atherton_propernoun	atherton_propernoun
kuwaitià_adjective	kuwaiti_adjective
lúnula_noun	lune_noun
celide_propernoun	celide_propernoun
repugnar_verb	disgust_verb
accedir_verb	acquiesce_verb
prova_noun	exhibit_noun
naixença_noun	birth_noun
degrandpré_propernoun	degrandpré_propernoun
delimitador_noun	delimiter_noun
brahma_propernoun	brahma_propernoun
barril_noun	barrel_noun
erazo_propernoun	erazo_propernoun
ningú_pronoun	anyone_pronoun
esclados_propernoun	esclados_propernoun
manière_propernoun	manière_propernoun
fluet_propernoun	fluet_propernoun
ostentar_verb	have_verb
primera-guerra-mundial_propernoun	second-world-war_propernoun
ergoteràpia_noun	ergotherapy_noun
imperceptiblement_adverb	imperceptibly_adverb
windows-95_propernoun	windows-95_propernoun
marcelon_propernoun	marcelon_propernoun
apanyar_verb	fix_verb
heraldista_noun	heraldist_noun
contrast_noun	contrast_noun
ginebra_propernoun	geneva_propernoun
curt_propernoun	curt_propernoun
sicilia_propernoun	sicilia_propernoun
inútil_adjective	impractical_adjective
pèntode_noun	pentode_noun
críptic_adjective	cryptic_adjective
migneault_propernoun	migneault_propernoun
cromita_noun	chromite_noun
hivernal_adjective	wintry_adjective
exacció_noun	exaction_noun
econòmic_adjective	inexpensive_adjective
patriota_noun	patriot_noun
inspirat-en_adjective	inspired-by_adjective
centrifugar_verb	centrifuge_verb
torsió_noun	torsion_noun
centè_adjective	hundredth_adjective
beniamino_propernoun	beniamino_propernoun
arredonir_verb	round_verb
celeste_adjective	celestial_adjective
badía_propernoun	badía_propernoun
bastant_adverb	pretty-much_adverb
fiasco_noun	fiasco_noun
sintonia_noun	tuning_noun
neutral_adjective	neutral_adjective
una-estona_adverb	a-while_adverb
televisiu_adjective	television_adjective
jihad_noun	jihad_noun
moderat_adjective	middle-of-the-road_adjective
úlcera_noun	ulcer_noun
filosòfic_adjective	philosophic_adjective
ibarretxe_propernoun	ibarretxe_propernoun
berenguel_propernoun	berenguel_propernoun
cablegrama_noun	cablegram_noun
injuriós_adjective	injurious_adjective
fernandez_propernoun	fernandez_propernoun
triacilglicèrid_noun	triacylglyceride_noun
cabaret_noun	cabaret_noun
març_noun	march_noun
radioimmunoassaig_noun	radioimmunoassay_noun
barcelonès_propernoun	barcelonès_propernoun
generosa_propernoun	generosa_propernoun
bàlsam-labial_noun	lip-balm_noun
craig_propernoun	craig_propernoun
de-manera-intercambiable_adverb	interchangeably_adverb
mills_propernoun	mills_propernoun
blanch_propernoun	blanch_propernoun
oxidació_noun	oxidation_noun
cartolina_noun	cardboard_noun
ansiós_adjective	eager_adjective
gingival_adjective	gingival_adjective
quadrúpede_adjective	quadruped_adjective
originador_noun	originator_noun
conjunt-difús_noun	fuzzy-set_noun
inexistent_adjective	nonexistent_adjective
dotze_numeral	twelve_numeral
gros_propernoun	gros_propernoun
seriós_adjective	serious_adjective
tracte_noun	tract_noun
encara-més_adverb	even-more_adverb
accentuació_noun	accentuation_noun
in-absentia_adverb	in-absentia_adverb
aromàtic_adjective	aromatic_adjective
translúcid_adjective	translucent_adjective
viviana_propernoun	viviana_propernoun
esforç_noun	endeavour_noun
ayza_propernoun	ayza_propernoun
oscil·lació_noun	oscillation_noun
inadaptat_adjective	maladjusted_adjective
llorer_noun	laurel_noun
ample-de-banda_noun	bandwidth_noun
lona_noun	canvas_noun
mucci_propernoun	mucci_propernoun
embós_noun	jam_noun
per-raons-de-control_adverb	for-control-purposes_adverb
déodat_propernoun	déodat_propernoun
guay_propernoun	guay_propernoun
vitrectomia_noun	vitrectomy_noun
deacon_propernoun	deacon_propernoun
definitiu_adjective	ultimate_adjective
negre_noun	black_noun
inconstitucionalment_adverb	unconstitutionally_adverb
barreja_noun	mix_noun
hamon_propernoun	hamon_propernoun
tricomoniasi_noun	trichomoniasis_noun
manoukian_propernoun	manoukian_propernoun
guapo_adjective	good-looking_adjective
iberia-ashland_propernoun	iberia-ashland_propernoun
aparell_noun	device_noun
flota_noun	fleet_noun
karenina_propernoun	karenina_propernoun
tirar_verb	throw_verb
cases_propernoun	cases_propernoun
rumorejar_verb	rumour_verb
arxifonema_noun	archiphoneme_noun
