esclofollar_verb	éplucher_verb
grañá_propernoun	grañá_propernoun
alegret_propernoun	alegret_propernoun
von-kármán_propernoun	von-kármán_propernoun
orr_propernoun	orr_propernoun
filon_propernoun	filon_propernoun
gangsterisme_noun	gangstérisme_noun
espectre_noun	spectre_noun
troya_propernoun	troya_propernoun
bellugadissa_noun	grouillement_noun
desafinament_noun	désaccord_noun
viure_verb	vivre_verb
brochu_propernoun	brochu_propernoun
extremament_adverb	extrêmement_adverb
impartir_verb	donner_verb
catxalot_noun	cachalot_noun
isòsceles_adjective	isocèle_adjective
autoritàriament_adverb	autoritairement_adverb
giovannina_propernoun	giovannina_propernoun
afàsia_noun	aphasie_noun
lozeau_propernoun	lozeau_propernoun
xxvii_adjective	xxviième_adjective
amonarriz_propernoun	amonarriz_propernoun
inversor_noun	inverseur_noun
utopisme_noun	utopisme_noun
acb_noun	acb_noun
semifinalista_noun	demi-finaliste_noun
calil_propernoun	calil_propernoun
mir_propernoun	mir_propernoun
new-nintendo-3ds-xl_propernoun	new-nintendo-3ds-xl_propernoun
desídia_noun	négligence_noun
perspectiva_noun	perspective_noun
madeira_propernoun	madeira_propernoun
csa_noun	csa_noun
muscular_adjective	musculaire_adjective
braçalet_noun	bracelet_noun
pagament_noun	règlement_noun
noferi_propernoun	noferi_propernoun
pater-familias_noun	chef-de-famille_noun
disgràfic_adjective	dysgraphique_adjective
petty_propernoun	petty_propernoun
cotitzar_verb	cotiser_verb
expert_noun	expert_noun
baldo_propernoun	baldo_propernoun
micheloni_propernoun	micheloni_propernoun
aviciar_verb	vicier_verb
capçal_noun	tête-de-lit_noun
essència_noun	essence_noun
renovar_verb	rénover_verb
influenciar_verb	influencer_verb
vestimenta_noun	habillement_noun
remodelació_noun	remodelage_noun
indagació_noun	enquête_noun
fadda_propernoun	fadda_propernoun
amb-tots-els-ets-i-uts_adverb	avec-tous-les-détails_adverb
siles_propernoun	siles_propernoun
silur_noun	silure_noun
gallardón_propernoun	gallardón_propernoun
acromegàlia_noun	acromégalie_noun
invaginació_noun	invagination_noun
reza_propernoun	reza_propernoun
palau-saverdera_propernoun	palau-saverdera_propernoun
tymoshenko_propernoun	tymoshenko_propernoun
simfonista_noun	symphoniste_noun
fasciculació_noun	fasciculation_noun
dialectologia_noun	dialectologie_noun
antena_noun	antenne_noun
carro_noun	caddie_noun
franconi_propernoun	franconi_propernoun
inferir_verb	inférer_verb
marat_propernoun	marat_propernoun
faunístic_adjective	faunistique_adjective
saborós_adjective	savoureux_adjective
israël_propernoun	israël_propernoun
ascens_noun	ascension_noun
madrid_propernoun	madrid_propernoun
pantalons-curts_noun	short_noun
simplista_adjective	simpliste_adjective
burgès_noun	bourgeois_noun
exonerar_verb	exonérer_verb
reafirmació_noun	réaffirmation_noun
prússia-oriental_propernoun	prusse-orientale_propernoun
retinopatia_noun	rétinopathie_noun
graduar_verb	graduer_verb
setcases_propernoun	setcases_propernoun
regularment_adverb	régulièrement_adverb
estructurar_verb	architecturer_verb
centralitzar_verb	centraliser_verb
reclutament_noun	recrutement_noun
magnitud_noun	magnitude_noun
permís_noun	permis_noun
insaciable_adjective	insatiable_adjective
drecera_noun	raccourci_noun
bernadas_propernoun	bernadas_propernoun
ductilitat_noun	ductilité_noun
vestit_noun	costume_noun
còmode_adjective	à-votre-aise_adjective
antineutrí_noun	antineutrino_noun
setge_noun	siège_noun
airbus_propernoun	airbus_propernoun
massoteres_propernoun	massoteres_propernoun
transportista_noun	transporteur_noun
cami_propernoun	cami_propernoun
recobriment_noun	recouvrement_noun
culpable_adjective	coupable_adjective
agafar-amb-pinces_verb	épingler_verb
proximal_adjective	proximal_adjective
pangermànic_adjective	pangermanique_adjective
ventilatori_adjective	ventilatoire_adjective
lesage_propernoun	lesage_propernoun
sheppard_propernoun	sheppard_propernoun
transsilvània_propernoun	transylvanie_propernoun
parcial_adjective	partiel_adjective
algonquí_adjective	algonquin_adjective
al-punt_adverb	à-point_adverb
aparador_noun	étalage_noun
assortit_adjective	assorti_adjective
palop_propernoun	palop_propernoun
imida_noun	imide_noun
capar_verb	castrer_verb
cavalleresc_adjective	chevaleresque_adjective
bartolomé_propernoun	bartolomé_propernoun
assayag_propernoun	assayag_propernoun
reportatge_noun	reportage_noun
lafont_propernoun	lafont_propernoun
intermitent_adjective	intermitent_adjective
ratisbona_propernoun	ratisbonne_propernoun
unitiu_adjective	unitif_adjective
desenvolupament_noun	déroulement_noun
legitimista_adjective	loyaliste_adjective
saberut_adjective	savant_adjective
bertha_propernoun	bertha_propernoun
fer-morros_verb	faire-la-gueule_verb
