ilegitimamente_adverb	il·legítimament_adverb
charrier_propernoun	charrier_propernoun
macdermott_propernoun	macdermott_propernoun
reny_propernoun	reny_propernoun
o-qual_pronoun	el-qual_pronoun
prata_noun	argent_noun
dissimulável_adjective	dissimulable_adjective
endesa_propernoun	endesa_propernoun
dispositivo_adjective	dispositiu_adjective
granyena-de-segarra_propernoun	granyena-de-segarra_propernoun
zaragocí_propernoun	zaragocí_propernoun
bornemisza_propernoun	bornemisza_propernoun
fundamentar_verb	fonamentar_verb
átrio_noun	atri_noun
correlativo_adjective	correlatiu_adjective
insofrível_adjective	insofrible_adjective
alvorada_noun	aurora_noun
day_propernoun	day_propernoun
vara-de-condão_noun	vareta-màgica_noun
snobismo_noun	esnobisme_noun
viveiros_propernoun	viveiros_propernoun
reciprocamente_adverb	recíprocament_adverb
inconstitucional_adjective	inconstitucional_adjective
recapitalização_noun	recapitalització_noun
reda_propernoun	reda_propernoun
custo_noun	cost_noun
sintáctico_adjective	sintàctic_adjective
lin_propernoun	lin_propernoun
backer_propernoun	backer_propernoun
walpole_propernoun	walpole_propernoun
nada_adverb	gens_adverb
melgarejo_propernoun	melgarejo_propernoun
barroco_noun	barroc_noun
autodestruição_noun	autodestrucció_noun
estupendamente_adverb	estupendament_adverb
tomar-o-café-da-manhã_verb	esmorzar_verb
defeito_noun	defecte_noun
levantamento_noun	aixecament_noun
figurativo_adjective	figuratiu_adjective
fôlego_noun	alè_noun
bardeen_propernoun	bardeen_propernoun
d_noun	d_noun
frassinetti_propernoun	frassinetti_propernoun
holanda_propernoun	holanda_propernoun
espiralmente_adverb	espiralment_adverb
holm_propernoun	holm_propernoun
injustiça_noun	injustícia_noun
áureo_propernoun	áureo_propernoun
cultural_adjective	cultural_adjective
marenger_propernoun	marenger_propernoun
mucci_propernoun	mucci_propernoun
concentracionário_adjective	concentracionari_adjective
howells_propernoun	howells_propernoun
areolado_adjective	areolat_adjective
fisher_propernoun	fisher_propernoun
mandelbrot_propernoun	mandelbrot_propernoun
perversão_noun	perversió_noun
amplo_adjective	ampli_adjective
siracusa_propernoun	siracusa_propernoun
berengário_propernoun	berengário_propernoun
balauru_propernoun	balauru_propernoun
sistematicamente_adverb	sistemàticament_adverb
recta_noun	recta_noun
vernetti_propernoun	vernetti_propernoun
conceptualista_adjective	conceptualista_adjective
etxezarreta_propernoun	etxezarreta_propernoun
argentin_propernoun	argentin_propernoun
java_propernoun	java_propernoun
bissau_propernoun	bissau_propernoun
musante_propernoun	musante_propernoun
supersticioso_adjective	supersticiós_adjective
marisco_noun	marisc_noun
decorativamente_adverb	decorativament_adverb
osterberger_propernoun	osterberger_propernoun
little_propernoun	little_propernoun
pennoni_propernoun	pennoni_propernoun
muito_adverb	molt_adverb
cendrós_propernoun	cendrós_propernoun
santa-coloma-de-queralt_propernoun	santa-coloma-de-queralt_propernoun
embriagador_adjective	embriagador_adjective
castelhanização_noun	castellanització_noun
corcuera_propernoun	corcuera_propernoun
sacristão_noun	sagristà_noun
chirilov_propernoun	chirilov_propernoun
friedman_propernoun	friedman_propernoun
silaghi_propernoun	silaghi_propernoun
a-cabo-de_preposition	al-cap-de_preposition
rural_adjective	rural_adjective
rarefactivo_adjective	rarefactiu_adjective
somatório_noun	sumatori_noun
desaparelhado_adjective	desaparellat_adjective
mitificação_noun	mitificació_noun
sobreiral_noun	roureda_noun
molaison_propernoun	molaison_propernoun
projectante_adjective	projectant_adjective
st-jacques_propernoun	st-jacques_propernoun
fattorini_propernoun	fattorini_propernoun
época_noun	època_noun
racionalista_noun	racionalista_noun
occhipinti_propernoun	occhipinti_propernoun
iônico_adjective	iònic_adjective
marcescível_adjective	marcescible_adjective
salineiro_adjective	saliner_adjective
abolicionismo_noun	abolicionisme_noun
laurier_propernoun	laurier_propernoun
ante_preposition	davant_preposition
esteárico_adjective	esteàric_adjective
casadesús_propernoun	casadesús_propernoun
expetorante_adjective	expectorant_adjective
faustin_propernoun	faustin_propernoun
vasco_noun	basc_noun
lamothe_propernoun	lamothe_propernoun
machista_noun	masclista_noun
modular_adjective	modular_adjective
consola_noun	consola_noun
vingança_noun	venjança_noun
secundariamente_adverb	secundàriament_adverb
a-varejo_adverb	al-detall_adverb
la-mattina_propernoun	la-mattina_propernoun
tripolitano_adjective	tripolità_adjective
iruin_propernoun	iruin_propernoun
calar_verb	callar_verb
gasolina_noun	gasolina_noun
partido_noun	partit_noun
muixí_propernoun	muixí_propernoun
vivaldo_propernoun	vivaldo_propernoun
catorze_numeral	catorze_numeral
trapero_propernoun	trapero_propernoun
investigador_noun	investigador_noun
salvail_propernoun	salvail_propernoun
de-rua_adjective	de-carrer_adjective
delachevrotière_propernoun	delachevrotière_propernoun
flórida_propernoun	florida_propernoun
sant-esteve-de-la-sarga_propernoun	sant-esteve-de-la-sarga_propernoun
superdotado_adjective	superdotat_adjective
magrans_propernoun	magrans_propernoun
aragay_propernoun	aragay_propernoun
cocciu_propernoun	cocciu_propernoun
abasolo_propernoun	abasolo_propernoun
expansibilidade_noun	expansibilitat_noun
cério_noun	ceri_noun
diminuto_adjective	diminut_adjective
ânsia_noun	ànsia_noun
rogério_propernoun	rogério_propernoun
desmarchais_propernoun	desmarchais_propernoun
frédéric_propernoun	frédéric_propernoun
castellaneta_propernoun	castellaneta_propernoun
octogenário_adjective	octogenari_adjective
cosmográfico_adjective	cosmogràfic_adjective
von-kleist_propernoun	von-kleist_propernoun
recriminação_noun	recriminació_noun
nitrogênio_noun	nitrogen_noun
chatelois_propernoun	chatelois_propernoun
reconciliador_adjective	reconciliador_adjective
abi-ackel_propernoun	abi-ackel_propernoun
cosmólogo_noun	cosmòleg_noun
volta_noun	tornada_noun
troca_noun	recanvi_noun
genesse_propernoun	genesse_propernoun
leucocitário_adjective	leucocitari_adjective
de-perto_adverb	de-prop_adverb
encinas_propernoun	encinas_propernoun
insolubilidade_noun	insolubilitat_noun
constable_propernoun	constable_propernoun
inofensivamente_adverb	inofensivament_adverb
consciente_noun	conscient_noun
gotti_propernoun	gotti_propernoun
velho_propernoun	velho_propernoun
elvira_propernoun	elvira_propernoun
pirâmide_noun	piràmide_noun
amiri_propernoun	amiri_propernoun
wallach_propernoun	wallach_propernoun
horrífico_adjective	horrífic_adjective
martorelli_propernoun	martorelli_propernoun
sant-boi-de-lluçanès_propernoun	sant-boi-de-lluçanès_propernoun
recensão_noun	recensió_noun
dolz_propernoun	dolz_propernoun
desempenhar_verb	dur-a-terme_verb
ideologia_noun	ideologia_noun
solicitador_adjective	sol·licitador_adjective
antroposófico_adjective	antroposòfic_adjective
envolver_verb	enredar_verb
solans_propernoun	solans_propernoun
lapidoso_adjective	lapidós_adjective
gervásio_propernoun	gervásio_propernoun
fuentes-de-ayódar_propernoun	fuentes-de-ayódar_propernoun
lídia_propernoun	lídia_propernoun
viciana_propernoun	viciana_propernoun
legislador_noun	legislador_noun
cornejo_propernoun	cornejo_propernoun
neolítico_adjective	neolític_adjective
becerra_propernoun	becerra_propernoun
svetlana_propernoun	svetlana_propernoun
bálcãs_propernoun	balcans_propernoun
marchal_propernoun	marchal_propernoun
visigótico_adjective	visigòtic_adjective
duplicação_noun	duplicació_noun
figurável_adjective	figurable_adjective
loubar_verb	lloar_verb
lladurs_propernoun	lladurs_propernoun
imaterial_adjective	immaterial_adjective
themens_propernoun	themens_propernoun
fiorelli_propernoun	fiorelli_propernoun
compulsivo_adjective	compulsiu_adjective
matador_adjective	matador_adjective
hacker_noun	hacker_noun
waneta_propernoun	waneta_propernoun
eucariota_noun	eucariota_noun
microbiólogo_noun	microbiòleg_noun
parasitologista_noun	parasitòleg_noun
piermartini_propernoun	piermartini_propernoun
atribuir_verb	assignar_verb
costiniu_propernoun	costiniu_propernoun
trastámaras_propernoun	trastàmares_propernoun
juvé_propernoun	juvé_propernoun
flames_propernoun	flames_propernoun
forcada_propernoun	forcada_propernoun
feo_propernoun	feo_propernoun
quarto_noun	quart_noun
bonada_propernoun	bonada_propernoun
fato_noun	fet_noun
gautama_propernoun	gautama_propernoun
canalizador_noun	canalitzador_noun
baixa_noun	baixa_noun
olfação_noun	olfacció_noun
extracurricular_adjective	extracurricular_adjective
recém_adverb	recentment_adverb
escudeiro_noun	escuder_noun
anabático_adjective	anabàtic_adjective
indonésio_noun	indonesi_noun
godoy_propernoun	godoy_propernoun
subcomissão_noun	subcomissió_noun
gallinella_propernoun	gallinella_propernoun
peninha_propernoun	peninha_propernoun
castell-platja-d'aro_propernoun	castell-platja-d'aro_propernoun
martinazzoli_propernoun	martinazzoli_propernoun
miñano_propernoun	miñano_propernoun
scanio_propernoun	scanio_propernoun
foz_noun	desembocadura_noun
halde_propernoun	halde_propernoun
renúncia_noun	renúncia_noun
fulbright_propernoun	fulbright_propernoun
descongestivo_adjective	descongestiu_adjective
amigdalectomia_noun	amigdalectomia_noun
cordado_adjective	cordat_adjective
ganau_propernoun	ganau_propernoun
campmany_propernoun	campmany_propernoun
lippe_propernoun	lippe_propernoun
ludendorff_propernoun	ludendorff_propernoun
conserto_noun	reparació_noun
asserção_noun	asserció_noun
chaparro_propernoun	chaparro_propernoun
doente_adjective	malalt_adjective
demográfico_adjective	demogràfic_adjective
elipse_noun	el·lipse_noun
jackson_propernoun	jackson_propernoun
capone_propernoun	capone_propernoun
lentidão_noun	lentitud_noun
mantica_propernoun	mantica_propernoun
mirada_propernoun	mirada_propernoun
viñes_propernoun	viñes_propernoun
tyler_propernoun	tyler_propernoun
ejaculador_adjective	ejaculador_adjective
droga_noun	droga_noun
lavarra_propernoun	lavarra_propernoun
fotolitografia_noun	fotolitografia_noun
karaté_noun	karate_noun
frigola_propernoun	frigola_propernoun
motivação_noun	motivació_noun
meteorográfico_adjective	meteorogràfic_adjective
clima_noun	clima_noun
fabricar_verb	fabricar_verb
kemp_propernoun	kemp_propernoun
