proprietário_noun	propietario_noun
abono_noun	anticipo_noun
cercania_noun	cercanía_noun
quarenta_numeral	cuarenta_numeral
monitorização_noun	monitorización_noun
lus_propernoun	lus_propernoun
refúgio_noun	cobijo_noun
visibilidade_noun	visibilidad_noun
exoneração_noun	exoneración_noun
guarda_noun	guardia_noun
néscio_adjective	necio_adjective
racionalidade_noun	racionalidad_noun
milionariamente_adverb	millonariamente_adverb
alcantilado_noun	acantilado_noun
rotina_noun	rutina_noun
cartão_noun	tarjeta_noun
desconhecedor_adjective	desconocedor_adjective
check-out_noun	check-out_noun
ocidente_noun	occidente_noun
tríade_noun	tríada_noun
filho_noun	hijo_noun
aos-montes_adverb	a-montones_adverb
sediar_verb	acoger_verb
sustentavelmente_adverb	sustentablemente_adverb
meta_noun	hito_noun
rubiralta_propernoun	rubiralta_propernoun
fera_noun	fiera_noun
indiretamente_adverb	indirectamente_adverb
desgraça-pouca-é-bobagem_adverb	a-perro-flaco-todo-son-pulgas_adverb
guerreiro_adjective	guerrero_adjective
problemático_adjective	problemático_adjective
em-vão_adverb	vanamente_adverb
repressivo_adjective	represivo_adjective
bilheteira_noun	taquilla_noun
gênero_noun	género_noun
diluição_noun	dilución_noun
arrogância_noun	arrogancia_noun
carinhoso_adjective	cariñoso_adjective
temporão_adjective	temprano_adjective
consistente_adjective	consistente_adjective
chapéu_noun	sombrero_noun
lançar_verb	lanzar_verb
dupla_noun	pareja_noun
rede_noun	hamaca_noun
pensão_noun	pensión_noun
substância_noun	sustancia_noun
elasticidade_noun	elasticidad_noun
mobiliário_adjective	mobiliario_adjective
tchau_adverb	chao_adverb
a-varejo_adverb	al-por-menor_adverb
infarmed_propernoun	infarmed_propernoun
valentemente_adverb	valientemente_adverb
lituânia_propernoun	lituania_propernoun
empilhamento_noun	apilamiento_noun
postumamente_adverb	póstumamente_adverb
cvtelecom_propernoun	cvtelecom_propernoun
sedimentar_verb	sedimentar_verb
depressivamente_adverb	depresivamente_adverb
microbiano_adjective	microbiano_adjective
conforme-combinamos_interjection	tal-y-como-acordamos_interjection
arrepender_verb	arrepentir_verb
maleabilidade_noun	maleabilidad_noun
para-perto-de_adverb	cerca-de_adverb
isoladamente_adverb	aisladamente_adverb
nodo_noun	nudo_noun
tributação_noun	arancelización_noun
vicente_propernoun	vicente_propernoun
transporte_noun	trasporte_noun
empacotamento_noun	empaque_noun
astrônomo_noun	astrónomo_noun
gutiérrez_propernoun	gutiérrez_propernoun
url_noun	url_noun
ninho_noun	nido_noun
microeconómico_adjective	microeconómico_adjective
demais_noun	demás_noun
litigar_verb	litigar_verb
frequentar_verb	frecuentar_verb
qual_adverb	cuál_adverb
qual_pronoun	cuál_pronoun
qual_interrogativepronoun	cuál_interrogativepronoun
assinante_noun	subscriptor_noun
marca_noun	lacra_noun
reprodução_noun	reproducción_noun
duplicação_noun	duplicación_noun
sábio_adjective	sabio_adjective
complemento_noun	complemento_noun
lance_noun	lance_noun
inquebrantavelmente_adverb	inquebrantablemente_adverb
subtil_adjective	sutil_adjective
devastar_verb	talar_verb
teclado_noun	teclado_noun
ghana_propernoun	ghana_propernoun
desenhar_verb	diseñar_verb
canonicamente_adverb	canónicamente_adverb
alpaca_noun	alpaca_noun
desflorestação_noun	deforestación_noun
sul-africano_adjective	sudafricano_adjective
multifuncionalidade_noun	multifuncionalidad_noun
apesar_subordinatingconjunction	a-pesar_subordinatingconjunction
carbonizar_verb	carbonizar_verb
conseqüentemente_adverb	consecuentemente_adverb
rijamente_adverb	reciamente_adverb
afonso_propernoun	afonso_propernoun
cardozo_propernoun	cardozo_propernoun
concretização_noun	concretización_noun
bilião_noun	billón_noun
de-ascensão_adjective	alcista_adjective
dosificação_noun	dosificación_noun
simpaticamente_adverb	simpáticamente_adverb
mão-de-ferro_adverb	mano-dura_adverb
talhar_verb	tallar_verb
anexar_verb	adjuntar_verb
esmagar_verb	machacar_verb
aglutinar_verb	aglutinar_verb
correto_adjective	correcto_adjective
fraudador_noun	defraudador_noun
artilharia_noun	artillería_noun
democratização_noun	democratización_noun
coplanar_adjective	coplanar_adjective
muito-próximo_adverb	muy-cercano_adverb
apressar_verb	apurar_verb
inúmero_adjective	incontable_adjective
engatar_verb	ligar_verb
tunísia_propernoun	túnez_propernoun
subcategoria_noun	subcategoría_noun
escola_noun	escuela_noun
dna_noun	adn_noun
d_noun	d_noun
corretamente_adverb	correctamente_adverb
desinibir_verb	desinhibir_verb
preguiçoso_adjective	perezoso_adjective
indução_noun	inducción_noun
acontecimento_noun	acontecimiento_noun
repor_verb	reponer_verb
responsável_adjective	responsable_adjective
ali_adverb	allí_adverb
debater_verb	debatir_verb
namorado_noun	novio_noun
tributar_verb	tributar_verb
abreviatura_noun	abreviatura_noun
varredura_noun	barrido_noun
activação_noun	activación_noun
menino_noun	niño_noun
condicionar_verb	condicionar_verb
acidentalmente_adverb	incidentalmente_adverb
hoje-em-dia_adverb	hoy-día_adverb
inadequadamente_adverb	inadecuadamente_adverb
supostamente_adverb	presuntamente_adverb
sobrevir_verb	sobrevenir_verb
zootécnico_adjective	zootécnico_adjective
desnecessário_adjective	innecesario_adjective
cooperativismo_noun	cooperativismo_noun
categoricamente_adverb	categóricamente_adverb
semiacabado_adjective	semiacabado_adjective
banco-central-europeu_propernoun	banco-central-europeo_propernoun
endogeneidade_noun	endogeneidad_noun
calar_verb	callar_verb
vinte-e-três_numeral	veintitrés_numeral
invasão_noun	invasión_noun
dom_noun	don_noun
dicionário_noun	diccionario_noun
solicitude_noun	solicitud_noun
porta_noun	puerta_noun
unctad_propernoun	unctad_propernoun
portabilidade_noun	portabilidad_noun
limpar_verb	limpiar_verb
marinhamente_adverb	marinamente_adverb
nicolau_propernoun	nicolau_propernoun
aspiração_noun	aspiración_noun
contagem-regressiva_noun	cuenta-atrás_noun
praia_noun	playa_noun
cingir_verb	ceñir_verb
achar-que_verb	creer-que_verb
montar_verb	ensamblar_verb
euroliga_propernoun	euroliga_propernoun
santander_propernoun	santander_propernoun
com-costura_adjective	cosido_adjective
nascentemente_adverb	nacientemente_adverb
juntar_verb	aparear_verb
desculpa_noun	excusa_noun
estrangeiramente_adverb	extranjeramente_adverb
ghazzaoui_propernoun	ghazzaoui_propernoun
oportunista_adjective	oportunista_adjective
graça_noun	merced_noun
ir_verb	acudir_verb
intervir_verb	intervenir_verb
prezado_noun	estimado_noun
subentidade_noun	subentidad_noun
inflexivelmente_adverb	inflexiblemente_adverb
sucesso_noun	éxito_noun
configuração_noun	configuración_noun
espécie_noun	especie_noun
murray_propernoun	murray_propernoun
figueiredo_propernoun	figueiredo_propernoun
sobremaneira_adverb	sobremanera_adverb
suicídio_noun	suicidio_noun
gipsyking_propernoun	gipsyking_propernoun
fila_noun	cola_noun
soprar_verb	soplar_verb
reagir_verb	reaccionar_verb
montanha_noun	montaña_noun
ocasião_noun	ocasión_noun
pozuelo_propernoun	pozuelo_propernoun
defasado_adjective	desfasado_adjective
degeneração_noun	degeneración_noun
preferivelmente_adverb	preferiblemente_adverb
pênalti_noun	penalti_noun
de-olhos-fechados_adverb	a-ciegas_adverb
admiração_noun	admiración_noun
inovar_verb	innovar_verb
acrescentar_verb	añadir_verb
interessante_adjective	interesante_adjective
redesenhar_verb	rediseñar_verb
amaral_propernoun	amaral_propernoun
cimeira_noun	cumbre_noun
estação_noun	estación_noun
polegar_noun	pulgar_noun
excentricidade_noun	excentricidad_noun
endemicamente_adverb	endémicamente_adverb
sala_noun	aula_noun
koehler_propernoun	koehler_propernoun
vaidosamente_adverb	presumidamente_adverb
podremente_adverb	podridamente_adverb
a-esmo_adverb	a-la-ventura_adverb
flutuação_noun	flotación_noun
utilizavelmente_adverb	utilizablemente_adverb
contagem_noun	recuento_noun
biênio_noun	bienio_noun
escassamente_adverb	escasamente_adverb
orçamentariamente_adverb	presupuestariamente_adverb
posição_noun	posición_noun
lamber_verb	lamer_verb
fictício_adjective	ficticio_adjective
agradavelmente_adverb	agradablemente_adverb
dar-baixa_verb	dar-la-baja_verb
a-respeito-de_preposition	acerca-de_preposition
desastroso_adjective	desastroso_adjective
encamp_propernoun	encamp_propernoun
roteiro_noun	guión_noun
infração_noun	infracción_noun
noite_noun	noche_noun
juntar_verb	empalmar_verb
adiante_adverb	adelante_adverb
bel_propernoun	bel_propernoun
inimaginavelmente_adverb	inimaginablemente_adverb
indonésia_propernoun	indonesia_propernoun
forasteiramente_adverb	forasteramente_adverb
geração_noun	generación_noun
unha_noun	uña_noun
milhar_numeral	mil_numeral
fuso_noun	huso_noun
coesão_noun	cohesión_noun
pulmão_noun	pulmón_noun
rota_noun	ruta_noun
acordar_verb	despertar_verb
não-dar-ouvidos-a-bobagens_adverb	a-palabras-necias-oídos-sordos_adverb
arábia-saudita_propernoun	arabia-saudí_propernoun
sexy_adjective	sexy_adjective
telecom_propernoun	telecom_propernoun
misto_adjective	mixto_adjective
penultimamente_adverb	penúltimamente_adverb
insustentavelmente_adverb	insosteniblemente_adverb
esporadicamente_adverb	esporádicamente_adverb
quotidianamente_adverb	cotidianamente_adverb
linealidade_noun	linealidad_noun
objeto_noun	objeto_noun
ryder_propernoun	ryder_propernoun
espanholamente_adverb	españolamente_adverb
covardia_noun	cobardía_noun
matos_propernoun	matos_propernoun
despedaçar_verb	despedazar_verb
pelouro_noun	consejero_noun
horário_noun	horario_noun
tabique_noun	tabique_noun
shimell_propernoun	shimell_propernoun
roucamente_adverb	roncamente_adverb
enrech_propernoun	enrech_propernoun
favoravelmente_adverb	favorablemente_adverb
sob-medida_adverb	a-medida_adverb
sermão_noun	sermón_noun
cad_propernoun	cad_propernoun
prevenção_noun	prevención_noun
p_noun	p_noun
identidade_noun	identidad_noun
harmonização_noun	armonización_noun
convergir_verb	converger_verb
atribuição_noun	asignación_noun
sorrir_verb	sonreír_verb
bom-demais_adverb	muy-bueno_adverb
mau_adjective	malo_adjective
emergência_noun	emergencia_noun
record_propernoun	record_propernoun
dissipar_verb	disipar_verb
invejar_verb	envidiar_verb
apadrinhar_verb	apadrinar_verb
têxtil_adjective	textil_adjective
prescrever_verb	prescribir_verb
compreensível_adjective	comprensible_adjective
plano_adjective	llano_adjective
armazém_noun	lonja_noun
vergonha_noun	vergüenza_noun
ao-invés-de_preposition	en-vez-de_preposition
protector_adjective	protector_adjective
antes-de-mais-nada_adverb	antes-de-nada_adverb
virgem_propernoun	virgem_propernoun
arqueologamente_adverb	arqueólogamente_adverb
duradouro_adjective	duradero_adjective
harmônico_adjective	armónico_adjective
macroeconômico_adjective	macroeconómico_adjective
saturação_noun	saturación_noun
penhasco_noun	peñasco_noun
travessamente_adverb	traviesamente_adverb
conversor_noun	convertidor_noun
descolável_adjective	despegable_adjective
motriz_adjective	motriz_adjective
detestavelmente_adverb	detestablemente_adverb
herdade_noun	masía_noun
frequência_noun	frecuencia_noun
grande_adjective	gran_adjective
lealdade_noun	lealtad_noun
incompreendidamente_adverb	incomprendidamente_adverb
exactidão_noun	exactitud_noun
caminhante_noun	caminante_noun
atrair_verb	atraer_verb
comparação_noun	parangón_noun
ferreiro_noun	herrero_noun
respingo_noun	salpicadura_noun
reminiscência_noun	reminiscencia_noun
avaliar_verb	evaluar_verb
ombro_noun	hombro_noun
liberador_adjective	liberalizador_adjective
ciclone_noun	ciclón_noun
linha_noun	línea_noun
outro_pronoun	otro_pronoun
milimetricamente_adverb	milimétricamente_adverb
acesso_noun	acceso_noun
nonagesimamente_adverb	nonagésimamente_adverb
balançar_verb	balancear_verb
proximamente_adverb	cercanamente_adverb
racionalização_noun	racionalización_noun
demonstração_noun	demostración_noun
julianne_propernoun	julianne_propernoun
avaliar_verb	valuar_verb
chucho_propernoun	chucho_propernoun
perigo_noun	peligro_noun
tutelar_verb	tutelar_verb
astronomicamente_adverb	astronómicamente_adverb
província_noun	provincia_noun
peronella_propernoun	peronella_propernoun
usufruir_verb	usufructuar_verb
odum_propernoun	odum_propernoun
interminavelmente_adverb	interminablemente_adverb
ineficiente_adjective	ineficiente_adjective
cesr_propernoun	cesr_propernoun
cantor_noun	cantante_noun
torcedor_noun	hincha_noun
dúvida_noun	duda_noun
inadmissivelmente_adverb	inadmisiblemente_adverb
remoção_noun	remoción_noun
auditório_noun	auditorio_noun
anglicismo_noun	anglicismo_noun
fainé_propernoun	fainé_propernoun
alterno_adjective	alterno_adjective
patentear_verb	patentar_verb
tetraedro_noun	tetraedro_noun
manual_noun	manual_noun
familiarizar_verb	familiarizar_verb
mercado_noun	pulpería_noun
propagação_noun	propagación_noun
cinza_noun	gris_noun
variedade_noun	variedad_noun
maior_adjective	más-grande_adjective
bater_verb	batir_verb
injectar_verb	inyectar_verb
educacionalmente_adverb	educativamente_adverb
maneira_noun	manera_noun
dotação_noun	dotación_noun
apolónia_propernoun	apolónia_propernoun
acreditação_noun	acreditación_noun
autorroscante_noun	roscador_noun
aresta_noun	arista_noun
grosseiramente_adverb	groseramente_adverb
bfdf_propernoun	bfdf_propernoun
entalhe_noun	entalle_noun
governação_noun	gobierno_noun
pagar-mico_verb	pasar-verguenza_verb
expressamente_adverb	expresamente_adverb
tdr_propernoun	tdr_propernoun
monotonia_noun	monotonía_noun
inerentemente_adverb	inherentemente_adverb
estatura_noun	estatura_noun
arrastar_verb	arrastrar_verb
laço_noun	moño_noun
abstração_noun	abstracción_noun
liqüidamente_adverb	líquidamente_adverb
paraguaio_noun	paraguayo_noun
forçosamente_adverb	forzosamente_adverb
intensidade_noun	intensidad_noun
orelha_noun	oreja_noun
voar_verb	volar_verb
ff_noun	ff_noun
cemitério_noun	cementerio_noun
livreiro_noun	librero_noun
trás_preposition	tras_preposition
chão_noun	suelo_noun
sintetizar_verb	sintetizar_verb
malha_noun	malla_noun
abstracção_noun	abstracción_noun
erro_noun	error_noun
placidamente_adverb	plácidamente_adverb
factível_adjective	factible_adjective
perguntar_verb	preguntar_verb
por-que_adverb	por-qué_adverb
generalidade_noun	generalidad_noun
agradecer_verb	dar-las-gracias_verb
beta_noun	beta_noun
precursor_noun	precursor_noun
segurar_verb	coger_verb
alfabeticamente_adverb	alfabéticamente_adverb
simbolicamente_adverb	simbólicamente_adverb
encadeamento_noun	encadenamiento_noun
execravelmente_adverb	execrablemente_adverb
nevoeiro_noun	niebla_noun
tampouco_adverb	tampoco_adverb
reverência_noun	reverencia_noun
listar_verb	enumerar_verb
phoenix_propernoun	phoenix_propernoun
surpreendentemente_adverb	sorprendentemente_adverb
floculador_noun	floculador_noun
engrenagem_noun	engranaje_noun
sobrecarga_noun	sobrecarga_noun
convosco_pronoun	con-vosotros_pronoun
cavaco_propernoun	cavaco_propernoun
dezassete_numeral	diecisiete_numeral
olhadela_noun	ojeada_noun
cm_noun	cm_noun
elétron_noun	electrón_noun
espectacularmente_adverb	espectacularmente_adverb
carta-de-condução_noun	carné-de-conducir_noun
vinte-e-nove_numeral	veintinueve_numeral
veia_noun	vena_noun
shopping_noun	centro-comercial_noun
progresso_noun	progreso_noun
notificação_noun	notificación_noun
cilindro_noun	cilindro_noun
irrespiravelmente_adverb	irrespirablemente_adverb
invocação_noun	invocación_noun
inutilizar_verb	inutilizar_verb
fibra_noun	hebra_noun
canhão_noun	cañón_noun
névoa_noun	niebla_noun
lance_propernoun	lance_propernoun
sanção_noun	sanción_noun
min_noun	min_noun
incorrer_verb	incurrir_verb
emprestar_verb	prestar_verb
inteiramente_adverb	enteramente_adverb
custosamente_adverb	costosamente_adverb
fortificação_noun	fortificación_noun
subpasta_noun	subcarpeta_noun
reforço_noun	reforzamiento_noun
indispensavelmente_adverb	indispensablemente_adverb
saip_propernoun	saip_propernoun
indemnização_noun	indemnización_noun
elástico_adjective	elástico_adjective
oferecer_verb	ofertar_verb
depressão_noun	depresión_noun
eléctrico_adjective	eléctrico_adjective
não_cumprimento_noun	incumplimiento_noun
injustiça_noun	injusticia_noun
pressão_noun	presión_noun
tiroteio_noun	tiroteo_noun
solidamente_adverb	sólidamente_adverb
assustar_verb	asustar_verb
judiciário_noun	judicatura_noun
barbaramente_adverb	bárbaramente_adverb
graças-a_preposition	merced-a_preposition
inauguração_noun	inauguración_noun
idoso_noun	anciano_noun
foguete_noun	cohete_noun
micrômetro_noun	micrómetro_noun
inequivocamente_adverb	inequívocamente_adverb
fornecedor_noun	proveedor_noun
desespero_noun	desesperación_noun
forçar_verb	forzar_verb
corretivo_adjective	correctivo_adjective
suculentamente_adverb	jugosamente_adverb
submissão_noun	sometimiento_noun
tendência_noun	tendencia_noun
américa-do-sul_propernoun	américa-del-sur_propernoun
ific_propernoun	ific_propernoun
absorver_verb	absorber_verb
janela_noun	ventana_noun
norte-americano_adjective	norteamericano_adjective
bairro_noun	barrio_noun
para-o-qual_subordinatingconjunction	para-el-cual_subordinatingconjunction
subjetividade_noun	subjetividad_noun
ruivo_adjective	pelirrojo_adjective
velório_noun	velatorio_noun
vulcão_noun	volcán_noun
protec_propernoun	protec_propernoun
a-contragosto_adverb	a-disgusto_adverb
primus_propernoun	primus_propernoun
veneração_noun	veneración_noun
proporção_noun	proporción_noun
revigorar_verb	revitalizar_verb
espanhol_adjective	español_adjective
otimismo_noun	optimismo_noun
evm_propernoun	evm_propernoun
interface_noun	interfaz_noun
libertar_verb	liberar_verb
por-dentro_adverb	por-dentro_adverb
intenção_noun	intención_noun
meigamente_adverb	tiernamente_adverb
restituição_noun	restitución_noun
desmoralizar_verb	desmoralizar_verb
besta_noun	bestia_noun
dançar_verb	bailar_verb
desenhar_verb	dibujar_verb
em-abundância_adverb	en-abundancia_adverb
relâmpago_noun	relámpago_noun
linha_noun	linea_noun
orgulho_noun	orgullo_noun
caçada_noun	cacería_noun
octogesimamente_adverb	octogésimamente_adverb
paternidade_noun	paternidad_noun
utilização_noun	utilización_noun
imcomparavelmente_adverb	imcomparablemente_adverb
flutuar_verb	flotar_verb
grito_noun	chillido_noun
do-jeito-que-veio-ao-mundo_adverb	como-su-madre-lo-trajo-al-mundo_adverb
tardiamente_adverb	tardíamente_adverb
pesquisar_verb	investigar_verb
csi_propernoun	csi_propernoun
abranger_verb	comprender_verb
passivamente_adverb	pasivamente_adverb
contagem_noun	cuenta_noun
soquete_noun	rótula_noun
desconexão_noun	desconexión_noun
aposentadoria_noun	jubilación_noun
injustificavelmente_adverb	injustificablemente_adverb
medina_propernoun	medina_propernoun
eletrônico_adjective	electrónico_adjective
assimilação_noun	asimilación_noun
sagardi_propernoun	sagardi_propernoun
relatório_noun	informe_noun
estribilho_noun	estribillo_noun
meia-tarde_adverb	media-tarde_adverb
identificável_adjective	identificable_adjective
complementar_adjective	complementario_adjective
fibanc_propernoun	fibanc_propernoun
desenho_noun	diseño_noun
remessa_noun	remisión_noun
homologado_adjective	homologado_adjective
vaidoso_adjective	vanidoso_adjective
de-molho_noun	en-remojo_noun
molho_noun	salsa_noun
valoroso_adjective	valeroso_adjective
anatômico_adjective	anatómico_adjective
há_verb	hay_verb
dezenove_numeral	diecinueve_numeral
fraturar_verb	fracturar_verb
exceção_noun	excepción_noun
dente_noun	diente_noun
couto_propernoun	couto_propernoun
repassar_verb	repasar_verb
mg_noun	mg_noun
torção_noun	ladeo_noun
assédio_noun	asedio_noun
popularidade_noun	popularidad_noun
caseiro_adjective	casero_adjective
preferível_adjective	preferible_adjective
fortalecimento_noun	fortalecimiento_noun
enfeitiçar_verb	hechizar_verb
ao-vivo_adverb	en-vivo_adverb
sgps_propernoun	sgps_propernoun
cliente_noun	clienta_noun
abu-dhabi_propernoun	abu-dhabi_propernoun
sustentadamente_adverb	continuamente_adverb
inalcançavelmente_adverb	inalcansablemente_adverb
socrates_propernoun	socrates_propernoun
eclesiasticamente_adverb	eclesiásticamente_adverb
agitação_noun	agitación_noun
quizzes_noun	quizzes_noun
boavista_propernoun	boavista_propernoun
substantivamente_adverb	sustantivamente_adverb
ce_noun	ce_noun
coutinho_propernoun	coutinho_propernoun
salada_noun	ensalada_noun
milionário_adjective	millonario_adjective
fenômeno_noun	fenómeno_noun
anonimamente_adverb	anónimamente_adverb
scolari_propernoun	scolari_propernoun
iaia_propernoun	iaia_propernoun
pântano_noun	pantano_noun
sensível_adjective	sensible_adjective
convênio_noun	convenio_noun
sobretudo_adverb	sobretodo_adverb
astronomia_noun	astronomía_noun
especiaria_noun	especia_noun
mensurar_verb	medir_verb
alimentar_adjective	alimenticio_adjective
auricular_noun	auricular_noun
mestrado_noun	máster_noun
retenção_noun	retención_noun
