reformación_noun	réformation_noun
aleatorio_adjective	aléatoire_adjective
atracción_noun	attraction_noun
inmenso_adjective	immense_adjective
neutralizar_verb	neutraliser_verb
andonegi_propernoun	andonegi_propernoun
allende_adverb	au-delà_adverb
codificación_noun	codification_noun
adhesión_noun	ralliement_noun
páguese-a_preposition	payez-à_preposition
akud-arnolds_propernoun	akud-arnolds_propernoun
kabardino-balkaria_propernoun	kabardino-balkarie_propernoun
aprovechar_verb	profiter-de_verb
clínica-euskalduna_propernoun	clínica-euskalduna_propernoun
turfan_propernoun	tourfan_propernoun
nizhni-novgorod_propernoun	nijni-novgorod_propernoun
reproductor_noun	reproducteur_noun
pistolleto_propernoun	pistolleto_propernoun
examinación_noun	examination_noun
sentjens_propernoun	sentjens_propernoun
improvisar_verb	improviser_verb
espel_propernoun	espel_propernoun
ocultar_verb	dérober_verb
livianamente_adverb	légèrement_adverb
stalingrado_propernoun	stalingrad_propernoun
abderrahman_propernoun	abderrahman_propernoun
discográfica_noun	maison-de-disques_noun
andris_propernoun	andris_propernoun
peluca_noun	perruque_noun
impuesto-sobre-el-valor-añadido_noun	taxe-sur-la-valeur-ajoutée_noun
felipe-ii-el-atrevido_propernoun	philippe-ii-le-hardi_propernoun
calidad_noun	qualité_noun
validez_noun	validité_noun
unai_propernoun	unai_propernoun
citigroup_propernoun	citigroup_propernoun
nadie_pronoun	personne_pronoun
alborozo_noun	débordement-de-joie_noun
cobertura_noun	réseau_noun
perímetro_noun	périmètre_noun
gusto_noun	goût_noun
dígito_noun	chiffre_noun
consagrar_verb	vouer_verb
revolucionario_noun	révolutionnaire_noun
ahmad_propernoun	ahmad_propernoun
en-tanto-en-cuanto_subordinatingconjunction	tandis-que_subordinatingconjunction
ámbar_noun	ambre_noun
pensión_noun	pension_noun
marie-georges_propernoun	marie-georges_propernoun
molécula_noun	molécule_noun
orgasmo_noun	orgasme_noun
ético_adjective	éthique_adjective
acertar_verb	deviner_verb
maite_propernoun	maite_propernoun
rodilla_noun	genou_noun
amane_propernoun	amane_propernoun
legazpi_propernoun	legazpi_propernoun
abaitúa_propernoun	abaitúa_propernoun
moneda_noun	monnaie_noun
remesa_noun	livraison_noun
ambros_propernoun	ambros_propernoun
mermelada_noun	marmelade_noun
perú_propernoun	pérou_propernoun
oficina-de-correos_noun	bureau-de-poste_noun
apartar_verb	écarter_verb
goleman_propernoun	goleman_propernoun
aguinaga_propernoun	aguinaga_propernoun
roncoli_propernoun	roncoli_propernoun
saint-louis_propernoun	saint-louis_propernoun
favorecer_verb	favoriser_verb
areitio_propernoun	areitio_propernoun
liberalidad_noun	libéralité_noun
rana_noun	grenouille_noun
respiración_noun	respiration_noun
blaudzun_propernoun	blaudzun_propernoun
novedoso_adjective	nouveau_adjective
sureste_noun	sud-est_noun
plantel_noun	groupe_noun
mar-de-china-oriental_propernoun	mer-de-chine-orientale_propernoun
segundo_adjective	deuxième_adjective
iliria_propernoun	illyrie_propernoun
lazkao_propernoun	lazkao_propernoun
disciplina_noun	discipline_noun
euro_noun	euro_noun
sectarismo_noun	sectarisme_noun
bbc_noun	bbc_noun
desde-hace-tiempo_adverb	de-longue-main_adverb
aqualung_propernoun	aqualung_propernoun
ludovic_propernoun	ludovic_propernoun
pesaje_noun	pesage_noun
veintena_noun	vingtaine_noun
aldamiz_propernoun	aldamiz_propernoun
adinerado_adjective	riche_adjective
compañera_noun	compagne_noun
veintinueve_numeral	vingt-neuf_numeral
paralelamente_adverb	parallèlement_adverb
cuba_propernoun	cuba_propernoun
bosque_noun	bois_noun
gran-manchester_propernoun	greater-manchester_propernoun
en-mis-tiempos_adverb	de-mon-temps_adverb
perrier_propernoun	perrier_propernoun
cuota-láctea_noun	quota-laitier_noun
benín_propernoun	bénin_propernoun
despejado_adjective	dégagé_adjective
voluntario_noun	volontaire_noun
txingudi_propernoun	txingudi_propernoun
grandes-antillas_propernoun	grandes-antilles_propernoun
monge_propernoun	monge_propernoun
atascar_verb	embourber_verb
redactar_verb	rédiger_verb
nube_noun	nuage_noun
bloque_noun	bloc_noun
adrenalina_noun	adrénaline_noun
salvación_noun	salut_noun
maltrato_noun	mauvais-traitement_noun
comunista_adjective	communiste_adjective
extremo-oriente_propernoun	extrême-orient_propernoun
relax_propernoun	relax_propernoun
custodia_noun	garde_noun
belcebú_propernoun	belzébuth_propernoun
kingston_propernoun	kingston_propernoun
amorós_propernoun	amorós_propernoun
