cercania_noun	cercanía_noun
ancorar_verb	anclar_verb
monitorização_noun	monitorización_noun
regular_adjective	estándar_adjective
refúgio_noun	cobijo_noun
exoneração_noun	exoneración_noun
guarda_noun	guardia_noun
racionalidade_noun	racionalidad_noun
milionariamente_adverb	millonariamente_adverb
decolar_verb	despegar_verb
cartão_noun	tarjeta_noun
desconhecedor_adjective	desconocedor_adjective
check-out_noun	check-out_noun
tríade_noun	tríada_noun
calmamente_adverb	tranquilamente_adverb
filho_noun	hijo_noun
ligeiro_adjective	ligero_adjective
inimigo_noun	enemigo_noun
sustentavelmente_adverb	sustentablemente_adverb
meta_noun	hito_noun
seio_noun	seno_noun
fera_noun	fiera_noun
treva_noun	tiniebla_noun
indiretamente_adverb	indirectamente_adverb
desgraça-pouca-é-bobagem_adverb	a-perro-flaco-todo-son-pulgas_adverb
guerreiro_adjective	guerrero_adjective
problemático_adjective	problemático_adjective
som_noun	sonido_noun
em-vão_adverb	vanamente_adverb
repressivo_adjective	represivo_adjective
bilheteira_noun	taquilla_noun
gênero_noun	género_noun
diluição_noun	dilución_noun
imobiliária_noun	inmobiliaria_noun
ventilador_noun	ventilador_noun
consistente_adjective	consistente_adjective
dupla_noun	pareja_noun
rede_noun	hamaca_noun
substância_noun	sustancia_noun
elasticidade_noun	elasticidad_noun
dermatológico_adjective	dermatológico_adjective
tchau_adverb	chao_adverb
elementar_adjective	elemental_adjective
a-varejo_adverb	al-por-menor_adverb
infarmed_propernoun	infarmed_propernoun
mello_propernoun	mello_propernoun
valentemente_adverb	valientemente_adverb
empilhamento_noun	apilamiento_noun
postumamente_adverb	póstumamente_adverb
belamente_adverb	bellamente_adverb
depressivamente_adverb	depresivamente_adverb
configurar_verb	configurar_verb
microbiano_adjective	microbiano_adjective
efectivar_verb	realizar_verb
aclimatar_verb	aclimatar_verb
médio-oriente_propernoun	oriente-medio_propernoun
conforme-combinamos_interjection	tal-y-como-acordamos_interjection
refinado_adjective	afinado_adjective
maleabilidade_noun	maleabilidad_noun
indicação_noun	indicación_noun
dentado_adjective	dentado_adjective
para-perto-de_adverb	cerca-de_adverb
tributação_noun	arancelización_noun
certeza_noun	certidumbre_noun
empacotamento_noun	empaque_noun
gutiérrez_propernoun	gutiérrez_propernoun
microeconómico_adjective	microeconómico_adjective
demais_noun	demás_noun
litigar_verb	litigar_verb
frequentar_verb	frecuentar_verb
qual_relativepronoun	cuál_relativepronoun
qual_pronoun	cuál_pronoun
assinante_noun	subscriptor_noun
salgueiro_propernoun	salgueiro_propernoun
marca_noun	lacra_noun
reprodução_noun	reproducción_noun
sábio_adjective	sabio_adjective
wifredo_propernoun	wifredo_propernoun
lance_noun	lance_noun
inquebrantavelmente_adverb	inquebrantablemente_adverb
subtil_adjective	sutil_adjective
roda_noun	rueda_noun
devastar_verb	talar_verb
ghana_propernoun	ghana_propernoun
desenhar_verb	diseñar_verb
alpaca_noun	alpaca_noun
sul-africano_adjective	sudafricano_adjective
multifuncionalidade_noun	multifuncionalidad_noun
gallopín_propernoun	gallopín_propernoun
indevidamente_adverb	indebidamente_adverb
apesar_subordinatingconjunction	a-pesar_subordinatingconjunction
carbonizar_verb	carbonizar_verb
rijamente_adverb	reciamente_adverb
concretização_noun	concretización_noun
bilião_noun	billón_noun
manutenção_noun	mantenimiento_noun
emissário_noun	emisario_noun
de-ascensão_adjective	alcista_adjective
dosificação_noun	dosificación_noun
relvado_propernoun	relvado_propernoun
reassociar_verb	reasociar_verb
simpaticamente_adverb	simpáticamente_adverb
anyós_propernoun	anyós_propernoun
anexar_verb	adjuntar_verb
esmagar_verb	machacar_verb
frança_propernoun	francia_propernoun
majoritário_adjective	mayoritario_adjective
correto_adjective	correcto_adjective
artilharia_noun	artillería_noun
democratização_noun	democratización_noun
terrível_adjective	terrible_adjective
coplanar_adjective	coplanar_adjective
muito-próximo_adverb	muy-cercano_adverb
analogicamente_adverb	analógicamente_adverb
apressar_verb	apurar_verb
tunísia_propernoun	túnez_propernoun
extrair_verb	extraer_verb
nexo_noun	nexo_noun
subcategoria_noun	subcategoría_noun
dna_noun	adn_noun
d_noun	d_noun
desinibir_verb	desinhibir_verb
preguiçoso_adjective	perezoso_adjective
indução_noun	inducción_noun
acontecimento_noun	acontecimiento_noun
calefacção_noun	calefacción_noun
repor_verb	reponer_verb
vazamento_noun	fuga_noun
quantidade_noun	cantidad_noun
ali_adverb	allí_adverb
instância_noun	ejemplar_noun
palestra_noun	charla_noun
debater_verb	debatir_verb
namorado_noun	novio_noun
tributar_verb	tributar_verb
abreviatura_noun	abreviatura_noun
varredura_noun	barrido_noun
activação_noun	activación_noun
menino_noun	niño_noun
hoje-em-dia_adverb	hoy-día_adverb
inadequadamente_adverb	inadecuadamente_adverb
supostamente_adverb	presuntamente_adverb
sobrevir_verb	sobrevenir_verb
zootécnico_adjective	zootécnico_adjective
desnecessário_adjective	innecesario_adjective
categoricamente_adverb	categóricamente_adverb
semiacabado_adjective	semiacabado_adjective
abraçadeira_noun	abrazadera_noun
endogeneidade_noun	endogeneidad_noun
no-alto_adverb	en-lo-alto_adverb
resguardar_verb	resguardar_verb
vinte-e-três_numeral	veintitrés_numeral
embarcação_noun	embarcación_noun
dom_noun	don_noun
dicionário_noun	diccionario_noun
solicitude_noun	solicitud_noun
porta_noun	puerta_noun
unctad_propernoun	unctad_propernoun
portabilidade_noun	portabilidad_noun
limpar_verb	limpiar_verb
irracional_adjective	irracional_adjective
marinhamente_adverb	marinamente_adverb
quadragesimamente_adverb	cuadragésimamente_adverb
terceirização_noun	terciarización_noun
nicolau_propernoun	nicolau_propernoun
aspiração_noun	aspiración_noun
contagem-regressiva_noun	cuenta-atrás_noun
praia_noun	playa_noun
achar-que_verb	creer-que_verb
ph_noun	ph_noun
topônimo_noun	topónimo_noun
montar_verb	ensamblar_verb
santander_propernoun	santander_propernoun
bulgária_propernoun	bulgaria_propernoun
com-costura_adjective	cosido_adjective
nascentemente_adverb	nacientemente_adverb
juntar_verb	aparear_verb
vinte-e-quatro_numeral	veinticuatro_numeral
desculpa_noun	excusa_noun
estrangeiramente_adverb	extranjeramente_adverb
duton_propernoun	duton_propernoun
ghazzaoui_propernoun	ghazzaoui_propernoun
oportunista_adjective	oportunista_adjective
graça_noun	merced_noun
ir_verb	acudir_verb
intervir_verb	intervenir_verb
prezado_noun	estimado_noun
cobaia_noun	cobaya_noun
subentidade_noun	subentidad_noun
inflexivelmente_adverb	inflexiblemente_adverb
sucesso_noun	éxito_noun
configuração_noun	configuración_noun
espécie_noun	especie_noun
site_noun	web_noun
figueiredo_propernoun	figueiredo_propernoun
sobremaneira_adverb	sobremanera_adverb
gipsyking_propernoun	gipsyking_propernoun
soprar_verb	soplar_verb
ônibus_noun	autocar_noun
montanha_noun	montaña_noun
atacante_noun	delantero_noun
ocasião_noun	ocasión_noun
pozuelo_propernoun	pozuelo_propernoun
vontade_noun	voluntad_noun
degeneração_noun	degeneración_noun
preferivelmente_adverb	preferiblemente_adverb
pênalti_noun	penalti_noun
padrão_adjective	normalizado_adjective
sofreguidão_noun	avidez_noun
de-olhos-fechados_adverb	a-ciegas_adverb
vibração_noun	vibración_noun
inovar_verb	innovar_verb
protuberância_noun	protuberancia_noun
redesenhar_verb	rediseñar_verb
indissoluvelmente_adverb	indisolublemente_adverb
amaral_propernoun	amaral_propernoun
estação_noun	estación_noun
polegar_noun	pulgar_noun
excentricidade_noun	excentricidad_noun
endemicamente_adverb	endémicamente_adverb
sala_noun	aula_noun
koehler_propernoun	koehler_propernoun
vaidosamente_adverb	presumidamente_adverb
militar_verb	militar_verb
podremente_adverb	podridamente_adverb
utilizavelmente_adverb	utilizablemente_adverb
primeiro_adjective	primer_adjective
contagem_noun	recuento_noun
biênio_noun	bienio_noun
orçamentariamente_adverb	presupuestariamente_adverb
quinquénio_noun	quinquenio_noun
documentação_noun	documentación_noun
posição_noun	posición_noun
palhaçada_noun	payasada_noun
sobreposição_noun	superposición_noun
israelense_noun	israelí_noun
fictício_adjective	ficticio_adjective
originalidade_noun	originalidad_noun
dar-baixa_verb	dar-la-baja_verb
regime_noun	régimen_noun
profundeza_noun	hondura_noun
máfia_noun	mafia_noun
substancialmente_adverb	sustancialmente_adverb
juntar_verb	empalmar_verb
adiante_adverb	adelante_adverb
bel_propernoun	bel_propernoun
redimensionar_verb	redimensionar_verb
indonésia_propernoun	indonesia_propernoun
forasteiramente_adverb	forasteramente_adverb
geração_noun	generación_noun
unha_noun	uña_noun
milhar_numeral	mil_numeral
pulmão_noun	pulmón_noun
acordar_verb	despertar_verb
não-dar-ouvidos-a-bobagens_adverb	a-palabras-necias-oídos-sordos_adverb
arábia-saudita_propernoun	arabia-saudí_propernoun
minusculamente_adverb	minúsculamente_adverb
telecom_propernoun	telecom_propernoun
misto_adjective	mixto_adjective
acrônimo_noun	acrónimo_noun
insustentavelmente_adverb	insosteniblemente_adverb
linealidade_noun	linealidad_noun
