nude desnudo
cork cork
consciousness consciencia
butt extremo
genealogy genealogía
lesbian lesbiana
walter walter
llúcia llúcia
catalytic catalítico
doménech doménech
surprise sorpresa
hawaiian hawaiiano
optocoupler optoacoplador
outset principio
nuance matiz
territorially territorialmente
hospitality hospitalidad
unsure inseguro
supervisory supervisor
windpipe tráquea
prosecution procesamiento
confirm confirmar
superficial superficial
bidding licitación
ginger-haired pelirrojo
microphone micrófono
ecolmare ecolmare
tugboat remolcador
abelson abelson
uzbekistan uzbekistán
winner ganador
exist existir
give dar
resolve zanjar
darken oscurecer
medicine medicina
septum tabique
unicellular unicelular
stumble tropezón
legitimate legítimo
duck pato
breaker rompiente
engagement noviazgo
polyvalent polivalente
feature prestación
much mucho
violate violar
labeling marcaje
semiclosed semicerrado
snack bocado
seventeenth decimoséptimo
stoicism estoicismo
insurance seguro
boundless ilimitado
postcard postal
many mucho
spanish español
angle ángulo
depreciate depreciar
christian cristiano
venezuela venezuela
unexpected inesperado
as cuando
place lugar
selenite selenita
reason motivo
ardently ardorosamente
trite trillado
cathedral catedral
severe severo
seduce seducir
lyric letra
barber barbero
antisocial antisocial
heedless desatento
prejudice perjudicar
freshness frescura
sword espada
isolated aislado
chronicle crónica
boycott boicotear
laredo laredo
kickoff saque
learn aprender
caution amonestación
reproach reprochar
tyre neumático
zidane zidane
equate equiparar
gestation gestación
carry llevar
praseodymium praseodimio
myelencephalon mielencéfalo
icelandic islandés
presumptuous presuntuoso
ride paseo
asphalt asfaltar
temptation tentación
bordering limítrofe
narrator narrador
variegated abigarrado
earn cobrar
pair par
rip desgarrar
arthropod artrópodo
opinion opinión
derogate derogar
plasmocyte plasmacito
homogenise homogeneizar
name nombre
sign señal
rbd rbd
surprisingly sorprendentemente
yanukovych yanukóvich
slice rodaja
cheapening abaratamiento
protestant protestante
locally localmente
allophone alófono
lock cerradura
court tribunal
string cordel
deliver repartir
bearable llevadero
blemish mácula
hydrogenation hidrogenación
tangency tangencia
cage jaula
pheasant faisán
scholarly erudito
demoralise desmoralizar
pass pasar
unsuitable inadecuado
preparation preparación
degrade degradar
spiced especiado
diastole diástole
distillation destilación
bulgarian búlgaro
orientalism orientalismo
stupidly estúpidamente
spread untar
periodically periódicamente
presentiment pálpito
bracket paréntesis
solve solventar
shorthand taquigrafía
patriot patriota
shy tímido
remedial terapéutico
tail rabo
superlative superlativo
pointed apuntado
firewoman bombero
record historial
alienism extranjería
rather bastante
ashton-tate ashton-tate
annotation anotación
systematise sistematizar
roebuck corzo
phenol fenol
vascular vascular
publisher editor
contracting contratación
explain contar
poor pobre
squalid miserable
equidistance equidistancia
price tasar
damage daño
feeling sensación
desiccation desecación
tenesmus tenesmo
deer ciervo
historiographer historiógrafo
portuguese lusitano
bath baño
landlord dueño
bid pujar
plentzia plentzia
müller müller
cruller churro
ride cabalgar
chord acorde
squabble reñir
glacier glaciar
taxi taxi
paisley paisley
triadic triádico
inoculate inocular
martin martin
chatterley chatterley
colloquium coloquio
pharmacy botica
ephemeral efímero
brahe brahe
sixteenth decimosexto
tweet tweet
mireia mireia
diphosphate difosfato
clerical clerical
pathologist patólogo
absurd disparatado
skill maña
granulate granular
mentally mentalmente
astelena astelena
pulley polea
controversy polémica
modem modem
individual individuo
herrezuelo herrezuelo
orthodrome ortodromia
your vuestro
hit impactar
liberalisation liberalización
reviewing recensión
spur espolón
staff personal
hydride hidruro
empyema empiema
ecologically ecológicamente
peaty turboso
spiritually espiritualmente
artisan artesano
painstakingly minuciosamente
regalism regalismo
ramon ramon
o'farrell o'farrell
rafel rafel
persiles persiles
dandy dandy
apologia apología
sapphire zafiro
archiphoneme archifonema
wagnerian wagneriano
spectacle ojera
seasickness mareo
swell oleaje
sinus seno
democratically democráticamente
unamuno unamuno
montenegro montenegro
calibrate calibrar
side lado
garcía garcía
encourage esforzar
cremation cremación
make marca
crude crudo
